Date,2018-12-29,2017-12-30,2016-12-31,2016-01-02,2015-01-03,2013-12-28,2012-12-29,2011-12-31,2011-01-01,2010-01-02
Cash and cash equivalents,896527000.0,546937000.0,135178000.0,90782000.0,104671000.0,1112471000.0,598111000.0,57901000.0,59209000.0,100018000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,896527000.0,546937000.0,135178000.0,90782000.0,104671000.0,1112471000.0,598111000.0,57901000.0,59209000.0,100018000.0
Receivables,624972000.0,606357000.0,641252000.0,597788000.0,579825000.0,277595000.0,229866000.0,140007000.0,124227000.0,92560000.0
Inventories,4362547000.0,4168492000.0,4325868000.0,4174768000.0,3936955000.0,2556557000.0,2308609000.0,2043158000.0,1863870000.0,1631867000.0
Total current assets,6082454000.0,5426892000.0,5172764000.0,4940746000.0,4741040000.0,3989384000.0,3184200000.0,2293820000.0,2124271000.0,1887618000.0
Property, Plant & Equipment Net,1368985000.0,1394138000.0,1446340000.0,1434577000.0,1432030000.0,1283970000.0,1291759000.0,1223099000.0,1143170000.0,1100338000.0
Goodwill and Intangible Assets,1540830000.0,1591967000.0,1631780000.0,1676609000.0,1743551000.0,249707000.0,105234000.0,107769000.0,59747000.0,60806000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,2958194000.0,3055409000.0,3142269000.0,3186955000.0,3221318000.0,1575390000.0,1429614000.0,1361934000.0,1229946000.0,1185345000.0
Total assets,9040648000.0,8482301000.0,8315033000.0,8127701000.0,7962358000.0,5564774000.0,4613814000.0,3655754000.0,3354217000.0,3072963000.0
Payables,3172790000.0,2894582000.0,3086177000.0,3203922000.0,3095365000.0,2180614000.0,2029814000.0,1653183000.0,1323761000.0,998366000.0
Short-term debt,0.0,0.0,0.0,598000.0,582000.0,916000.0,627000.0,848000.0,973000.0,1344000.0
Total current liabilities,3885950000.0,3480097000.0,3676046000.0,3797477000.0,3654416000.0,2764785000.0,2559638000.0,2187875000.0,1848049000.0,1466027000.0
Long-term debt,1045720000.0,1044327000.0,1042949000.0,1206297000.0,1636311000.0,1052668000.0,604461000.0,415136000.0,300851000.0,202927000.0
Total debt,1045720000.0,1044327000.0,1042949000.0,1206895000.0,1636893000.0,1053584000.0,605088000.0,415984000.0,301824000.0,204271000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,318353000.0,303620000.0,454282000.0,433925000.0,446351000.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1603885000.0,1587008000.0,1722795000.0,1869576000.0,2305030000.0,1283784000.0,843482000.0,619965000.0,466794000.0,324571000.0
Total liabilities,5489835000.0,5067105000.0,5398841000.0,5667053000.0,5959446000.0,4048569000.0,3403120000.0,2807840000.0,2314843000.0,1790598000.0
Other comprehensive income,-44193000.0,-24954000.0,-39701000.0,-44059000.0,-12337000.0,3683000.0,2667000.0,2804000.0,-1597000.0,-6699000.0
Retained earnings (deficit),3326155000.0,2920096000.0,2462935000.0,2021077000.0,1565341000.0,1089112000.0,714900000.0,1989629000.0,1612927000.0,1287268000.0
Total shareholders equity,3550813000.0,3415196000.0,2916192000.0,2460648000.0,2002912000.0,1516205000.0,1210694000.0,847914000.0,1039374000.0,1282365000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,149193000.0,497390000.0,907771000.0,1116113000.0,1532222000.0,-58887000.0,6977000.0,358083000.0,242615000.0,104253000.0
Other Assets,198408000.0,105106000.0,70466000.0,77408000.0,119589000.0,42761000.0,47614000.0,52754000.0,76965000.0,63173000.0
Other Liabilities,713160000.0,585515000.0,589869000.0,592957000.0,558469000.0,583255000.0,529197000.0,533844000.0,523315000.0,466317000.0
