Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Depreciation & Amortization,21000.0,16000.0,17000.0,13000.0,14000.0
Stock-based compensation,72000.0,5879000.0,2464000.0,4931000.0,1921000.0
Operating Cash Flow,76980000.0,-67620000.0,6588000.0,-47350000.0,-58642000.0
Capital Expenditure,0.0,0.0,0.0,0.0,0.0
Acquisitions and disposals,15047000.0,-15000000.0,-2000.0,23000.0,0.0
Investment purchases and sales,-10264000.0,-3734000.0,-4115000.0,-41734000.0,3839000.0
Investing Cash flow,4736000.0,-18734000.0,-4115000.0,-41734000.0,3839000.0
Issuance (repayment) of debt,50000000.0,50000000.0,150000000.0,-16000000.0,-10000000.0
Issuance (buybacks) of shares,-7011000.0,-21221000.0,-41630000.0,-44000.0,0.0
Dividend payments,-4666000.0,-4768000.0,-2504000.0,0.0,0.0
Financing Cash Flow,34689000.0,65373000.0,105872000.0,9281000.0,140797000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,116405000.0,-20981000.0,108345000.0,-79803000.0,85994000.0
Free Cash Flow,76980000.0,-67620000.0,6588000.0,-47350000.0,-58642000.0
Net Cash/Marketcap,0.5145,0.3301,0.3301,0.3301,0.3301
