Date,2018-06,2017-06,2016-06,2015-06,2014-06
Cash and cash equivalents,101000000.0,56000000.0,67000000.0,34000000.0,43000000.0
Short-term investments,3000000.0,2000000.0,1000000.0,3000000.0,1000000.0
Cash and short-term investments,3000000.0,2000000.0,1000000.0,3000000.0,1000000.0
Receivables,247000000.0,265000000.0,168000000.0,162000000.0,123000000.0
Inventories,137000000.0,136000000.0,98000000.0,96000000.0,101000000.0
Total current assets,264000000.0,567000000.0,188000000.0,179000000.0,192000000.0
Property, Plant & Equipment Net,14000000.0,10000000.0,10000000.0,10000000.0,12000000.0
Goodwill and Intangible Assets,237000000,522000000,147000000,147000000,155000000
Long-term investments,,,,,
Tax assets,000000.0,19000000.0,18000000.0,10000000.0,12000000.0
Total non-current assets,369000000.0,410000000.0,137000000.0,111000000.0,116000000.0
Total assets,767000000.0,1041000000.0,541000000.0,490000000.0,468000000.0
Payables,107000000.0,90000000.0,46000000.0,55000000.0,49000000.0
Short-term debt,14000000.0,14000000.0,0000000.0,10000000.0,8000000.0
Total current liabilities,303000000.0,223000000.0,99000000.0,125000000.0,119000000.0
Long-term debt,303000000.0,339000000.0,119000000.0,100000000.0,97000000.0
Total debt,303000000.0,339000000.0,119000000.0,100000000.0,97000000.0
Deferred revenue,,,,,
Tax Liabilities,2000000.0,7000000.0,9000000.0,0000000.0,0000000.0
Deposit Liabilities,,,,,
Total non-current liabilities,369000000.0,410000000.0,137000000.0,111000000.0,116000000.0
Total liabilities,672000000.0,633000000.0,236000000.0,236000000.0,234000000.0
Other comprehensive income,-1000000.0,-5000000.0,-6000000.0,-7000000.0,5000000.0
Retained earnings (deficit),-127000000.0,198000000.0,195000000.0,167000000.0,141000000.0
Total shareholders equity,95000000.0,408000000.0,304000000.0,254000000.0,234000000.0
Investments,,,,,
Net Debt,216000000,297000000,52000000,76000000,62000000
Other Assets,24000000,26000000,26000000,23000000,19000000
Other Liabilities,208000000,150000000,48000000,54000000,52000000
