Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31
Revenue,339891000.0,385166000.0,478412000.0,239056000.0,146234000.0
Revenue Growth,-0.1175,-0.1949,1.0013,0.6347,
Cost of Revenue,192771000.0,217326000.0,257425000.0,145350000.0,93558000.0
Gross Profit,147120000.0,167840000.0,220987000.0,93706000.0,52676000.0
R&D Expenses,102406000.0,92027000.0,75696000.0,38645000.0,28471000.0
SG&A Expense,51864000.0,38807000.0,27676000.0,13124000.0,6615000.0
Operating Expenses,154270000.0,130834000.0,103372000.0,51769000.0,35350000.0
Operating Income,-7150000.0,37006000.0,117615000.0,41937000.0,17326000.0
Interest Expense,0.0,0.0,0.0,135000.0,390000.0
Earnings before Tax,-404000.0,40303000.0,114621000.0,39805000.0,16453000.0
Income Tax Expense,-5320000.0,1795000.0,-16956000.0,-715000.0,2933000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0
Net Income,4916000.0,38508000.0,131577000.0,40520000.0,13520000.0
Preferred Dividends,0.0,0.0,36293000.0,32923000.0,11792000.0
Net Income Com,4916000.0,38508000.0,95284000.0,7597000.0,1728000.0
EPS,0.12,0.99,3.77,1.18,0.31
EPS Diluted,0.12,0.92,3.22,0.91,0.23
Weighted Average Shs Out,40443237.0,39377330.0,37422863.0,35656000.0,
Weighted Average Shs Out (Dil),40259000.0,38920000.0,25307000.0,6429000.0,5629000.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.4328,0.4358,0.4619,0.392,0.3602
EBITDA Margin,0.039,0.137,0.259,0.186,0.133
EBIT Margin,-0.0012,0.1046,0.2396,0.1671,0.1152
Profit Margin,0.014,0.1,0.199,0.032,0.012
Free Cash Flow margin,0.2013,0.1241,0.1789,0.0433,0.0474
EBITDA,13242000.0,52583000.0,123789000.0,44516000.0,19505000.0
EBIT,-404000.0,40303000.0,114621000.0,39940000.0,16843000.0
Consolidated Income,4916000.0,38508000.0,131577000.0,40520000.0,13520000.0
Earnings Before Tax Margin,-0.0012,0.1046,0.2396,0.1665,0.1125
Net Profit Margin,0.0145,0.1,0.275,0.1695,0.0925
