Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,40905000.0,34441000.0,18931000.0,18757000.0,19673000.0,18116000.0,51385000.0,22623000.0,24173000.0,24138000.0
Short-term investments,161730000.0,159051000.0,142990000.0,125693000.0,118000000.0,129983000.0,165790000.0,209227000.0,,
Cash and short-term investments,202635000.0,193492000.0,161921000.0,144450000.0,137673000.0,148099000.0,217175000.0,231850000.0,,
Receivables,0.0,0.0,0.0,3016000.0,2950000.0,3027000.0,3360000.0,0.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,202635000.0,193492000.0,161921000.0,147466000.0,140623000.0,151126000.0,220535000.0,231850000.0,,
Property Plant & Equipment Net,26409000.0,26774000.0,18153000.0,18044000.0,17725000.0,15991000.0,15131000.0,14483000.0,14119000.0,14760000.0
Goodwill and Intangible Assets,23987000.0,22149000.0,6996000.0,7341000.0,7504000.0,8153000.0,8717000.0,9357000.0,9660000.0,10334000.0
Long-term investments,1871000.0,2446000.0,2899000.0,3345000.0,3793000.0,4687000.0,5440000.0,3774000.0,,
Tax assets,2842000.0,2739000.0,3130000.0,2151000.0,1512000.0,930000.0,1786000.0,0.0,0.0,0.0
Total non-current assets,1445089000.0,1401940000.0,1044399000.0,1000459000.0,949185000.0,894921000.0,829460000.0,772973000.0,,
Total assets,1647724000.0,1595432000.0,1206320000.0,1147925000.0,1089808000.0,1046047000.0,1049995000.0,1004823000.0,968667000.0,961904000.0
Payables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Short-term debt,34648000.0,36908000.0,34590000.0,35202000.0,45699000.0,49052000.0,47303000.0,45962000.0,,
Total current liabilities,34648000.0,36908000.0,34590000.0,35202000.0,45699000.0,49052000.0,47303000.0,45962000.0,,
Long-term debt,83516000.0,94600000.0,74250000.0,76500000.0,80937000.0,82703000.0,59954000.0,71191000.0,,
Total debt,118164000.0,131508000.0,108840000.0,111702000.0,126636000.0,131755000.0,107257000.0,117153000.0,120585000.0,135585000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,1348092000.0,1298492000.0,967621000.0,912980000.0,844876000.0,800643000.0,834176000.0,782795000.0,746526000.0,728523000.0
Total non-current liabilities,89439000.0,100448000.0,82462000.0,84975000.0,89826000.0,90786000.0,69006000.0,71191000.0,,
Total liabilities,1479587000.0,1441466000.0,1086259000.0,1033210000.0,979786000.0,939245000.0,948731000.0,907349000.0,874913000.0,873601000.0
Other comprehensive income,37720000,37049000,10213000,9659000,9220000,8900000,8518000,8272000,1182000.0,-356000.0
Retained earnings (deficit),121862000.0,106293000.0,100555000.0,94526000.0,88329000.0,82661000.0,77888000.0,73526000.0,69536000.0,65623000.0
Total shareholders equity,168137000.0,153966000.0,120061000.0,114715000.0,110022000.0,106802000.0,101264000.0,97474000.0,93754000.0,88303000.0
Investments,163601000.0,161497000.0,145889000.0,129038000.0,121793000.0,134670000.0,171230000.0,213001000.0,893868000.0,892749000.0
Net Debt,77259000.0,97067000.0,89909000.0,92945000.0,106963000.0,113639000.0,55872000.0,94530000.0,,
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Other Liabilities,1355500000.0,1304110000.0,969207000.0,913033000.0,844261000.0,799407000.0,832422000.0,790196000.0,,
