date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1994-06-30_FY,1993-06-30_FY,1992-06-30_FY,1991-06-30_FY,1990-06-30_FY,1989-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,2466500000.0,2292800000.0,1620800000.0,1733400000.0,1492500000.0,1452500000.0,1515900000.0,1405800000.0,1388500000.0,1254200000.0,1211400000.0,1332600000.0,1235700000.0,1138700000.0,1554000000.0,1055400000.0,935570000.0,1018150000.0,1100770000.0,924720000.0,840800000.0,696800000.0,605300000.0,513500000.0,454700000.0,394800000.0,329300000.0,294200000.0,256200000.0,227700000.0,211700000.0,187600000.0
,depreciationAndAmortization,480000000.0,409000000.0,377600000.0,316100000.0,288600000.0,277900000.0,336200000.0,317000000.0,323300000.0,318200000.0,309200000.0,308100000.0,361800000.0,329300000.0,364000000.0,424400000.0,436694000.0,274682000.0,279077000.0,320856000.0,284282000.0,272800000.0,244600000.0,223400000.0,201600000.0,172500000.0,148300000.0,140200000.0,116100000.0,114500000.0,113500000.0,123600000.0
,deferredIncomeTax,26000000.0,9300000.0,500000.0,10000000.0,700000.0,-15300000.0,-50300000.0,24600000.0,38100000.0,107600000.0,96100000.0,-47900000.0,-92700000.0,15100000.0,33900000.0,18900000.0,109155000.0,-15775000.0,8680000.0,29450000.0,8885000.0,-23200000.0,-4800000.0,-35300000.0,13900000.0,-11100000.0,4900000.0,12000000.0,-4000000.0,9200000.0,18900000.0,9100000.0
,stockBasedCompensation,130800000.0,167300000.0,175400000.0,138900000.0,137600000.0,143200000.0,138400000.0,96400000.0,78700000.0,76300000.0,67600000.0,96000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-277100000.0,78200000.0,-1206400000.0,-810200000.0,1957500000.0,-229900000.0,457200000.0,-448000000.0,119500000.0,-467800000.0,316900000.0,480300000.0,-106100000.0,-594000000.0,527000000.0,647235000.0,-683553000.0,270563000.0,-341032000.0,-20597000.0,859884000.0,299600000.0,-177100000.0,166700000.0,-49200000.0,160700000.0,152200000.0,-11700000.0,96600000.0,-82800000.0,1100000.0,-72800000.0
,accountsReceivables,-113800000.0,-473900000.0,-291800000.0,23400000.0,-224600000.0,-175100000.0,-204000000.0,-217000000.0,-40100000.0,-138300000.0,-108800000.0,-149700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-18300000.0,-10700000.0,-1900000.0,-11600000.0,-15900000.0,13100000.0,9700000.0,-10600000.0,11200000.0,-24600000.0,34700000.0,-9700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,1437500000.0,1714600000.0,1636400000.0,2842800000.0,3653000000.0,1695500000.0,1925400000.0,1468200000.0,1916200000.0,1796700000.0,2264500000.0,1947600000.0,1467300000.0,1573400000.0,2167400000.0,1640400000.0,993165000.0,1676718000.0,1406155000.0,1747187000.0,1767784000.0,907900000.0,608300000.0,785400000.0,618700000.0,667900000.0,507200000.0,355000000.0,366700000.0,270100000.0,352900000.0,351800000.0
,otherNonCashItems,980400000.0,917900000.0,31900000.0,37100000.0,25700000.0,233400000.0,-21600000.0,9000000.0,21400000.0,35100000.0,8900000.0,36100000.0,123600000.0,130500000.0,221500000.0,0.0,0.0,0.0,0.0,0.0,46708000.0,41900000.0,96100000.0,78000000.0,-12600000.0,13700000.0,-4800000.0,0.0,0.0,200000.0,0.0,0.0
,netCashProvidedByOperatingActivites,3026200000.0,2688300000.0,2515200000.0,2125900000.0,1859900000.0,1905600000.0,1821400000.0,1577200000.0,1910200000.0,1705800000.0,1682100000.0,1562600000.0,1786900000.0,1298000000.0,1812500000.0,1433400000.0,1391935000.0,1565089000.0,1531704000.0,1491024000.0,1070101000.0,853900000.0,852100000.0,719100000.0,644100000.0,478800000.0,509100000.0,391400000.0,437500000.0,389700000.0,296400000.0,247500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-616400000.0,-566500000.0,-470800000.0,-470600000.0,-386000000.0,-335500000.0,-367700000.0,-282900000.0,-249600000.0,-277700000.0,-226700000.0,-253900000.0,-277600000.0,-322800000.0,-411000000.0,-196100000.0,-204085000.0,-133758000.0,-255420000.0,-185406000.0,-166012000.0,-285000000.0,-537000000.0,-175300000.0,-163500000.0,-117700000.0,-110700000.0,-87400000.0,-56400000.0,-70100000.0,-81700000.0,-139300000.0
,acquisitionsNet,0.0,-126000000.0,-612000000.0,147000000.0,162000000.0,-90000000.0,24000000.0,119000000.0,-266000000.0,-776000000.0,-78000000.0,-67000000.0,15000000.0,-430000000.0,563000000.0,-417000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-3905100000.0,-4422600000.0,-4876800000.0,-4382800000.0,-5876300000.0,-5047600000.0,-3414900000.0,-4902600000.0,-5113500000.0,-4770900000.0,-3846700000.0,-2947600000.0,-6407200000.0,-4449100000.0,-5846500000.0,-11365000000.0,-8087150000.0,-3451554000.0,-4597320000.0,-3973434000.0,-7372892000.0,-608300000.0,-618400000.0,-1395200000.0,-1014200000.0,-154700000.0,-117900000.0,-268300000.0,-141300000.0,-4300000.0,-54500000.0,0.0
