Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Depreciation & Amortization,581985000.0,508352000.0,452682000.0,397760000.0,336657000.0,280037000.0,216219000.0,112307000.0
Stock-based compensation,17478000.0,19804000.0,16941000.0,17022000.0,9037000.0,19499000.0,31688000.0,39342000.0
Operating Cash Flow,1254101000.0,1059713000.0,1020078000.0,839795000.0,769018000.0,654213000.0,491029000.0,267166000.0
Capital Expenditure,-3384820000.0,-2143951000.0,-2005516000.0,-2152801000.0,-1805657000.0,-2185894000.0,-2344924000.0,-2977156000.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-3384820000.0,-2143951000.0,-2005516000.0,-2152801000.0,-1805657000.0,-2185894000.0,-2344924000.0,-2977156000.0
Issuance (repayment) of debt,2006905000.0,955470000.0,969014000.0,1050618000.0,838933000.0,1427488000.0,1703329000.0,1676801000.0
Issuance (buybacks) of shares,4826000.0,9264000.0,20000.0,60000.0,944000.0,0.0,43000.0,867230000.0
Dividend payments,-41563000.0,-30933000.0,-20555000.0,-16405000.0,-12243000.0,-7608000.0,0.0,0.0
Financing Cash Flow,2145435000.0,1101718000.0,1103037000.0,1186862000.0,1049285000.0,1571765000.0,1802179000.0,2662974000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,14716000.0,17480000.0,117599000.0,-126144000.0,12646000.0,40084000.0,-51716000.0,-47016000.0
Free Cash Flow,-2130719000.0,-1084238000.0,-985438000.0,-1313006000.0,-1036639000.0,-1531681000.0,-1853895000.0,-2709990000.0
Net Cash/Marketcap,-3.2227,-2.227,-2.227,-2.227,-2.227,-2.227,-2.227,-2.227
