date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY,2002-03-31_FY,2001-03-31_FY,2000-03-31_FY,1999-03-31_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY,1993-03-31_FY,1992-03-31_FY
,revenue,1038756000.0,1170947000.0,1094274000.0,903374000.0,745694000.0,628335000.0,618789000.0,432900000.0,575500000.0,390000000.0,186640000.0,178281000.0,326839000.0,240717000.0,239965000.0,166601000.0,76126000.0,39054017.0,47266225.0,54101513.0,56029865.0,22920357.0,43715586.0,31326648.0,19826947.0,14000000.0,12300000.0,7800000.0,9500000.0,1700000.0
,costOfRevenue,572904000.0,180385000.0,176420000.0,154748000.0,132122000.0,138989000.0,175832000.0,134300000.0,170500000.0,127600000.0,52185000.0,49438000.0,43396000.0,40677000.0,45209000.0,23489000.0,16834000.0,19036443.0,10910172.0,0.0,0.0,0.0,0.0,0.0,0.0,-2400000.0,-2200000.0,-2800000.0,15200000.0,6400000.0
,grossProfit,465852000.0,990562000.0,917854000.0,748626000.0,613572000.0,489346000.0,442957000.0,298600000.0,405100000.0,262400000.0,134455000.0,128843000.0,283443000.0,200040000.0,194756000.0,143112000.0,59292000.0,20017574.0,36356053.0,0.0,0.0,0.0,0.0,0.0,0.0,16400000.0,14500000.0,10600000.0,-5700000.0,-4700000.0
,grossProfitRatio,0.448471055762855,0.845949475082988,0.838778952986181,0.82869996258471,0.822820084377774,0.778797934222986,0.715844981084021,0.68976668976669,0.70390964378801,0.672820512820513,0.720397556793828,0.722696193088439,0.867225147549711,0.831017335709568,0.811601691913404,0.859010450117346,0.778866615873683,0.512561204651496,0.76917615062341,0.0,0.0,0.0,0.0,0.0,0.0,1.17142857142857,1.17886178861789,1.35897435897436,-0.6,-2.76470588235294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,1946000.0,512833000.0,425406000.0,412889000.0,387148000.0,344404000.0,272043000.0,128100000.0,140000000.0,141900000.0,97239000.0,95363000.0,89478000.0,125268000.0,117315000.0,89068000.0,91065000.0,91097087.0,85387510.0,92092381.0,68773691.0,54482672.0,48456824.0,31339121.0,29553988.0,21600000.0,19000000.0,20500000.0,0.0,0.0
,GeneralAndAdministrativeExpenses,538827000.0,599449000.0,526408000.0,421578000.0,374130000.0,311558000.0,199905000.0,116600000.0,125800000.0,137600000.0,82847000.0,76514000.0,59008000.0,59508000.0,66399000.0,40383000.0,28823000.0,26029346.0,26695111.0,24386425.0,17163621.0,44371409.0,30795413.0,8133760.0,7689625.0,6300000.0,5100000.0,5900000.0,35100000.0,2700000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,13644000.0,848000.0,-2040000.0,-9615000.0,-2485000.0,15000.0,-2220000.0,-429000.0,1781000.0,484000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,578279000.0,639807000.0,591576000.0,483637000.0,435089000.0,369243000.0,258058000.0,283100000.0,167610000.0,350680000.0,180086000.0,171877000.0,148486000.0,196406000.0,183714000.0,129451000.0,119888000.0,117126433.0,112082621.0,116478806.0,85937312.0,98854081.0,79252237.0,39472881.0,37243613.0,30300000.0,26300000.0,29200000.0,36600000.0,3300000.0
,costAndExpenses,1151183000.0,1346426000.0,1193402000.0,1051274000.0,954359000.0,852636000.0,705933000.0,417400000.0,493700000.0,478300000.0,232271000.0,221315000.0,191882000.0,237083000.0,228923000.0,152940000.0,136722000.0,136162876.0,122992793.0,116478806.0,85937312.0,98854081.0,79252237.0,39472881.0,37243613.0,27900000.0,24100000.0,26400000.0,51800000.0,9700000.0
,interestExpense,8659000.0,13601000.0,15437000.0,12008000.0,14889000.0,13247000.0,13430000.0,-9700000.0,48994000.0,28111000.0,3298000.0,5974000.0,13756000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,39452000.0,80413000.0,103660000.0,98523000.0,94256000.0,85596000.0,98087000.0,70800000.0,73800000.0,93700000.0,8652000.0,25026000.0,10265000.0,12138000.0,11991000.0,10879000.0,10618000.0,10914392.0,9322344.0,10501303.0,7697662.0,6430934.0,21624715.0,2651007.0,2566624.0,2400000.0,2200000.0,2800000.0,1500000.0,600000.0
,EBITDA,-72975000.0,-95066000.0,4532000.0,-49377000.0,-114409000.0,-138705000.0,10943000.0,86300000.0,155600000.0,5400000.0,-36979000.0,-18008000.0,145222000.0,15772000.0,23033000.0,24540000.0,-49978000.0,-86194467.0,-66404224.0,-51875990.0,-22209785.0,-69502790.0,-13911936.0,-5495226.0,-14850042.0,-11500000.0,-9600000.0,-15800000.0,-40800000.0,-7400000.0
,EBITDARatio,-0.0702523017917586,-0.0811872783311286,0.00414155869553695,-0.0546584249712744,-0.15342620431437,-0.220750077586001,0.0176845419036214,0.199353199353199,0.270373588184188,0.0138461538461538,-0.198130090012859,-0.101009081169614,0.444322739942296,0.0655209229094746,0.0959848311212052,0.147298035425958,-0.656516827365158,-2.20705765043324,-1.40489797947689,-0.95886394156851,-0.396391906352086,-3.03236070886679,-0.318237435957052,-0.175416980457022,-0.748982785902439,-0.821428571428571,-0.780487804878049,-2.02564102564103,-4.29473684210526,-4.35294117647059
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-112427000.0,-175479000.0,-99128000.0,-147900000.0,-208665000.0,-224301000.0,-87144000.0,15500000.0,81800000.0,-88300000.0,-45631000.0,-43034000.0,134957000.0,3634000.0,11042000.0,13661000.0,-60596000.0,-97108859.0,-75726568.0,-62377293.0,-29907447.0,-75933724.0,-35536651.0,-8146233.0,-17416666.0,-13900000.0,-11800000.0,-18600000.0,-42300000.0,-8000000.0
,operatingIncomeRatio,-0.108232347153711,-0.149860753731809,-0.0905879149097941,-0.163719566868207,-0.27982657765786,-0.356976771944902,-0.140829911326801,0.0358050358050358,0.142137271937446,-0.226410256410256,-0.244486712387484,-0.241382985287271,0.412915839297024,0.0150965656767075,0.046015043860563,0.0819983073330892,-0.795996111709534,-2.48652677649011,-1.60212853893028,-1.15296762587767,-0.533776888450472,-3.31293810126954,-0.812905744875523,-0.260041642501936,-0.878434082665375,-0.992857142857143,-0.959349593495935,-2.38461538461538,-4.45263157894737,-4.70588235294118
,totalOtherIncomeExpensesNet,17589000.0,-21952000.0,-21640000.0,11985000.0,5415000.0,-2285000.0,-2220000.0,-400000.0,1800000.0,500000.0,-290000.0,-360000.0,-1589000.0,156102000.0,-481000.0,-751000.0,-8931000.0,-2188219.0,-24543723.0,-5403464.0,0.0,0.0,-3221253.0,0.0,0.0,1100000.0,500000.0,1600000.0,2300000.0,0.0
,incomeBeforeTax,-96537000.0,-197056000.0,-126967000.0,-143274000.0,-214387000.0,-224005000.0,-14029000.0,5400000.0,35400000.0,-114400000.0,-46491000.0,-44701000.0,131012000.0,172830000.0,10543000.0,0.0,0.0,0.0,-106897747.0,-61354969.0,-16869315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeBeforeTaxRatio,-0.0929352032623638,-0.168287719256294,-0.116028526676134,-0.158598764188476,-0.287499966474184,-0.356505685661311,-0.0226717023088646,0.0124740124740125,0.061511728931364,-0.293333333333333,-0.249094513501929,-0.250733392790034,0.400845676311578,0.717980034646494,0.0439355739378659,0.0,0.0,0.0,-2.26160957427846,-1.13407122274011,-0.301077202309875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,incomeTaxExpense,14324000.0,-436000.0,12344000.0,-6782000.0,-5943000.0,3158000.0,16032000.0,-12300000.0,10500000.0,-700000.0,-951000.0,-5075000.0,507000.0,5851000.0,1098000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netIncome,-110861000.0,-196620000.0,-139311000.0,-157945000.0,-208444000.0,-227163000.0,-30061000.0,17600000.0,25000000.0,-113700000.0,-45540000.0,-39626000.0,130505000.0,166979000.0,9445000.0,3818000.0,-73916000.0,-102384561.0,-106897747.0,-61354969.0,-16869315.0,-68047338.0,-41056370.0,-9771131.0,-18797818.0,-13700000.0,-11900000.0,-17300000.0,-40100000.0,-8100000.0
,netIncomeRatio,-0.106724774634274,-0.167915371062909,-0.127309065188426,-0.174838992488161,-0.279530209442479,-0.361531667024756,-0.0485803723078465,0.0406560406560407,0.0434404865334492,-0.291538461538462,-0.243999142734676,-0.222267095203639,0.399294453844247,0.693673483800479,0.0393599066530536,0.022917029309548,-0.970969182670835,-2.62161408389821,-2.26160957427846,-1.13407122274011,-0.301077202309875,-2.96886030178326,-0.939170070830115,-0.311911156278195,-0.948094429263366,-0.978571428571429,-0.967479674796748,-2.21794871794872,-4.22105263157895,-4.76470588235294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.7,-1.25195,-0.89813,-1.02953,-1.37601,-1.52248,-0.20693,0.12138,0.18235,-0.99128,-0.48,-0.42,1.37,1.66,0.1,0.0419459031882402,-0.82,-1.25,-1.66,-0.96,-0.302607813927277,-1.52,-0.99,-0.235,-0.515,-0.465,-0.44,-0.65,-1.89,-0.49
,EPSDiluted,-0.7,-1.25195,-0.89813,-1.02953,-1.37601,-1.52248,-0.20693,0.12138,0.18235,-0.99128,-0.48,-0.42,1.36,1.62,0.09,0.0392084373106586,-0.82,-1.25,-1.66,-0.96,-0.281829842608432,-1.52,-0.99,-0.235,-0.515,-0.465,-0.44,-0.65,-1.89,-0.49
,weightedAverageShsOut,158685000.0,157051000.0,155112000.0,153415000.0,151484000.0,149206000.0,145274000.0,145000000.0,137100000.0,114700000.0,95610000.0,94839000.0,95161000.0,100742000.0,99242000.0,91022000.0,90094000.0,82082880.0,64367987.0,63668596.0,55746462.0,51014956.0,49115000.0,41668170.0,36576668.0,29549168.0,27045455.0,26615385.0,21216931.0,16530612.0
,weightedAverageShsOutDil,158685000.0,157051000.0,155112000.0,153415000.0,151484000.0,149206000.0,145274000.0,145000000.0,137100000.0,114700000.0,95610000.0,94839000.0,96252000.0,102923000.0,103351000.0,97377000.0,90094000.0,82082880.0,64367987.0,63668596.0,59856383.0,51014956.0,49115000.0,41668170.0,36576668.0,29549168.0,27045455.0,26615385.0,21216931.0,16530612.0
