Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Cash and cash equivalents,10711000.0,8132000.0,11819000.0,24991000.0,27812000.0,3597890.0
Short-term investments,41592000.0,73240000.0,0.0,62263000.0,0.0,0.0
Cash and short-term investments,52303000.0,81372000.0,11819000.0,87254000.0,27812000.0,3597890.0
Receivables,0.0,0.0,0.0,0.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,53545000.0,82548000.0,11855000.0,87686000.0,28442000.0,1802903.0
Property, Plant & Equipment Net,1196000.0,1089000.0,740000.0,223000.0,101000.0,175236.0
Goodwill and Intangible Assets,0.0,1453000.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,1328000.0,2674000.0,740000.0,223000.0,101000.0,2331505.0
Total assets,54873000.0,85222000.0,12595000.0,87909000.0,28543000.0,4134408.0
Payables,1716000.0,193000.0,127000.0,994000.0,929000.0,670688.0
Short-term debt,2048000.0,995000.0,0.0,0.0,0.0,1994240.0
Total current liabilities,8127000.0,1895000.0,2404000.0,4419000.0,2415000.0,4011686.0
Long-term debt,2155000.0,4039000.0,113000.0,0.0,0.0,13349778.0
Total debt,4203000.0,5034000.0,113000.0,0.0,0.0,15344018.0
Deferred revenue,0.0,277000.0,2008000.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,66000.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,2155000.0,4410000.0,113000.0,0.0,41880000.0,13617528.0
Total liabilities,10282000.0,6305000.0,2517000.0,4419000.0,44295000.0,17629214.0
Other comprehensive income,-13000.0,-59000.0,0.0,3000.0,0.0,0.0
Retained earnings (deficit),-46074000.0,-9384000.0,-1601000.0,-148837000.0,-126019000.0,-110983067.0
Total shareholders equity,44591000.0,78917000.0,-1457000.0,83490000.0,-15752000.0,-91288003.0
Investments,41592000.0,73240000.0,0.0,62263000.0,0.0,0.0
Net Debt,-48100000.0,-76338000.0,-11706000.0,-87254000.0,-27812000.0,11746128.0
Other Assets,1242000.0,1176000.0,36000.0,432000.0,630000.0,-1794987.0
Other Liabilities,4363000.0,707000.0,2277000.0,3425000.0,1486000.0,1346758.0
