Date,2017-12,2016-12,2015-12,2014-12,2013-12
Depreciation & Amortization,1021000000.0,851000000.0,756000000.0,562000000.0,490000000.0
Stock-based compensation,69000000.0,35000000.0,75000000.0,55000000.0,80000000.0
Operating Cash Flow,1630000000.0,1304000000.0,2131000000.0,1364000000.0,859000000.0
Capital Expenditure,-1346000000.0,-894000000.0,-1030000000.0,-685000000.0,-570000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,0,0,0,0,0
Investing Cash flow,-2443000000.0,-1317000000.0,-1129000000.0,-3172000000.0,-2577000000.0
Issuance (repayment) of debt,-6481000000.0,-1686000000.0,-835000000.0,-820000000.0,-2174000000.0
Issuance (buybacks) of shares,-692000000.0,-250000000.0,-644000000.0,-500000000.0,-446000000.0
Dividend payments,,,,,
Financing Cash Flow,-1939000000.0,2366000000.0,-1060000000.0,1570000000.0,1317000000.0
Effect of forex changes on cash,,,,,
Net cash flow / Change in cash,-2752000000.0,2353000000.0,-58000000.0,-238000000.0,-401000000.0
Free Cash Flow,284000000.0,410000000.0,1101000000.0,679000000.0,289000000.0
Net Cash/Marketcap,,,,,
