date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,344900000.0,370000000.0,444200000.0,296500000.0,326500000.0,282900000.0,207800000.0,169700000.0,158700000.0,305700000.0,111700000.0,81300000.0,81900000.0,88200000.0,76500000.0,46500000.0,35400000.0,52200000.0,51345000.0,14502000.0,29753000.0,42422000.0,44491000.0,153830000.0,65417000.0,61413000.0,57347000.0,42678000.0,-17300000.0,5000000.0,30500000.0,-5000000.0
,depreciationAndAmortization,80000000.0,78300000.0,71900000.0,70100000.0,65100000.0,63000000.0,59800000.0,59700000.0,54600000.0,47000000.0,40800000.0,67500000.0,66300000.0,67500000.0,60900000.0,52800000.0,53900000.0,52100000.0,50693000.0,47076000.0,45059000.0,37315000.0,31173000.0,26286000.0,22577000.0,55701000.0,49160000.0,42607000.0,-39500000.0,-36200000.0,-33500000.0,-31600000.0
,deferredIncomeTax,0.0,0.0,0.0,81800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2262000.0,-3345000.0,14987000.0,14296000.0,11800000.0,-22900000.0,400000.0,4700000.0,-8800000.0
,stockBasedCompensation,12700000.0,13300000.0,10100000.0,9900000.0,9400000.0,8800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,124500000.0,-119300000.0,-125100000.0,181900000.0,-5700000.0,88300000.0,99100000.0,6500000.0,-80600000.0,329600000.0,110500000.0,-27600000.0,-18700000.0,-27700000.0,54300000.0,-71400000.0,130700000.0,100000.0,-17572000.0,4948000.0,-14044000.0,15481000.0,64955000.0,-82614000.0,137024000.0,-38016000.0,25241000.0,32908000.0,18089000.0,25800000.0,-15300000.0,13300000.0
,accountsReceivables,0.0,0.0,-54600000.0,-75800000.0,-15100000.0,-25900000.0,-16800000.0,0.0,-57000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,2900000.0,6300000.0,-7700000.0,-37500000.0,-23400000.0,-14700000.0,-14900000.0,0.0,5000000.0,0.0,0.0,0.0,0.0,32100000.0,-28600000.0,12100000.0,12900000.0,0.0,-619000.0,0.0,-6187000.0,-20158000.0,-8897000.0,7539000.0,-5491000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,85600000.0,-35400000.0,8800000.0,-5100000.0,101500000.0,31000000.0,6900000.0,0.0,26400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-2500000.0,733900000.0,853200000.0,978300000.0,796400000.0,802100000.0,713800000.0,614700000.0,608200000.0,688800000.0,359200000.0,248700000.0,276300000.0,295000000.0,322700000.0,268400000.0,339800000.0,209100000.0,209000000.0,226572000.0,221624000.0,235668000.0,220187000.0,155232000.0,237846000.0,100822000.0,138838000.0,113597000.0,80689000.0,62600000.0,36800000.0,52100000.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900000.0,2800000.0,700000.0,-341000.0,-258000.0,1680000.0,856000.0,591000.0,1495000.0,4263000.0,-975000.0,7357000.0,5340000.0,125500000.0,101400000.0,66800000.0,63200000.0
,netCashProvidedByOperatingActivites,562100000.0,456200000.0,448900000.0,326400000.0,446600000.0,344400000.0,263900000.0,279600000.0,143800000.0,58700000.0,124800000.0,267600000.0,106600000.0,190500000.0,141400000.0,186700000.0,66600000.0,25200000.0,115167000.0,49828000.0,86764000.0,48011000.0,74658000.0,-25884000.0,194076000.0,115516000.0,119473000.0,115351000.0,67700000.0,57700000.0,78900000.0,50200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71400000.0,-68200000.0,-50600000.0,-48400000.0,-44900000.0,-42472000.0,-35318000.0,-40516000.0,-32807000.0,-27846000.0,-44886000.0,-37804000.0,-91001000.0,-76133000.0,-54703000.0,-46900000.0,-58000000.0,-72600000.0,-52500000.0
,acquisitionsNet,0.0,-107000000.0,0.0,-43000000.0,-91000000.0,0.0,0.0,-4000000.0,-14000000.0,-421000000.0,-12000000.0,-79000000.0,0.0,0.0,-341000000.0,-15000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-157400000.0,-272700000.0,-523400000.0,-583500000.0,-563800000.0,-428800000.0,-321900000.0,-132700000.0,-311400000.0,0.0,0.0,0.0,0.0,0.0,-41000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,226000000.0,478000000.0,595900000.0,562700000.0,435100000.0,315400000.0,202000000.0,226200000.0,308000000.0,0.0,4600000.0,8900000.0,12000000.0,0.0,53200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-7100000.0,0.0,0.0,0.0,-4500000.0,0.0,0.0,0.0,0.0,-1439000.0,-1767000.0,-9307000.0,-15014000.0,-17714000.0,-20358000.0,-8620000.0,-2148000.0,-4700000.0,-8800000.0,-500000.0,-2800000.0
