Date,2019-03-02,2018-03-03,2017-03-04,2016-02-27,2015-02-28,2014-03-01,2013-03-02,2012-03-03,2011-02-26,2010-02-27
Revenue,1402637000.0,1326173000.0,1114533000.0,981189000.0,933936000.0,771445000.0,700224000.0,662463000.0,582777000.0,696703000.0
Revenue Growth,0.0577,0.1899,0.1359,0.0506,0.2106,0.1017,0.057,0.1367,-0.1635,-0.2472
Cost of Revenue,1109072000.0,992655000.0,822510000.0,737619000.0,725392000.0,606193000.0,554491000.0,545343000.0,499657000.0,534608000.0
Gross Profit,293565000.0,333518000.0,292023000.0,243570000.0,208544000.0,165252000.0,145733000.0,117120000.0,83120000.0,162095000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,226281000.0,219234000.0,169798000.0,146177000.0,144959000.0,124967000.0,118314000.0,113304000.0,104092000.0,116665000.0
Operating Expenses,226281000.0,219234000.0,169798000.0,146177000.0,144959000.0,124967000.0,118314000.0,113304000.0,104092000.0,116665000.0
Operating Income,67284000.0,114284000.0,122225000.0,97393000.0,63585000.0,40285000.0,27419000.0,3816000.0,-20972000.0,45430000.0
Interest Expense,8449000.0,5508000.0,971000.0,593000.0,924000.0,1259000.0,1494000.0,1427000.0,719000.0,606000.0
Earnings before Tax,58662000.0,109880000.0,122805000.0,97324000.0,64999000.0,39766000.0,26907000.0,3596000.0,-17008000.0,46487000.0
Income Tax Expense,12968000.0,30392000.0,37015000.0,31982000.0,14483000.0,11780000.0,7796000.0,-1049000.0,-6676000.0,14745000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3825000.0,-525000.0
Net Income,45694000.0,79488000.0,85790000.0,65342000.0,50516000.0,27986000.0,19111000.0,4645000.0,-10332000.0,31742000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,45694000.0,79488000.0,85790000.0,65342000.0,50516000.0,27986000.0,19111000.0,4645000.0,-10332000.0,31742000.0
EPS,1.64,2.79,2.98,2.25,1.76,0.98,0.68,0.17,-0.37,1.16
EPS Diluted,1.63,2.76,2.97,2.22,1.72,0.95,0.67,0.17,-0.37,1.15
Weighted Average Shs Out,27175800.0,28417366.0,28646308.0,28884251.0,28996209.0,28841849.0,28481015.0,28025067.0,28129528.0,27976387.0
Weighted Average Shs Out (Dil),27802000.0,28534000.0,28781000.0,29058000.0,28763000.0,28483000.0,27954000.0,27741000.0,27637000.0,27381000.0
Dividend per Share,0.648,0.578,0.515,0.455,0.41,0.37,0.36,0.326,0.326,0.326
Gross Margin,0.2093,0.2515,0.262,0.2482,0.2233,0.2142,0.2081,0.1768,0.1426,0.2327
EBITDA Margin,0.083,0.128,0.143,0.132,0.102,0.088,0.078,0.049,0.02,0.11
EBIT Margin,0.0478,0.087,0.1111,0.0998,0.0706,0.0532,0.0406,0.0076,-0.028,0.0676
Profit Margin,0.033,0.06,0.077,0.067,0.054,0.036,0.027,0.007,-0.018,0.046
Free Cash Flow margin,0.0342,0.0571,0.0517,0.0886,0.0477,0.0143,0.0099,0.0381,-0.0298,0.1256
EBITDA,116909000.0,170231000.0,159383000.0,129165000.0,95346000.0,67575000.0,54930000.0,32269000.0,11929000.0,76694000.0
EBIT,67111000.0,115388000.0,123776000.0,97917000.0,65923000.0,41025000.0,28401000.0,5023000.0,-16289000.0,47093000.0
Consolidated Income,45694000.0,79488000.0,85790000.0,65342000.0,50516000.0,27986000.0,19111000.0,4645000.0,-10332000.0,31742000.0
Earnings Before Tax Margin,0.0418,0.0829,0.1102,0.0992,0.0696,0.0515,0.0384,0.0054,-0.0292,0.0667
Net Profit Margin,0.0326,0.0599,0.077,0.0666,0.0541,0.0363,0.0273,0.007,-0.0177,0.0456
