Date,2019-03-31,2018-03-31,2017-03-31,2016-03-31,2015-03-31,2014-03-31,2013-03-31,2012-03-31,2011-03-31,2010-03-31
Cash and cash equivalents,10894000.0,12720000.0,6149000.0,11231000.0,7069000.0,21805000.0,1149000.0,8799000.0,845000.0,640000.0
Short-term investments,132000.0,151000.0,121000.0,213000.0,109000.0,24000.0,563000.0,0.0,0.0,0.0
Cash and short-term investments,11026000.0,12871000.0,6270000.0,11444000.0,7178000.0,21829000.0,1712000.0,8799000.0,845000.0,640000.0
Receivables,22707000.0,17050000.0,16554000.0,17519000.0,12174000.0,5102000.0,1995000.0,1190000.0,2699000.0,4711000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,37123000.0,39755000.0,23665000.0,29674000.0,20192000.0,27481000.0,3992000.0,10109000.0,3840000.0,13205000.0
Property Plant & Equipment Net,3430000.0,2757000.0,2377000.0,1784000.0,614000.0,465000.0,148000.0,230000.0,388000.0,603000.0
Goodwill and Intangible Assets,42268000.0,43499000.0,81186000.0,89111000.0,101683000.0,13911000.0,8345000.0,4457000.0,9975000.0,16350000.0
Long-term investments,0.0,0.0,0.0,999000.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,40000.0,596000.0,352000.0,500000.0,82000.0,3238000.0,134000.0,0.0,0.0,0.0
Total non-current assets,45738000.0,46852000.0,83915000.0,92394000.0,102379000.0,17614000.0,8493000.0,4687000.0,10363000.0,33576000.0
Total assets,82861000.0,86607000.0,107580000.0,122068000.0,122571000.0,45095000.0,12485000.0,14796000.0,14203000.0,46781000.0
Payables,14912000.0,19895000.0,19868000.0,15300000.0,8118000.0,2943000.0,3783000.0,3051000.0,3807000.0,4011000.0
Short-term debt,0.0,1445000.0,0.0,10560000.0,3600000.0,900000.0,3777000.0,75000.0,273000.0,26082000.0
Total current liabilities,38308000.0,46406000.0,30774000.0,38982000.0,23952000.0,11906000.0,9655000.0,6020000.0,7124000.0,38707000.0
Long-term debt,0.0,3873000.0,9685000.0,0.0,7090000.0,0.0,1252000.0,3077000.0,4461000.0,0.0
Total debt,0.0,5318000.0,9685000.0,10560000.0,10690000.0,900000.0,5029000.0,3152000.0,4734000.0,26082000.0
Deferred revenue,0.0,0.0,0.0,128000.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,941000.0,783000.0,905000.0,251000.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,222000.0,4469000.0,10819000.0,815000.0,7307000.0,2987000.0,1386000.0,3077000.0,4461000.0,0.0
Total liabilities,46503000.0,58935000.0,45535000.0,39797000.0,31042000.0,12144000.0,11748000.0,9097000.0,11585000.0,38707000.0
Other comprehensive income,332822000,318095000,299609000,295452000,276529000,193451000,142600000,133329000,-291000.0,-419000.0
Retained earnings (deficit),-296118000.0,-290108000.0,-237251000.0,-212987000.0,-184955000.0,-160308000.0,-141604000.0,-127443000.0,-96736000.0,-87352000.0
Total shareholders equity,36358000.0,27672000.0,62045000.0,82271000.0,91529000.0,32951000.0,737000.0,5699000.0,2618000.0,8074000.0
Investments,132000.0,151000.0,121000.0,1212000.0,109000.0,24000.0,563000.0,0.0,0.0,0.0
Net Debt,-10894000.0,-7402000.0,3536000.0,-671000.0,3621000.0,-20905000.0,3880000.0,-5647000.0,3889000.0,25442000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296000.0,7854000.0
Other Liabilities,7973000.0,8060000.0,3942000.0,0.0,0.0,0.0,707000.0,0.0,3044000.0,8614000.0
