Date,2018-09-30,2017-09-30,2016-09-30,2015-09-30,2014-09-30,2013-09-30,2012-09-30,2011-09-30,2010-09-30,2009-09-30
Depreciation & Amortization,185753000.0,190505000.0,189980000.0,194880000.0,197215000.0,202871000.0,169123000.0,94710000.0,87400000.0,83788000.0
Stock-based compensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Cash Flow,410269000.0,356782000.0,422943000.0,523858000.0,480070000.0,355603000.0,344429000.0,188851000.0,218816000.0,367498000.0
Capital Expenditure,-101277000.0,-98164000.0,-101693000.0,-102009000.0,-113934000.0,-111058000.0,-103140000.0,-77228000.0,-83170000.0,-36313000.0
Acquisitions and disposals,-10090000.0,-36824000.0,-37560000.0,-20840000.0,-15746000.0,-19946000.0,-1425002000.0,-34032000.0,-34345000.0,-50092000.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-84187000.0,-115053000.0,-124617000.0,-99033000.0,-109749000.0,-108891000.0,-1520060000.0,-106129000.0,-114929000.0,-79525000.0
Issuance (repayment) of debt,82946000.0,150783000.0,94643000.0,-52708000.0,-20172000.0,36469000.0,1221582000.0,90856000.0,7893000.0,-71659000.0
Issuance (buybacks) of shares,801000.0,1465000.0,1127000.0,3501000.0,2499000.0,1221000.0,277513000.0,616000.0,566000.0,-338000.0
Dividend payments,-402645000.0,-398877000.0,-387659000.0,-368426000.0,-346744000.0,-327000000.0,-271839000.0,-171821000.0,-161626000.0,-165282000.0
Financing Cash Flow,-326520000.0,-250240000.0,-297256000.0,-423548000.0,-369476000.0,-294179000.0,1227101000.0,-81816000.0,-155374000.0,-239669000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-438000.0,-8511000.0,1070000.0,1277000.0,845000.0,-47467000.0,51470000.0,906000.0,-51487000.0,48304000.0
Free Cash Flow,308992000.0,258618000.0,321250000.0,421849000.0,366136000.0,244545000.0,241289000.0,111623000.0,135646000.0,331185000.0
Net Cash/Marketcap,-0.7535,-0.6432,-0.5805,-0.6145,-0.565,-0.5969,-0.5749,-0.4061,-0.3419,-0.3922
