Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,14656000.0,16172000.0,8507000.0,10484000.0,22143000.0,82574000.0,75464000.0,74662000.0,69413000.0,37035000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,14656000.0,16172000.0,8507000.0,10484000.0,22143000.0,82574000.0,75464000.0,74662000.0,69413000.0,37035000.0
Receivables,165824000.0,185664000.0,180265000.0,184107000.0,200127000.0,221343000.0,193683000.0,203452000.0,230229000.0,210645000.0
Inventories,63881000.0,58075000.0,53314000.0,54148000.0,66356000.0,44946000.0,47455000.0,52006000.0,48530000.0,37282000.0
Total current assets,346923000.0,337534000.0,351341000.0,306046000.0,395347000.0,549679000.0,505794000.0,614556000.0,579565000.0,418923000.0
Property, Plant & Equipment Net,4648930000.0,4398810000.0,4147500000.0,3898589000.0,3661978000.0,3260980000.0,3070258000.0,2906463000.0,2714237000.0,2684601000.0
Goodwill and Intangible Assets,57672000.0,57672000.0,57672000.0,57672000.0,57976000.0,115833000.0,122215000.0,73667000.0,25935000.0,24718000.0
Long-term investments,0.0,0.0,11547000.0,11547000.0,22980000.0,25430000.0,27880000.0,30330000.0,32780000.0,35230000.0
Tax assets,0.0,0.0,48265000.0,24121000.0,58687000.0,32571000.0,37058000.0,45851000.0,47891000.0,50911000.0
Total non-current assets,5435653000.0,5177198000.0,4958414000.0,4600603000.0,4305624000.0,3812244000.0,3807385000.0,3599975000.0,3360530000.0,3188036000.0
Total assets,5782576000.0,5514732000.0,5309755000.0,4906649000.0,4700971000.0,4361923000.0,4313179000.0,4214531000.0,3940095000.0,3606959000.0
Payables,108372000.0,107289000.0,115545000.0,114349000.0,112974000.0,182088000.0,198914000.0,166954000.0,171707000.0,160861000.0
Short-term debt,297645000.0,382836000.0,123287000.0,198167000.0,112855000.0,187765000.0,117337000.0,117142000.0,122821000.0,127889000.0
Total current liabilities,639584000.0,697502000.0,407528000.0,474680000.0,385269000.0,625340000.0,576149000.0,627174000.0,579175000.0,503417000.0
Long-term debt,1807076000.0,1543346000.0,1730264000.0,1531658000.0,1532249000.0,1371403000.0,1301752000.0,1254176000.0,1199517000.0,1087696000.0
Total debt,2104721000.0,1926182000.0,1853551000.0,1729825000.0,1645104000.0,1559168000.0,1419089000.0,1371318000.0,1322338000.0,1215585000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,487602000.0,466630000.0,874302000.0,778455000.0,710342000.0,535343000.0,524877000.0,505954000.0,495474000.0,494666000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,99117000.0,87839000.0,118325000.0,100543000.0,51648000.0
Total non-current liabilities,3368947000.0,3086746000.0,3253751000.0,2903682000.0,2832460000.0,2402427000.0,2454957000.0,2349673000.0,2189014000.0,2018095000.0
Total liabilities,4008531000.0,3784248000.0,3661279000.0,3378362000.0,3217729000.0,3027767000.0,3031106000.0,2976847000.0,2768189000.0,2521512000.0
Other comprehensive income,-7866000.0,-8090000.0,-7568000.0,-6650000.0,-7888000.0,-5819000.0,-6700000.0,-5637000.0,-4326000.0,-2350000.0
Retained earnings (deficit),644595000.0,604470000.0,581014000.0,530940000.0,491599000.0,407092000.0,376940000.0,336150000.0,302518000.0,274990000.0
Total shareholders equity,1773220000.0,1729828000.0,1648727000.0,1528626000.0,1483671000.0,1298266000.0,1259477000.0,1185701000.0,1125784000.0,1051287000.0
Investments,0.0,0.0,11547000.0,11547000.0,22980000.0,25430000.0,27880000.0,30330000.0,32780000.0,35230000.0
Net Debt,2090065000.0,1910010000.0,1845044000.0,1719341000.0,1622961000.0,1476594000.0,1343625000.0,1296656000.0,1252925000.0,1178550000.0
Other Assets,102562000.0,77623000.0,109255000.0,57307000.0,106721000.0,200816000.0,189192000.0,284436000.0,231393000.0,133961000.0
Other Liabilities,233567000.0,207377000.0,168696000.0,162164000.0,159440000.0,255487000.0,259898000.0,343078000.0,284647000.0,214667000.0
