date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,121600000.0,249000000.0,207100000.0,36700000.0,41800000.0,93700000.0,27400000.0,-224900000.0,243300000.0,179400000.0
,depreciationAndAmortization,320300000.0,353000000.0,369100000.0,347500000.0,322100000.0,307700000.0,308700000.0,300700000.0,110700000.0,108700000.0
,deferredIncomeTax,-55400000.0,15700000.0,6100000.0,91700000.0,-14200000.0,-5000000.0,-38200000.0,-120800000.0,9100000.0,3500000.0
,stockBasedCompensation,15100000.0,15700000.0,37300000.0,38500000.0,41100000.0,30200000.0,8000000.0,7400000.0,0.0,0.0
,changeInWorkingCapital,58300000.0,231500000.0,35600000.0,233100000.0,-35400000.0,109500000.0,-26000000.0,347000000.0,634100000.0,-60600000.0
,accountsReceivables,0.0,-10100000.0,-22300000.0,-15200000.0,-67800000.0,-61100000.0,-40200000.0,-6400000.0,-58900000.0,-5400000.0
,inventory,39600000.0,10800000.0,-48100000.0,-19900000.0,-1700000.0,-35200000.0,-24700000.0,33900000.0,5700000.0,6100000.0
,accountsPayables,103000000.0,18200000.0,49500000.0,39800000.0,32300000.0,-6700000.0,53600000.0,67100000.0,54900000.0,10000000.0
,otherWorkingCapital,31700000.0,1500500000.0,1269000000.0,1233400000.0,1000300000.0,1035700000.0,926200000.0,952200000.0,605200000.0,-28900000.0
,otherNonCashItems,5000000.0,-6000000.0,-2300000.0,12400000.0,15900000.0,33100000.0,-4300000.0,154900000.0,7600000.0,-1500000.0
,netCashProvidedByOperatingActivites,509300000.0,573100000.0,496100000.0,540000000.0,559300000.0,399600000.0,251400000.0,376800000.0,388800000.0,236200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-82100000.0,-112500000.0,-143400000.0,-125000000.0,-136200000.0,-138100000.0,-188400000.0,-107300000.0,-73200000.0,-82700000.0
,acquisitionsNet,3000000.0,5000000.0,-83000000.0,-564000000.0,-115000000.0,-30000000.0,0.0,-4828000000.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-22500000.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,22500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,2700000.0,-1000000.0,5100000.0,4100000.0,-6000000.0,3400000.0,16600000.0,700000.0,6500000.0,7500000.0
,netCashUsedForInvestingActivites,-61500000.0,-93900000.0,-216100000.0,-689600000.0,-257000000.0,-164300000.0,-178500000.0,-5011200000.0,-88200000.0,-116600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1262100000.0,-67100000.0,-556000000.0,-64100000.0,-1764300000.0,-144200000.0,-154900000.0,-46600000.0,-700000.0,-400000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0,1355400000.0,0.0,0.0
,commonStockRepurchased,-26000000.0,-105300000.0,-253800000.0,-58400000.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-47100000.0,-36300000.0,-17800000.0,-18600000.0,-89500000.0,-4900000.0,-5200000.0,-156200000.0,-289900000.0,-125100000.0
,netCashUsedProvidedByFinancingActivities,-130900000.0,-158400000.0,-341300000.0,367300000.0,-232600000.0,-74500000.0,-123200000.0,5098100000.0,-290600000.0,-125100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,26600000.0,3300000.0,-15200000.0,17100000.0,-19300000.0,-57900000.0,-26900000.0,-4400000.0,-100000.0,2400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,343500000.0,324100000.0,-76500000.0,234800000.0,50400000.0,102900000.0,-77200000.0,0.0,9900000.0,-3100000.0
,cashAtEndOfPeriod,1364000000.0,1020500000.0,696400000.0,772900000.0,538100000.0,485000000.0,382100000.0,459300000.0,28700000.0,18800000.0
,cashAtBeginningOfPeriod,1020500000.0,696400000.0,772900000.0,538100000.0,487700000.0,382100000.0,459300000.0,0.0,18800000.0,21900000.0
,operatingCashFlow,509300000.0,573100000.0,496100000.0,540000000.0,559300000.0,399600000.0,251400000.0,376800000.0,388800000.0,236200000.0
,capitalExpenditure,-82100000.0,-112500000.0,-143400000.0,-125000000.0,-136200000.0,-138100000.0,-188600000.0,-54500000.0,-94800000.0,-124400000.0
,freeCashFlow,427200000.0,460600000.0,352700000.0,415000000.0,423100000.0,261500000.0,62800000.0,269500000.0,294000000.0,111800000.0
