Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-06-30,2010-06-30,2009-06-30
Cash and cash equivalents,8371111.1111,19637077.769,20334821.4286,12381055.6761,16225473.3219,16983082.7068,32215291.7505,56309844.5596,30240075.6144,14086355.7858
Short-term investments,260000.0,571877.4548,1258184.5238,279103.3984,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,8631111.1111,20208955.2238,21593005.9524,12660159.0745,16225473.3219,16983082.7068,32215291.7505,56309844.5596,30240075.6144,14086355.7858
Receivables,5045185.1852,1638648.861,2186011.9048,1798987.7079,3400172.117,4632518.797,9856136.8209,6515025.9067,2224952.741,2018998.2729
Inventories,4086666.6667,4233307.1485,3914434.5238,3793926.2473,4509466.4372,4943609.0226,8752515.0905,10006217.6166,0.0,0.0
Total current assets,12914074.0741,17598586.0173,19020089.2857,11290672.4512,12245266.7814,18078947.3684,42381287.7264,69292227.9793,29006616.2571,64375647.6684
Property Plant & Equipment Net,72191851.8519,63505891.5947,53474702.381,55368763.5575,65152323.58,95542293.2331,159035211.2676,144249740.9326,93868620.0378,59262521.5889
Goodwill and Intangible Assets,460000.0,90337.7848,145089.2857,228488.7925,295180.7229,301691.7293,461770.6237,651813.4715,892249.5274,1248704.6632
Long-term investments,302962.963,806755.6952,0.0,0.0,513769.3632,506578.9474,2715291.7505,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,85617777.7778,78492537.3134,62591517.8571,62853940.7086,78283993.1153,105241541.3534,171200201.2072,148938860.1036,98899810.9641,21820379.9655
Total assets,98531851.8519,96091123.3307,81611607.1429,74144613.1598,90529259.8967,123320488.7218,213581488.9336,218231088.0829,127906427.2212,77380829.0155
Payables,5340740.7407,2828750.9819,1363095.2381,1549530.0072,2063683.3046,2086466.1654,15690140.8451,13896373.057,9323251.4178,3829879.1019
Short-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current liabilities,5928888.8889,3298507.4627,1819940.4762,2178597.2523,3265920.8262,3684210.5263,16498993.9638,14246632.1244,9470699.4329,3951640.7599
Long-term debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deferred revenue,80740.7407,153967.0071,250744.0476,519884.3095,1563683.3046,1321428.5714,1988933.6016,538860.1036,427221.172,0.0
Tax Liabilities,2294814.8148,482325.216,0.0,566883.5864,1214285.7143,2627819.5489,14331991.9517,7535751.2953,7282608.6957,4524179.62
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15725388.601
Total non-current liabilities,6210370.3704,4453260.0157,3686755.9524,17712219.812,20966437.1773,24543233.0827,49652917.505,63635233.1606,38194706.9943,21820379.9655
Total liabilities,12139259.2593,7751767.4784,5506696.4286,19890817.0644,24232358.0034,28227443.609,66151911.4688,77881865.285,47665406.4272,25772020.7254
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-89366791.4007,-90347687.4003,-87700594.3536,-81882742.7254,,,,,,
Total shareholders equity,86392592.5926,88339355.8523,76104910.7143,54253796.0954,66296901.8933,95093045.1128,147429577.4648,140349222.7979,80241020.794,51608808.2902
Investments,562962.963,1378633.15,1258184.5238,279103.3984,513769.3632,506578.9474,2715291.7505,0.0,0.0,0.0
Net Debt,-8628650.1822,,,,,,,,,
Other Assets,-4971122.0356,,,,,,,,,
Other Liabilities,588148.1482,469756.4808,456845.2381,629067.2451,1202237.5216,1597744.3609,808853.1187,350259.0674,147448.0151,121761.658
