Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,90300000.0,86223000.0,101304000.0,46732000.0,79915000.0,111532000.0,134565000.0,78458000.0,47918000.0,139480000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,90300000.0,86223000.0,101304000.0,46732000.0,79915000.0,111532000.0,134565000.0,78458000.0,47918000.0,139480000.0
Receivables,144767000.0,148466000.0,108686000.0,102162000.0,247230000.0,204444000.0,209152000.0,254511000.0,150406000.0,86010000.0
Inventories,36449000.0,36403000.0,35691000.0,36944000.0,44557000.0,34240000.0,40230000.0,34963000.0,21556000.0,10962000.0
Total current assets,295209000.0,299615000.0,264530000.0,211485000.0,415200000.0,403013000.0,441388000.0,422835000.0,331268000.0,323168000.0
Property, Plant & Equipment Net,448801000.0,502579000.0,488848000.0,846290000.0,1007969000.0,928037000.0,943766000.0,856412000.0,625702000.0,666642000.0
Goodwill and Intangible Assets,2984000.0,3221000.0,3458000.0,66745000.0,149184000.0,188469000.0,188598000.0,157208000.0,61983000.0,38613000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,1574000.0,1878000.0,1271000.0,1828000.0,17785000.0,34911000.0,34754000.0,39468000.0,87770000.0,70727000.0
Total non-current assets,466568000.0,520865000.0,503630000.0,926696000.0,1181977000.0,1140326000.0,1157618000.0,1037093000.0,698545000.0,716373000.0
Total assets,761777000.0,820480000.0,768160000.0,1138181000.0,1597177000.0,1543339000.0,1599006000.0,1459928000.0,1029813000.0,1039541000.0
Payables,98323000.0,80518000.0,47959000.0,54521000.0,50618000.0,45508000.0,61740000.0,56957000.0,40477000.0,22850000.0
Short-term debt,27039000.0,55997000.0,38468000.0,48651000.0,48575000.0,41394000.0,38235000.0,34115000.0,24231000.0,25967000.0
Total current liabilities,184311000.0,190957000.0,139821000.0,169555000.0,196138000.0,164648000.0,181357000.0,156483000.0,119254000.0,91517000.0
Long-term debt,322701000.0,259242000.0,184752000.0,828664000.0,882572000.0,846691000.0,844906000.0,748976000.0,474628000.0,475845000.0
Total debt,349740000.0,315239000.0,223220000.0,877315000.0,931147000.0,888085000.0,883141000.0,783091000.0,498859000.0,501812000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,78000.0,0.0,5066000.0,147621000.0,164306000.0,185101000.0,183551000.0,123393000.0,122221000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,358038000.0,290870000.0,213931000.0,862288000.0,1058386000.0,1033404000.0,1045239000.0,943742000.0,608636000.0,607875000.0
Total liabilities,542349000.0,481827000.0,353752000.0,1031843000.0,1254524000.0,1198052000.0,1226596000.0,1100225000.0,727890000.0,699392000.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-241271000.0,-96674000.0,0.0,-256812000.0,-15067000.0,-6726000.0,29203000.0,13659000.0,-27544000.0,23135000.0
Total shareholders equity,219428000.0,338653000.0,414408000.0,106338000.0,342653000.0,345287000.0,372410000.0,359703000.0,301923000.0,340149000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,259440000.0,229016000.0,121916000.0,830583000.0,851232000.0,776553000.0,748576000.0,704633000.0,450941000.0,362332000.0
Other Assets,23693000.0,28523000.0,18849000.0,25647000.0,43498000.0,52797000.0,57441000.0,54903000.0,111388000.0,86716000.0
Other Liabilities,58949000.0,54442000.0,53394000.0,66383000.0,96945000.0,77746000.0,81382000.0,65411000.0,54546000.0,42700000.0
