Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,13433828.0,13922390.0,20325415.0,15061689.0,14259441.0,14299013.0,11660648.0,13610069.0,10659663.0,5892777.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,13433828.0,13922390.0,20325415.0,15061689.0,14259441.0,14299013.0,11660648.0,13610069.0,10659663.0,5892777.0
Receivables,52417152.0,42669351.0,48186463.0,19847536.0,17637686.0,17195453.0,18175425.0,17759610.0,18376987.0,18173014.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,70945768.0,84660973.0,103419407.0,37079580.0,35317889.0,35851680.0,33390845.0,34838585.0,32239875.0,27818524.0
Property, Plant & Equipment Net,57753646.0,59318933.0,59789619.0,24472454.0,28254202.0,16807242.0,19066881.0,19761117.0,20575250.0,21912733.0
Goodwill and Intangible Assets,544936179.0,505012001.0,492197435.0,243651225.0,244543872.0,203133763.0,196881092.0,192543180.0,192543180.0,192543180.0
Long-term investments,0.0,0.0,0.0,0.0,1748092.0,2305502.0,2656067.0,2939655.0,3206768.0,3458366.0
Tax assets,0.0,0.0,0.0,0.0,0.0,374660.0,418900.0,146816.0,0.0,517424.0
Total non-current assets,610139311.0,570057808.0,558250641.0,274322315.0,278872992.0,228357209.0,225981819.0,220150322.0,220771639.0,222107469.0
Total assets,681085079.0,654718781.0,661670048.0,311401895.0,314190881.0,264208889.0,259372664.0,254988907.0,253011514.0,249925993.0
Payables,10273480.0,8606870.0,6943189.0,2779468.0,1120434.0,1675130.0,1156406.0,906780.0,688710.0,2436487.0
Short-term debt,67101.0,2314020.0,6686077.0,1484048.0,3112500.0,4250000.0,3500000.0,6848276.0,6925283.0,4987013.0
Total current liabilities,28859360.0,28961044.0,33946932.0,10899157.0,14097462.0,14316298.0,12636381.0,15049242.0,15277762.0,16041097.0
Long-term debt,243276273.0,212465882.0,247692171.0,86461778.0,93025258.0,102625000.0,113250000.0,119885343.0,135064472.0,146839703.0
Total debt,243343374.0,214779902.0,254378248.0,87945826.0,96137758.0,106875000.0,116750000.0,126733619.0,141989755.0,151826716.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,122912545.0,115282931.0,160539268.0,77739201.0,75776497.0,52771252.0,49449507.0,45303518.0,39310432.0,33010719.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,377191628.0,339591537.0,425231493.0,166965663.0,169551131.0,156266497.0,163687026.0,166292443.0,175507415.0,181444884.0
Total liabilities,406050988.0,368552581.0,459178425.0,177864820.0,183648593.0,170582795.0,176323407.0,181341685.0,190785177.0,197485981.0
Other comprehensive income,87885.0,424574.0,-721822.0,75159.0,21933.0,24622.0,14186.0,17269.0,-818224.0,-2171794.0
Retained earnings (deficit),155398555.0,154389494.0,72401766.0,29302054.0,27066481.0,-8824642.0,-19347366.0,-28451072.0,-38551397.0,-46537022.0
Total shareholders equity,275034091.0,286166200.0,202491623.0,133537075.0,130542288.0,93626094.0,83049257.0,73647222.0,62226337.0,52440012.0
Investments,0.0,0.0,0.0,0.0,1748092.0,2305502.0,2656067.0,2939655.0,3206768.0,3458366.0
Net Debt,229909546.0,200857512.0,234052833.0,72884137.0,81878317.0,92575987.0,105089352.0,113123550.0,131330092.0,145933939.0
Other Assets,5094788.0,28069232.0,34907529.0,2170355.0,3420762.0,4357214.0,3554772.0,3468906.0,3203225.0,3752733.0
Other Liabilities,18518779.0,18040154.0,20317666.0,6635641.0,9864528.0,8391168.0,7979975.0,7294186.0,7663769.0,8617597.0
