Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,940698000.0,920432000.0,840586000.0,740841000.0,636355000.0,536966000.0,402652000.0,314874000.0,273123000.0,236460000.0
Revenue Growth,0.022,0.095,0.1346,0.1642,0.1851,0.3336,0.2788,0.1529,0.155,-0.1569
Cost of Revenue,754025000.0,761901000.0,695050000.0,611385000.0,602950000.0,454465000.0,335938000.0,271422000.0,228383000.0,209521000.0
Gross Profit,186673000.0,158531000.0,145536000.0,129456000.0,33405000.0,82501000.0,66714000.0,43452000.0,44740000.0,26939000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,145465000.0,123138000.0,113342000.0,90177000.0,74065000.0,59439000.0,46450000.0,38174000.0,35429000.0,33481000.0
Operating Expenses,149684000.0,128590000.0,116595000.0,93028000.0,76571000.0,61476000.0,47927000.0,39518000.0,36824000.0,35122000.0
Operating Income,36989000.0,29941000.0,28941000.0,36428000.0,-43166000.0,21025000.0,18787000.0,3934000.0,7916000.0,-8183000.0
Interest Expense,1052000.0,313000.0,807000.0,1965000.0,173000.0,238000.0,76000.0,25000.0,0.0,0.0
Earnings before Tax,44769000.0,34378000.0,25586000.0,35146000.0,-42644000.0,21317000.0,19459000.0,15155000.0,9927000.0,-6543000.0
Income Tax Expense,6707000.0,9208000.0,6787000.0,9652000.0,-17098000.0,5644000.0,6328000.0,837000.0,2574000.0,-2598000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,38062000.0,25170000.0,18799000.0,25494000.0,-25546000.0,15673000.0,13131000.0,14318000.0,7353000.0,-3945000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,38062000.0,25170000.0,18799000.0,25494000.0,-25546000.0,15673000.0,13131000.0,14318000.0,7353000.0,-3945000.0
EPS,5.18,3.46,2.6,3.55,-3.57,2.21,1.7,1.42,0.71,-0.38
EPS Diluted,4.98,3.33,2.55,3.47,-3.57,2.12,1.67,1.41,0.71,-0.38
Weighted Average Shs Out,7381099.0,7300361.0,7243667.0,7202062.0,7116525.0,7165231.0,7012431.0,9892396.0,10201222.0,10488202.0
Weighted Average Shs Out (Dil),7342000.0,7275000.0,7226000.0,7173000.0,7160000.0,7105000.0,7723000.0,10083000.0,10333000.0,10452000.0
Dividend per Share,1.0,1.0,0.88,0.88,0.76,0.57,0.46,0.38,0.33,0.32
Gross Margin,0.1984,0.1722,0.1731,0.1747,0.0525,0.1536,0.1657,0.138,0.1638,0.1139
EBITDA Margin,0.053,0.044,0.035,0.054,-0.063,0.044,0.052,0.052,0.041,-0.021
EBIT Margin,0.0487,0.0377,0.0314,0.0501,-0.0667,0.0401,0.0485,0.0482,0.0363,-0.0277
Profit Margin,0.04,0.027,0.022,0.034,-0.04,0.029,0.033,0.045,0.027,-0.017
Free Cash Flow margin,0.0687,0.1186,0.0888,0.1318,0.1021,0.1231,0.1042,0.0956,0.0598,0.0091
EBITDA,50040000.0,40143000.0,29646000.0,39962000.0,-39965000.0,23592000.0,21012000.0,16524000.0,11322000.0,-4902000.0
EBIT,45821000.0,34691000.0,26393000.0,37111000.0,-42471000.0,21555000.0,19535000.0,15180000.0,9927000.0,-6543000.0
Consolidated Income,38062000.0,25170000.0,18799000.0,25494000.0,-25546000.0,15673000.0,13131000.0,14318000.0,7353000.0,-3945000.0
Earnings Before Tax Margin,0.0476,0.0373,0.0304,0.0474,-0.067,0.0397,0.0483,0.0481,0.0363,-0.0277
Net Profit Margin,0.0405,0.0273,0.0224,0.0344,-0.0401,0.0292,0.0326,0.0455,0.0269,-0.0167
