Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,110000.0,85000.0,77000.0,87000.0,106000.0,97000.0,157000.0,153000.0,162000.0,168000.0
Stock-based compensation,917000.0,554000.0,635000.0,835000.0,1024000.0,674000.0,560000.0,1135000.0,388000.0,409000.0
Operating Cash Flow,-12388000.0,-2364000.0,-5858000.0,-7408000.0,-4487000.0,-4054000.0,-2935000.0,-2223000.0,-2069000.0,-744000.0
Capital Expenditure,-369000.0,-180000.0,-103000.0,-45000.0,-161000.0,-108000.0,-90000.0,-48000.0,-5000.0,0.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,-849000.0,4166000.0,6080000.0,-11238000.0,-4289000.0,2764000.0,-2750000.0,-16000.0,6000.0,4000.0
Investing Cash flow,-1218000.0,3986000.0,5977000.0,-11283000.0,-4450000.0,2656000.0,-2840000.0,-64000.0,1000.0,39000.0
Issuance (repayment) of debt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46000.0,-26000.0
Issuance (buybacks) of shares,25000.0,314000.0,0.0,14868000.0,10285000.0,3584000.0,5169000.0,4117000.0,2206000.0,730000.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,12065000.0,314000.0,0.0,14868000.0,9685000.0,3584000.0,5169000.0,4117000.0,2160000.0,704000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-1541000.0,1936000.0,119000.0,-3823000.0,748000.0,2186000.0,-606000.0,1830000.0,92000.0,-1000.0
Free Cash Flow,-12757000.0,-2544000.0,-5961000.0,-7453000.0,-4648000.0,-4162000.0,-3025000.0,-2271000.0,-2074000.0,-744000.0
Net Cash/Marketcap,0.0961,0.1128,0.2088,0.3016,0.1174,0.1104,0.1237,0.0637,-0.0025,-0.0197
