Date,2018-12-30,2017-12-31,2017-01-01,2016-01-03,2014-12-28,2013-12-29,2012-12-30,2012-01-01,2011-01-02,2010-01-03
Cash and cash equivalents,6765000.0,7170000.0,7895000.0,7119000.0,11503000.0,9400000.0,7635000.0,0.0,5620000.0,5765000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cash and short-term investments,6765000.0,7170000.0,7895000.0,7119000.0,11503000.0,9400000.0,7635000.0,0.0,5620000.0,5765000.0
Receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000000.0,13398000.0
Inventories,294900000.0,313905000.0,294319000.0,299446000.0,310088000.0,300952000.0,270350000.0,0.0,254217000.0,230911000.0
Total current assets,325073000.0,350891000.0,324499000.0,344030000.0,357654000.0,345009000.0,311971000.0,0.0,291872000.0,267480000.0
Property Plant & Equipment Net,76488000.0,77265000.0,78420000.0,82036000.0,78440000.0,75608000.0,72089000.0,0.0,81333000.0,81817000.0
Goodwill and Intangible Assets,0.0,0.0,4433000.0,4433000.0,4433000.0,4433000.0,4433000.0,0.0,4433000.0,4433000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,14543000.0,14172000.0,23699000.0,12302000.0,12792000.0,13564000.0,14795000.0,0.0,21843000.0,19050000.0
Total non-current assets,94488000.0,94169000.0,109080000.0,100999000.0,97922000.0,96879000.0,94689000.0,0.0,100484000.0,98642000.0
Total assets,419561000.0,445060000.0,433579000.0,445029000.0,455576000.0,441888000.0,406660000.0,0.0,392356000.0,366122000.0
Payables,80613000.0,113740000.0,109314000.0,89961000.0,92369000.0,104826000.0,92688000.0,0.0,94818000.0,85721000.0
Short-term debt,2322000.0,1754000.0,1326000.0,1435000.0,1197000.0,1567000.0,1720000.0,0.0,1925000.0,1904000.0
Total current liabilities,150594000.0,183720000.0,187527000.0,160920000.0,163965000.0,176316000.0,161961000.0,0.0,161135000.0,146939000.0
Long-term debt,4823000.0,2800000.0,1999000.0,2392000.0,1155000.0,1595000.0,2855000.0,0.0,49882000.0,57233000.0
Total debt,7145000.0,4554000.0,3325000.0,3827000.0,2352000.0,3162000.0,4575000.0,0.0,51807000.0,59137000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24349000.0,23832000.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,33929000.0,32071000.0,33014000.0,41532000.0,41320000.0,43784000.0,42723000.0,0.0,80495000.0,87322000.0
Total liabilities,244700000.0,257991000.0,228542000.0,246198000.0,260572000.0,251118000.0,242240000.0,0.0,241630000.0,234261000.0
Other comprehensive income,75824000,74396000,80426000,79587000,82238000,83961000,76718000,0.0,0.0,0.0
Retained earnings (deficit),98787000.0,112424000.0,124363000.0,118998000.0,112521000.0,106565000.0,87464000.0,0.0,73949000.0,57738000.0
Total shareholders equity,174861000.0,187069000.0,205037000.0,198831000.0,195004000.0,190770000.0,164420000.0,0.0,150726000.0,131861000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Debt,380000.0,-2616000.0,-4570000.0,-3292000.0,-9151000.0,-6238000.0,-3060000.0,0.0,46187000.0,53372000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17035000.0,17406000.0
Other Liabilities,60177000.0,42200000.0,8001000.0,43746000.0,55287000.0,31018000.0,37556000.0,0.0,64392000.0,59314000.0
