Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,183415000.0,906010000.0,555137000.0,878265000.0,726666000.0,753461000.0,800321000.0,918776000.0,502475000.0,345694000.0
Short-term investments,103834000.0,87746000.0,37977000.0,101441000.0,130796000.0,176529000.0,129972000.0,63501000.0,101850000.0,64461000.0
Cash and short-term investments,287249000.0,993756000.0,593114000.0,979706000.0,857462000.0,929990000.0,930293000.0,982277000.0,604325000.0,410155000.0
Receivables,978140000.0,795239000.0,433614000.0,875265000.0,913743000.0,812582000.0,597487000.0,553502000.0,681800000.0,373717000.0
Inventories,43635000.0,74483000.0,159043000.0,215020000.0,217132000.0,192140000.0,92187000.0,113606000.0,126534000.0,142565000.0
Total current assets,1338080000.0,1185218000.0,1235573000.0,1153574000.0,1095298000.0,921273000.0,903972000.0,706118000.0,728224000.0,617756000.0
Property, Plant & Equipment Net,386736000.0,352035000.0,347182000.0,354494000.0,364382000.0,379399000.0,375031000.0,370721000.0,372692000.0,370224000.0
Goodwill and Intangible Assets,68566000.0,62039000.0,63422000.0,13945000.0,14341000.0,14850000.0,14660000.0,14566000.0,15012000.0,16356000.0
Long-term investments,602389000.0,507538000.0,651159000.0,611899000.0,579152000.0,347936000.0,332204000.0,184124000.0,190577000.0,117129000.0
Tax assets,57082000.0,42599000.0,14861000.0,16913000.0,55280000.0,67905000.0,82632000.0,74357000.0,59868000.0,67608000.0
Total non-current assets,998805000.0,953741000.0,1255849000.0,1260036000.0,827375000.0,611392000.0,617390000.0,531435000.0,529736000.0,566663000.0
Total assets,2689088000.0,3087307000.0,2504426000.0,3263313000.0,3134820000.0,2893546000.0,2575095000.0,2399414000.0,2178628000.0,1586123000.0
Payables,1098534000.0,1086495000.0,597871000.0,1066918000.0,1181024000.0,1015856000.0,678048000.0,838656000.0,742432000.0,402601000.0
Short-term debt,13604000.0,308932000.0,6629000.0,6292000.0,218728000.0,3630000.0,181250000.0,2976000.0,0.0,0.0
Total current liabilities,1248789000.0,1516626000.0,742975000.0,1196573000.0,1429207000.0,1142489000.0,964879000.0,964312000.0,877384000.0,442475000.0
Long-term debt,918786000.0,849503000.0,1163941000.0,1146461000.0,745000000.0,515148000.0,515197000.0,464552000.0,472862000.0,512939000.0
Total debt,932390000.0,1158435000.0,1170570000.0,1152753000.0,963728000.0,518778000.0,696447000.0,467528000.0,472862000.0,512939000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,65671000.0,60941000.0,53740000.0,70048000.0,35020000.0,48432000.0,46911000.0,54220000.0,54236000.0,15117000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,998805000.0,953741000.0,1255849000.0,1260036000.0,827375000.0,611392000.0,617390000.0,531435000.0,529736000.0,566663000.0
Total liabilities,2247594000.0,2470367000.0,1998824000.0,2456609000.0,2256582000.0,1753881000.0,1582269000.0,1495747000.0,1407120000.0,1009138000.0
Other comprehensive income,-72044000.0,-62466000.0,-90358000.0,-66204000.0,-76766000.0,-39453000.0,-50375000.0,-53918000.0,-18948000.0,-38347000.0
Retained earnings (deficit),888333000.0,779699000.0,660347000.0,586235000.0,569894000.0,790603000.0,674351000.0,601282000.0,444717000.0,297579000.0
Total shareholders equity,441339000.0,616755000.0,505418000.0,806427000.0,877697000.0,1139318000.0,992826000.0,903667000.0,771508000.0,576985000.0
Investments,706223000.0,595284000.0,689136000.0,713340000.0,709948000.0,524465000.0,462176000.0,247625000.0,292427000.0,181590000.0
Net Debt,645141000.0,164679000.0,577456000.0,173047000.0,106266000.0,-411212000.0,-233846000.0,-514749000.0,-131463000.0,102784000.0
Other Assets,41984000.0,38611000.0,83082000.0,39748000.0,51185000.0,37561000.0,51156000.0,43911000.0,37745000.0,41930000.0
Other Liabilities,136651000.0,121199000.0,138475000.0,123363000.0,29455000.0,123003000.0,105581000.0,122680000.0,134952000.0,39874000.0
