Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2010-06-30,2009-12-31
Cash and cash equivalents,431526000.0,383824000.0,456264000.0,457549000.0,413251000.0,331551000.0,463388000.0,574231000.0,906551000.0,614223000.0,649938000.0
Short-term investments,373200000.0,328000000.0,347800000.0,328718000.0,284384000.0,570900000.0,457685000.0,238884000.0,118636000.0,103486000.0,94876000.0
Cash and short-term investments,804726000.0,711824000.0,804064000.0,786267000.0,697635000.0,902451000.0,921073000.0,813115000.0,1025187000.0,717709000.0,744814000.0
Receivables,392443000.0,464847000.0,372348000.0,391485000.0,377640000.0,422660000.0,398739000.0,398674000.0,387996000.0,335354000.0,345734000.0
Inventories,583815000.0,594804000.0,524961000.0,490224000.0,470997000.0,501291000.0,448370000.0,433510000.0,398100000.0,370272000.0,351206000.0
Total current assets,2023478000.0,1976649000.0,1844524000.0,1777596000.0,1716367000.0,1747856000.0,1929932000.0,1798155000.0,1975346000.0,1555827000.0,1562674000.0
Property Plant & Equipment Net,508690000.0,493496000.0,488614000.0,437690000.0,428836000.0,429355000.0,416938000.0,349501000.0,333617000.0,305936000.0,302417000.0
Goodwill and Intangible Assets,352923000.0,680213000.0,638700000.0,709974000.0,754669000.0,783958000.0,756357000.0,728430000.0,567862000.0,529308000.0,532405000.0
Long-term investments,0.0,0.0,0.0,719840000.0,389309000.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,76300000.0,79200000.0,120400000.0,99500000.0,81200000.0,79000000.0,15477000.0,11189000.0,12976000.0,0.0,56374000.0
Total non-current assets,3587590000.0,2296363000.0,2005980000.0,1933946000.0,1624911000.0,1640934000.0,1506821000.0,1298648000.0,1087418000.0,971297000.0,973179000.0
Total assets,5611068000.0,4273012000.0,3850504000.0,3711542000.0,3341278000.0,3388790000.0,3436753000.0,3096803000.0,3062764000.0,2527124000.0,2535853000.0
Payables,122450000.0,135182000.0,133109000.0,122391000.0,128608000.0,148510000.0,130867000.0,129124000.0,0.0,0.0,92988000.0
Short-term debt,101218000.0,127288000.0,115388000.0,101783000.0,102581000.0,97017000.0,113043000.0,114787000.0,731100000.0,102291000.0,5132000.0
Total current liabilities,450795000.0,502696000.0,471322000.0,441351000.0,446761000.0,487472000.0,469920000.0,459115000.0,666627000.0,389495000.0,419972000.0
Long-term debt,438900000.0,434600000.0,434200000.0,435707000.0,435710000.0,435615000.0,732414000.0,731698000.0,0.0,734339000.0,737919000.0
Total debt,540118000.0,561888000.0,549588000.0,537490000.0,538291000.0,532632000.0,845457000.0,846485000.0,731100000.0,836630000.0,743051000.0
Deferred revenue,26936000.0,28233000.0,31003000.0,29683000.0,26716000.0,26390000.0,26288000.0,24322000.0,0.0,0.0,0.0
Tax Liabilities,27513000.0,39941000.0,28124000.0,29339000.0,35165000.0,33555000.0,32299000.0,52285000.0,0.0,0.0,85216000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,1139905000.0,840085000.0,792437000.0,779688000.0,709362000.0,714596000.0,955563000.0,893306000.0,124518000.0,834897000.0,836668000.0
Total liabilities,1590737000.0,1342762000.0,1263745000.0,1221039000.0,1156123000.0,1202068000.0,1426018000.0,1352866000.0,1526068000.0,1241993000.0,1256640000.0
Other comprehensive income,345214000,361015000,332811000,300308000,271246000,239886000,212144000,185336000,156987000,140734000,133082000.0
Retained earnings (deficit),3722073000.0,1830439000.0,1836180000.0,1808055000.0,1694962000.0,1606117000.0,1523688000.0,1359910000.0,1181687000.0,1069015000.0,996197000.0
Total shareholders equity,4020331000.0,2930250000.0,2586759000.0,2490503000.0,2185155000.0,2186722000.0,2010735000.0,1743937000.0,1536696000.0,1285131000.0,1259726000.0
Investments,373200000.0,328000000.0,347800000.0,1048558000.0,673693000.0,570900000.0,457685000.0,238884000.0,118636000.0,103486000.0,94876000.0
Net Debt,108592000.0,178064000.0,93324000.0,79941000.0,125040000.0,201081000.0,382069000.0,272254000.0,-175451000.0,222407000.0,-1763000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120920000.0
Other Liabilities,37000.0,0.0,0.0,0.0,0.0,0.0,535000.0,445000.0,734923000.0,17601000.0,321852000.0
