Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,6488000000.0,7038000000.0,6175000000.0,6231000000.0,6001000000.0,4551000000.0,4903000000.0,3560000000.0,3460000000.0,4708000000.0
Short-term investments,265000000.0,0.0,0.0,0.0,,,,,,
Cash and short-term investments,6753000000.0,7038000000.0,6175000000.0,6231000000.0,,,,,,
Receivables,2657000000.0,2699000000.0,2115000000.0,2237000000.0,2120000000.0,2247000000.0,2250000000.0,2102000000.0,2245000000.0,1907000000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,32959000000.0,35968000000.0,37606000000.0,40828000000.0,,,,,,
Property, Plant & Equipment Net,643000000.0,592000000.0,559000000.0,581000000.0,467000000.0,525000000.0,557000000.0,537000000.0,428000000.0,443000000.0
Goodwill and Intangible Assets,31365000000.0,30609000000.0,30481000000.0,30495000000.0,30305000000.0,30481000000.0,30312000000.0,30148000000.0,30317000000.0,30346000000.0
Long-term investments,2034000000.0,1981000000.0,1685000000.0,1995000000.0,,,,,,
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,,,,,,,,,,
Total assets,159573000000.0,220241000000.0,220177000000.0,225261000000.0,239792000000.0,219873000000.0,200451000000.0,179896000000.0,178459000000.0,178124000000.0
Payables,1292000000.0,1161000000.0,880000000.0,1068000000.0,1035000000.0,1084000000.0,1055000000.0,945000000.0,1125000000.0,1345000000.0
Short-term debt,0.0,0.0,0.0,0.0,,,,,,
Total current liabilities,23935000000.0,27504000000.0,30552000000.0,34375000000.0,,,,,,
Long-term debt,3979000000.0,5014000000.0,4915000000.0,4930000000.0,,,,,,
Total debt,5063000000.0,5014000000.0,4915000000.0,4930000000.0,8311000000.0,7308000000.0,8189000000.0,6364000000.0,4637000000.0,5668000000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,3571000000.0,3527000000.0,4840000000.0,4851000000.0,4989000000.0,5085000000.0,5293000000.0,5323000000.0,5477000000.0,5571000000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,,,,,,,,,,
Total liabilities,126033000000.0,187977000000.0,190833000000.0,196217000000.0,212272000000.0,193203000000.0,174834000000.0,154534000000.0,152125000000.0,153522000000.0
Other comprehensive income,-691000000.0,-432000000.0,-716000000.0,-448000000.0,-273000000.0,-35000000.0,-59000000.0,-127000000.0,-96000000.0,-96000000.0
Retained earnings (deficit),19282000000.0,16939000000.0,13660000000.0,12033000000.0,10145000000.0,8230000000.0,6473000000.0,5118000000.0,3798000000.0,2436000000.0
Total shareholders equity,32374000000.0,31798000000.0,29098000000.0,28503000000.0,27366000000.0,26460000000.0,25403000000.0,25048000000.0,26094000000.0,24329000000.0
Investments,25131000000.0,27664000000.0,30395000000.0,33944000000.0,38895000000.0,26264000000.0,27035000000.0,24188000000.0,20490000000.0,20384000000.0
Net Debt,-2509000000.0,,,,,,,,,
Other Assets,23549000000.0,,,,,,,,,
Other Liabilities,22643000000.0,26343000000.0,29672000000.0,33307000000.0,,,,,,
