Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31
Depreciation & Amortization,360765.0,412594.0,861831.0,935355.0,2989946.0,2687012.0,268499.0,133371.0
Stock-based compensation,3811866.0,3144804.0,652490.0,2907797.0,4238751.0,2778144.0,843899.0,0.0
Operating Cash Flow,-13420955.0,-2548661.0,-2749023.0,-5937237.0,-7036321.0,-3789542.0,-2351641.0,-2000493.0
Capital Expenditure,-37711.0,-23169.0,-80463.0,108701.0,-597963.0,-1141089.0,-712353.0,-466515.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,-3325607.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,-163292.0,0.0,0.0
Investing Cash flow,-37711.0,-23169.0,-80463.0,-102264.0,-830113.0,-4629988.0,-712353.0,-466515.0
Issuance (repayment) of debt,-505000.0,2923241.0,1385173.0,-328330.0,186157.0,-1022056.0,288248.0,0.0
Issuance (buybacks) of shares,33386110.0,0.0,0.0,0.0,0.0,17265509.0,1482303.0,2499999.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,31691028.0,2751083.0,2646153.0,4601670.0,1656157.0,16243453.0,2670551.0,2499999.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,18232362.0,179253.0,-183333.0,-1437831.0,-6210277.0,7823923.0,-393443.0,32991.0
Free Cash Flow,-13458666.0,-2571830.0,-2829486.0,-5828536.0,-7634284.0,-4930631.0,-3063994.0,-2467008.0
Net Cash/Marketcap,0.3996,-0.2014,-0.1033,-0.0221,0.0279,0.089,-0.0018,0.0092
