date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-10-31_FY,1992-10-31_FY,1991-10-31_FY,1990-10-31_FY,1989-10-31_FY
,revenue,229161000.0,397550000.0,326429000.0,192803000.0,158575000.0,166918000.0,202561000.0,209573000.0,201567000.0,208891000.0,154739000.0,164898000.0,232577000.0,165175000.0,113472000.0,79291000.0,54164630.0,40277970.0,45657569.0,42514774.0,27862581.0,29100000.0,38200000.0,32100000.0,29200000.0,19500000.0,15300000.0,16200000.0,15000000.0,14600000.0,13100000.0,11000000.0
,costOfRevenue,172308000.0,252627000.0,215734000.0,133412000.0,119895000.0,131294000.0,141142000.0,150059000.0,141859000.0,153445000.0,117789000.0,121779000.0,161732000.0,110168000.0,71439000.0,55856000.0,40559178.0,31405999.0,34191224.0,31832892.0,22253691.0,23900000.0,29200000.0,23600000.0,22400000.0,15000000.0,10900000.0,12600000.0,11700000.0,10500000.0,9500000.0,7700000.0
,grossProfit,56853000.0,144923000.0,110695000.0,59391000.0,38680000.0,35624000.0,61419000.0,59514000.0,59708000.0,55446000.0,36950000.0,43119000.0,70845000.0,55007000.0,42033000.0,23435000.0,13605452.0,8871971.0,11466345.0,10681882.0,5608890.0,5200000.0,9000000.0,8500000.0,6800000.0,4500000.0,4400000.0,3600000.0,3300000.0,4100000.0,3600000.0,3300000.0
,grossProfitRatio,0.248091952819197,0.364540309395045,0.339108963970726,0.308039812658517,0.24392243417941,0.213422159383649,0.303212365657753,0.283977420755536,0.296219123169963,0.265430296183177,0.238789186953515,0.261488920423535,0.304608796226626,0.333022551838959,0.370426184433164,0.295556872785058,0.251187020016568,0.220268573614807,0.251137878146776,0.251251059220025,0.201305471305763,0.178694158075601,0.235602094240838,0.264797507788162,0.232876712328767,0.230769230769231,0.287581699346405,0.222222222222222,0.22,0.280821917808219,0.274809160305344,0.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,300000.0,300000.0,600000.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,29150000.0,37976000.0,38452000.0,27135000.0,22115000.0,20998000.0,23766000.0,25273000.0,19141000.0,16711000.0,13696000.0,12980000.0,25411000.0,14924000.0,11930000.0,7667000.0,6717857.0,6698304.0,6627589.0,6645989.0,5105879.0,5200000.0,5300000.0,4100000.0,3300000.0,2800000.0,2600000.0,3200000.0,3300000.0,3100000.0,2600000.0,2300000.0
,SellingAndMarketingExpenses,23863000.0,27475000.0,22761000.0,18589000.0,16626000.0,18745000.0,18104000.0,16196000.0,16954000.0,14809000.0,11135000.0,8837000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-233000.0,-169000.0,-1202000.0,-1376000.0,633000.0,-669000.0,-313000.0,-528000.0,-32000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
