date,,2020-06-30_FY,2019-06-30_FY,2018-06-30_FY,2017-06-30_FY,2016-06-30_FY,2015-06-30_FY,2014-06-30_FY,2013-06-30_FY,2012-06-30_FY,2011-06-30_FY,2010-06-30_FY,2009-06-30_FY,2008-06-30_FY,2007-06-30_FY,2006-06-30_FY
,revenue,4529000000.0,4362200000.0,4329900000.0,4142600000.0,2897000000.0,2694200000.0,2558000000.0,2430800000.0,2303500000.0,2166900000.0,2209200000.0,2149300000.0,2207500000.0,2137900000.0,1933300000.0
,costOfRevenue,3265100000.0,3131900000.0,3169600000.0,3109600000.0,1975900000.0,1828200000.0,1761400000.0,1767800000.0,1715100000.0,1617100000.0,1616400000.0,1574100000.0,1606400000.0,1588100000.0,1433000000.0
,grossProfit,1263900000.0,1230300000.0,1160300000.0,1033000000.0,921100000.0,866000000.0,796600000.0,663000000.0,588400000.0,549800000.0,592800000.0,575200000.0,601100000.0,549800000.0,500300000.0
,grossProfitRatio,0.279068226981674,0.282036587043235,0.26797385620915,0.249360305122387,0.317949603037625,0.321431222626383,0.311415168100078,0.272749712028962,0.255437377903191,0.253726521759195,0.268332428028246,0.267622016470479,0.272298980747452,0.257168249216521,0.258780323798686
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,639000000.0,577500000.0,565400000.0,501400000.0,420900000.0,396800000.0,376000000.0,323600000.0,299900000.0,270000000.0,241600000.0,224900000.0,244300000.0,216700000.0,195900000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,13400000.0,-3700000.0,5500000.0,-800000.0,-31400000.0,-2300000.0,-2900000.0,-3200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,639000000.0,577500000.0,565400000.0,501400000.0,420900000.0,396800000.0,376000000.0,323600000.0,299900000.0,270000000.0,241600000.0,224900000.0,244300000.0,229000000.0,197600000.0
,costAndExpenses,3904100000.0,3709400000.0,3735000000.0,3611000000.0,2396800000.0,2225000000.0,2137400000.0,2091400000.0,2015000000.0,1887100000.0,1858000000.0,1799000000.0,1850700000.0,1817100000.0,1630600000.0
,interestExpense,62500000.0,45900000.0,42400000.0,44700000.0,28400000.0,25400000.0,23700000.0,13700000.0,13300000.0,10100000.0,9800000.0,19900000.0,57900000.0,24800000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
