Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Depreciation & Amortization,22700000.0,19900000.0,16900000.0,16400000.0,15000000.0,11100000.0,6900000.0,4700000.0,2971000.0
Stock-based compensation,6700000.0,8200000.0,6900000.0,4200000.0,1700000.0,1200000.0,0.0,0.0,0.0
Operating Cash Flow,122100000.0,49200000.0,95300000.0,88800000.0,64500000.0,27400000.0,80100000.0,64800000.0,69414000.0
Capital Expenditure,26200000.0,24700000.0,34400000.0,21400000.0,23400000.0,25600000.0,-18600000.0,-22300000.0,-11888000.0
Acquisitions and disposals,-1700000.0,-40000000.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
Investment purchases and sales,-16000000.0,-5100000.0,-800000.0,-300000.0,-400000.0,0.0,0.0,0.0,0.0
Investing Cash flow,-27800000.0,-64600000.0,-34300000.0,-13300000.0,-22300000.0,-25400000.0,-18600000.0,-22300000.0,-11888000.0
Issuance (repayment) of debt,-28600000.0,-11900000.0,-800000.0,-0.0,-0.0,-0.0,78600000.0,-4200000.0,8021000.0
Issuance (buybacks) of shares,-16000000.0,-5100000.0,-800000.0,-300000.0,-400000.0,-10800000.0,0.0,0.0,0.0
Dividend payments,-6700000.0,-4400000.0,-3200000.0,-3200000.0,-3200000.0,-800000.0,-160000000.0,0.0,-42500000.0
Financing Cash Flow,-26800000.0,-13800000.0,-55800000.0,-36700000.0,-9000000.0,-4900000.0,-96800000.0,-8300000.0,-49610000.0
Effect of forex changes on cash,-1000000.0,0.0,-500000.0,100000.0,600000.0,-200000.0,-300000.0,-200000.0,-225000.0
Net cash flow / Change in cash,66500000.0,-29200000.0,4700000.0,38900000.0,33800000.0,-3100000.0,-35600000.0,34000000.0,7691000.0
Free Cash Flow,95900000.0,24500000.0,60900000.0,67400000.0,41100000.0,1800000.0,61500000.0,42500000.0,57526000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,-1.3588,-1.3588,-1.3588
