date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,revenue,1155637000.0,1225061000.0,638677000.0,683293000.0,553656000.0,486624000.0,544272000.0,259051000.0,225352000.0,127521000.0,20638000.0,0.0,0.0
,costOfRevenue,705177000.0,860405000.0,488393000.0,473217000.0,466627000.0,392756000.0,397326000.0,132029000.0,88150000.0,62762000.0,18221000.0,0.0,0.0
,grossProfit,450460000.0,364656000.0,150284000.0,210076000.0,87029000.0,93868000.0,146946000.0,127022000.0,137202000.0,64759000.0,2417000.0,0.0,0.0
,grossProfitRatio,0.389793680887684,0.297663544917355,0.235305169905915,0.307446439521552,0.157189662895372,0.192896363516801,0.26998633036423,0.490335879807451,0.60883417941709,0.507830082888309,0.117114061440062,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,74924000.0,84686000.0,67252000.0,59620000.0,56294000.0,61611000.0,58276000.0,41084000.0,22825000.0,16465000.0,11318000.0,10564332.0,4232550.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-649000.0,11396000.0,-4043000.0,-48372000.0,7726000.0,12183000.0,22293000.0,165000.0,0.0,-74000.0,2088000.0,-15590419.0,1770397.0
,operatingExpenses,78528000.0,91311000.0,70577000.0,71178000.0,61433000.0,82869000.0,65758000.0,46177000.0,50267000.0,42261000.0,14314000.0,10653154.0,4279292.0
,costAndExpenses,783705000.0,951716000.0,558970000.0,544395000.0,528060000.0,475625000.0,463084000.0,178206000.0,138417000.0,105023000.0,32535000.0,10653154.0,4279292.0
,interestExpense,26550000.0,31754000.0,12906000.0,10184000.0,16104000.0,5695000.0,2991000.0,193000.0,611000.0,5501000.0,739000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,2606000.0,0.0,27442000.0,14305000.0,2281000.0,88822.0,46743.0
