date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,500000000.0,746000000.0,930700000.0,439900000.0,118500000.0,609700000.0,655800000.0,624300000.0,500900000.0,550100000.0,377400000.0,27000000.0,-35600000.0,288500000.0,211600000.0,239600000.0,218300000.0,174900000.0,-119100000.0,66400000.0,94000000.0,132300000.0,94700000.0,103200000.0,41800000.0,74200000.0,64400000.0,-98000000.0,-12100000.0
,depreciationAndAmortization,568000000.0,439000000.0,431300000.0,407800000.0,391400000.0,320200000.0,330400000.0,299400000.0,288600000.0,283000000.0,252900000.0,260900000.0,286800000.0,264600000.0,256600000.0,255500000.0,177000000.0,161300000.0,137400000.0,104200000.0,145500000.0,123400000.0,91600000.0,87100000.0,84800000.0,77600000.0,70500000.0,67600000.0,74000000.0
,deferredIncomeTax,123000000.0,202000000.0,-69800000.0,315300000.0,-268900000.0,13300000.0,42300000.0,-22900000.0,-10700000.0,-1100000.0,-52200000.0,-57700000.0,-78300000.0,-29900000.0,-46400000.0,-32400000.0,13800000.0,40000000.0,30400000.0,3100000.0,-8500000.0,-4000000.0,16700000.0,24100000.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,41000000.0,42000000.0,52900000.0,52700000.0,43600000.0,40200000.0,32100000.0,36600000.0,56700000.0,21800000.0,22800000.0,22000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,319000000.0,101300000.0,287700000.0,298200000.0,41800000.0,-24600000.0,-372000000.0,304900000.0,637300000.0,-435200000.0,162000000.0,447400000.0,-438200000.0,93700000.0,356100000.0,-363900000.0,56200000.0,239000000.0,129000000.0,105600000.0,-17800000.0,-23500000.0,10300000.0,-3500000.0,-39800000.0,-13000000.0,-38100000.0,-200000.0,-47500000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-28000000.0,-36000000.0,-53300000.0,-84500000.0,-36500000.0,-52900000.0,-39700000.0,-14800000.0,-5300000.0,-38600000.0,-79000000.0,143000000.0,-26300000.0,-34700000.0,-32700000.0,-30100000.0,-12700000.0,-9100000.0,-29300000.0,10100000.0,-14700000.0,-19000000.0,-9100000.0,-8900000.0,-8700000.0,-6500000.0,-12300000.0,-3800000.0,1500000.0
,accountsPayables,0.0,0.0,-76100000.0,232800000.0,134900000.0,23100000.0,129100000.0,33100000.0,-27100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,111000000.0,1507000000.0,1405700000.0,1118000000.0,819800000.0,778000000.0,802600000.0,1174600000.0,869700000.0,232400000.0,667600000.0,505600000.0,58200000.0,496400000.0,402700000.0,46600000.0,410500000.0,354300000.0,115300000.0,-13700000.0,-119300000.0,-101500000.0,-78000000.0,-88300000.0,-84800000.0,-45000000.0,-32000000.0,6100000.0,6300000.0
,otherNonCashItems,-73000000.0,-142000000.0,55800000.0,27000000.0,715600000.0,36300000.0,45800000.0,48500000.0,28600000.0,14000000.0,14000000.0,0.0,293900000.0,16300000.0,92100000.0,0.0,0.0,0.0,0.0,0.0,0.0,7800000.0,6300000.0,-31400000.0,6500000.0,4100000.0,-24000000.0,-11100000.0,22700000.0
,netCashProvidedByOperatingActivites,1184000000.0,1008000000.0,1126500000.0,1180300000.0,1035700000.0,867900000.0,801800000.0,718800000.0,878700000.0,708200000.0,538900000.0,351000000.0,400800000.0,603500000.0,442100000.0,396500000.0,426600000.0,306900000.0,261400000.0,195800000.0,302300000.0,344500000.0,132600000.0,167400000.0,177900000.0,112200000.0,157700000.0,74100000.0,37100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-369700000.0,-293900000.0,-268300000.0,-246700000.0,-204900000.0,-172000000.0,-166100000.0,-140900000.0,-167100000.0,-998900000.0,-187600000.0,-177500000.0,-91900000.0,-92500000.0,-98800000.0,-65500000.0,-47700000.0
,acquisitionsNet,0.0,14000000.0,0.0,-186000000.0,86000000.0,-1200000000.0,-111000000.0,0.0,57000000.0,-204000000.0,-165000000.0,-6000000.0,6000000.0,0.0,-64000000.0,-423000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-2000000.0,-53000000.0,-6000000.0,-11100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13000000.0,-41500000.0,-52300000.0,0.0,0.0,0.0,0.0,0.0,0.0,-5700000.0,-100000.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,10000000.0,22000000.0,2100000.0,0.0,0.0,13100000.0,0.0,0.0,0.0,0.0,0.0,0.0,14600000.0,60400000.0,28800000.0,58200000.0,0.0,0.0,0.0,0.0,0.0,5500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,36000000.0,0.0,0.0,0.0,0.0,4700000.0,8400000.0,23900000.0,5400000.0,7900000.0,6800000.0,23100000.0,0.0,0.0,0.0,-45800000.0,-56500000.0,-48800000.0,20500000.0,0.0,-43000000.0,0.0,13900000.0,2700000.0,-259900000.0,-31800000.0,11200000.0,-5600000.0,0.0
