Date,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,150090000.0,105662000.0,69654000.0,75567000.0,96450000.0,51810000.0,52342000.0,0.0,0.0,24449000.0,27954000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Cash and short-term investments,150090000.0,105662000.0,69654000.0,75567000.0,96450000.0,51810000.0,52342000.0,0.0,0.0,,
Receivables,66649000.0,56679000.0,38573000.0,32871000.0,37161000.0,0.0,0.0,0.0,0.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,216739000.0,162341000.0,108227000.0,108438000.0,133611000.0,51810000.0,52342000.0,0.0,0.0,,
Property Plant & Equipment Net,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8055000.0,0.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,22480000.0,0.0,0.0,,
Tax assets,376000.0,6000.0,31000.0,16000.0,525000.0,0.0,0.0,0.0,0.0,658000.0,2032000.0
Total non-current assets,16335132000.0,14305034000.0,10150598000.0,8704177000.0,9242962000.0,4536711000.0,2160438000.0,0.0,0.0,,
Total assets,16551871000.0,14467375000.0,10258825000.0,8812615000.0,9376573000.0,4588521000.0,2212780000.0,0.0,0.0,4120690000.0,1936635000.0
Payables,5008000.0,4583000.0,2125000.0,0.0,93679000.0,61013000.0,56972000.0,0.0,0.0,10535000.0,10026000.0
Short-term debt,613071000.0,609911000.0,563911000.0,166762000.0,164026000.0,2040783000.0,159524000.0,0.0,0.0,,
Total current liabilities,618079000.0,614494000.0,566036000.0,166762000.0,257705000.0,2101796000.0,216496000.0,0.0,0.0,,
Long-term debt,613071000.0,609911000.0,563911000.0,166762000.0,164026000.0,161853000.0,159524000.0,0.0,0.0,,
Total debt,1226142000.0,1219822000.0,1127822000.0,333524000.0,328052000.0,2202636000.0,319048000.0,0.0,0.0,4483429000.0,2064826000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,613071000.0,609911000.0,563911000.0,166762000.0,164026000.0,161853000.0,159524000.0,0.0,0.0,,
Total liabilities,12789288000.0,11103251000.0,7347759000.0,6319012000.0,6883985000.0,3123150000.0,1494871000.0,0.0,0.0,4531877000.0,2105802000.0
Other comprehensive income,4369981000,3966540000,3506861000,3089997000,3070200000,2027404000,1252993000,0.0,0.0,-50462000.0,-39135000.0
Retained earnings (deficit),-592548000.0,-569428000.0,-567168000.0,-541137000.0,-545791000.0,-547592000.0,-536170000.0,0.0,0.0,-920355000.0,-689396000.0
Total shareholders equity,3762583000.0,3364124000.0,2911066000.0,2493603000.0,2492588000.0,1465371000.0,717909000.0,0.0,0.0,-411187000.0,-169167000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,22480000.0,0.0,0.0,4020157000.0,1893339000.0
Net Debt,1076052000.0,1114160000.0,1058168000.0,257957000.0,231602000.0,2150826000.0,266706000.0,0.0,0.0,,
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Other Liabilities,11558138000.0,9878846000.0,6217812000.0,5985488000.0,6462254000.0,859501000.0,1118851000.0,0.0,0.0,,
