Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Cash and cash equivalents,121860000.0,58349000.0,46533000.0,44884000.0
Short-term investments,817656000.0,583236000.0,0.0,0.0
Cash and short-term investments,939516000.0,641585000.0,46533000.0,44884000.0
Receivables,10863000.0,7670000.0,0.0,0.0
Inventories,0.0,0.0,0.0,0.0
Total current assets,950379000.0,649255000.0,108693000.0,79445000.0
Property Plant & Equipment Net,97680000.0,95224000.0,102074000.0,115174000.0
Goodwill and Intangible Assets,161596000.0,68731000.0,92892000.0,48014000.0
Long-term investments,91670000.0,38945000.0,57000000.0,24000000.0
Tax assets,35643000.0,49963000.0,67760000.0,0.0
Total non-current assets,3992195000.0,2716875000.0,,
Total assets,4942574000.0,3366130000.0,3295830000.0,2479870000.0
Payables,0.0,0.0,0.0,0.0
Short-term debt,0.0,27647000.0,0.0,0.0
Total current liabilities,0.0,27647000.0,2572531000.0,2228885000.0
Long-term debt,425000000.0,361506000.0,57000000.0,63000000.0
Total debt,425000000.0,389153000.0,378540000.0,75370000.0
Deferred revenue,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0
Deposit Liabilities,3749916000.0,2443329000.0,2490394000.0,2180624000.0
Total non-current liabilities,444815000.0,377523000.0,,
Total liabilities,4291902000.0,2907552000.0,2913172000.0,2291596000.0
Other comprehensive income,557287000,402024000,-7268000.0,-5707000.0
Retained earnings (deficit),102522000.0,61349000.0,50933000.0,-15796000.0
Total shareholders equity,650672000.0,458578000.0,382658000.0,188274000.0
Investments,909326000.0,622181000.0,2923463000.0,2224873000.0
Net Debt,303140000.0,330804000.0,,
Other Assets,0.0,0.0,,
Other Liabilities,3847087000.0,2502382000.0,2572531000.0,2228885000.0
