Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31
Depreciation & Amortization,1117838.0,1000000.0,1208411.0,1000000.0,1314067.0,2000000.0,615816.0,2000000.0,-28106.0,1000000.0,736880.0,782972.0
Stock-based compensation,263168.0,0000000.0,94607.0,0000000.0,143712.0,0000000.0,1506713.0,2000000.0,311133.0,0000000.0,0.0,0.0
Operating Cash Flow,2267441.0,,-3047207.0,,5039798.0,,1985790.0,,14457170.0,,-27962045.0,10538402.0
Capital Expenditure,193049.0,,312226.0,,306829.0,,479250.0,,286635.0,,734348.0,362397.0
Acquisitions and disposals,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-0.0
Investment purchases and sales,13104591.0,-9000000,29061422.0,-18000000,-857574.0,-14000000,0.0,-3000000,0.0,-16000000,2003216.0,13993.0
Investing Cash flow,-47877153.0,-48000000.0,87318862.0,87000000.0,2744162.0,3000000.0,43047022.0,43000000.0,35219535.0,35000000.0,30871665.0,22237580.0
Issuance (repayment) of debt,10000000.0,,32300000.0,,-30150000.0,,-22150000.0,,-0.0,,-0.0,-0.0
Issuance (buybacks) of shares,-31566278.0,,-3723809.0,,-857574.0,,-9857325.0,,-12273060.0,,-19321186.0,-15597128.0
Dividend payments,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,,-0.0,-115012.0
Financing Cash Flow,37148534.0,37000000.0,-78657421.0,-79000000.0,9737088.0,10000000.0,-51448547.0,-51000000.0,-46088474.0,-46000000.0,814438.0,-23841707.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
Net cash flow / Change in cash,-8461178.0,-8000000.0,5614234.0,6000000.0,17521048.0,18000000.0,-6415735.0,-6000000.0,3588231.0,4000000.0,3724058.0,8934275.0
Free Cash Flow,2074392.0,,-3359433.0,,4732969.0,,1506540.0,,14170535.0,,-28696393.0,10176005.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0
