date,,2020-12-29_FY,2019-12-31_FY,2019-01-01_FY,2018-01-02_FY,2017-01-03_FY,2015-12-29_FY,2014-12-30_FY,2013-12-31_FY,2013-01-01_FY,2012-01-03_FY,2010-12-28_FY,2009-12-29_FY,2008-12-30_FY,2008-01-01_FY,2007-01-02_FY,2006-01-03_FY,2004-12-28_FY,2003-12-30_FY,2002-12-31_FY,2002-01-01_FY,2001-01-02_FY,1999-12-28_FY,1998-12-29_FY,1997-12-30_FY,1996-12-29_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-253365000.0,127293000.0,99035000.0,157392000.0,139494000.0,116523000.0,101276000.0,114356000.0,98400000.0,95700000.0,81700000.0,42800000.0,52300000.0,74000000.0,81300000.0,87900000.0,66500000.0,57800000.0,49075000.0,39300000.0,32100000.0,21700000.0,7700000.0,9900000.0,5900000.0,8600000.0,7200000.0,4700000.0,4200000.0
,depreciationAndAmortization,91415000.0,88133000.0,95976000.0,92729000.0,88010000.0,85563000.0,82835000.0,78558000.0,74400000.0,72000000.0,72100000.0,75200000.0,73300000.0,64200000.0,53100000.0,45200000.0,35900000.0,28000000.0,22855000.0,17500000.0,13700000.0,10900000.0,8500000.0,13300000.0,10700000.0,5900000.0,3600000.0,2300000.0,1400000.0
,deferredIncomeTax,-67228000.0,-2197000.0,-5510000.0,-25180000.0,-1005000.0,1184000.0,204000.0,11792000.0,-12800000.0,7900000.0,-4100000.0,-4800000.0,22200000.0,-200000.0,4800000.0,19600000.0,16700000.0,11900000.0,11358000.0,4400000.0,300000.0,1900000.0,-3000000.0,2400000.0,-600000.0,900000.0,400000.0,1100000.0,-800000.0
,stockBasedCompensation,21350000.0,19373000.0,19988000.0,16457000.0,21473000.0,20053000.0,16817000.0,14135000.0,10838000.0,9635000.0,10913000.0,14610000.0,13132000.0,18172000.0,18225000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,125364000.0,-148802000.0,-31952000.0,-34219000.0,-30269000.0,-27205000.0,-59281000.0,-15544000.0,24000000.0,-30200000.0,11700000.0,-32700000.0,40300000.0,-75600000.0,0.0,35000000.0,-29200000.0,22605000.0,10295000.0,-38500000.0,3900000.0,5300000.0,-20300000.0,41800000.0,-5200000.0,1900000.0,5100000.0,5400000.0,-1000000.0
,accountsReceivables,15148000.0,0.0,-1018000.0,-4233000.0,-1473000.0,1011000.0,-5079000.0,4477000.0,-3224000.0,4850000.0,-4832000.0,1185000.0,-1190000.0,292000.0,-3531000.0,384000.0,-1132000.0,-1870000.0,0.0,-868000.0,456000.0,-1800000.0,-1300000.0,200000.0,-200000.0,0.0,0.0,0.0,0.0
,inventory,7921000.0,-5766000.0,3667000.0,-7634000.0,-916000.0,-755000.0,2223000.0,-6642000.0,-626000.0,-5174000.0,-834000.0,930000.0,926000.0,-3283000.0,-1656000.0,-8632000.0,-2093000.0,-2449000.0,-7214000.0,-1443000.0,-1207000.0,-2200000.0,-800000.0,-900000.0,-1500000.0,-1500000.0,-200000.0,-400000.0,100000.0
,accountsPayables,-2005000.0,2326000.0,5601000.0,3771000.0,752000.0,-12931000.0,18180000.0,-11580000.0,10839000.0,3508000.0,-1297000.0,-3927000.0,-20047000.0,12354000.0,13420000.0,109000.0,6045000.0,11157000.0,0.0,1173000.0,4608000.0,-1800000.0,800000.0,-3200000.0,400000.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-244708000.0,-370072000.0,-221270000.0,-189318000.0,-155099000.0,-124830000.0,-97625000.0,-38344000.0,-22800000.0,-46800000.0,-16600000.0,-28300000.0,4400000.0,-35900000.0,39700000.0,39700000.0,4700000.0,33900000.0,11295000.0,1000000.0,39500000.0,35600000.0,30300000.0,50600000.0,8800000.0,14000000.0,12100000.0,7000000.0,1600000.0
,otherNonCashItems,0.0,0.0,41153000.0,27043000.0,38901000.0,28871000.0,19166000.0,-464000.0,17200000.0,12300000.0,15300000.0,48600000.0,14700000.0,18600000.0,18300000.0,9300000.0,2800000.0,4700000.0,0.0,-2300000.0,-700000.0,0.0,5600000.0,-300000.0,-500000.0,-300000.0,100000.0,-400000.0,-200000.0
,netCashProvidedByOperatingActivites,0.0,218761000.0,291315000.0,238796000.0,316381000.0,235423000.0,239649000.0,204785000.0,195400000.0,196100000.0,165200000.0,197100000.0,169200000.0,160100000.0,152700000.0,165500000.0,150100000.0,116700000.0,93452000.0,75900000.0,56300000.0,37800000.0,27000000.0,11500000.0,9600000.0,12800000.0,7600000.0,1900000.0,3600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-50329000.0,-75865000.0,-102909000.0,-120779000.0,-115821000.0,-153941000.0,-113982000.0,-107943000.0,-86442000.0,-76746000.0,-41847000.0,-37243000.0,-84907000.0,-211025000.0,-185738000.0,-170162000.0,-161898000.0,-105560000.0,-86618000.0,-74324000.0,-39216000.0,-38600000.0,-28000000.0,-21700000.0,-23200000.0,-29500000.0,-13100000.0,-7500000.0,-2600000.0
,acquisitionsNet,0.0,-262000000.0,-262000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-109276000.0,-122975000.0,-146467000.0,-109371000.0,-140483000.0,0.0,-101392000.0,-172126000.0,-52088000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-119971000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1100000.0,-111200000.0,-6600000.0,-13900000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98338000.0,0.0,0.0,0.0,0.0,0.0,0.0,24500000.0,86800000.0,10900000.0,3400000.0
,otherInvestingActivites,0.0,-22500000.0,81796000.0,103321000.0,102827000.0,107611000.0,138604000.0,0.0,99680000.0,171256000.0,52088000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
