Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31
Revenue,171647000.0,114971000.0,81458000.0,70679000.0,53202000.0,72176000.0
Revenue Growth,0.493,0.4114,0.1525,0.3285,-0.2629,
Cost of Revenue,0.0,0.0,0.0,0.0,0.0,0.0
Gross Profit,171647000.0,114971000.0,81458000.0,70679000.0,53202000.0,72176000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,70808000.0,49591000.0,40845000.0,37291000.0,29417000.0,28128000.0
Operating Expenses,109208000.0,73445000.0,56040000.0,49199000.0,41443000.0,45972000.0
Operating Income,62439000.0,41526000.0,25418000.0,21480000.0,11759000.0,26204000.0
Interest Expense,0.0,0.0,0.0,0.0,0.0,0.0
Earnings before Tax,62439000.0,41526000.0,25418000.0,21480000.0,11759000.0,26204000.0
Income Tax Expense,12769000.0,12961000.0,7848000.0,7060000.0,3448000.0,9386000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,49670000.0,28565000.0,17570000.0,14420000.0,8311000.0,16818000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,49670000.0,28565000.0,17570000.0,14420000.0,8311000.0,16818000.0
EPS,2.28,1.75,1.45,1.51,0.89,1.825
EPS Diluted,2.26,1.73,1.42,1.48,0.87,1.767
Weighted Average Shs Out,22570201.0,21060395.0,12549220.0,9758583.0,9715843.0,
Weighted Average Shs Out (Dil),21756595.0,16317501.0,12080128.0,9537358.0,9314048.0,9218952.0
Dividend per Share,0.3,0.17,0.13,0.11,0.067,0.0
Gross Margin,1.0,1.0,1.0,1.0,1.0,1.0
EBITDA Margin,0.431,0.42,0.37,0.362,0.245,0.41
EBIT Margin,0.3638,0.3612,0.312,0.3039,0.221,0.3631
Profit Margin,0.289,0.248,0.216,0.204,0.156,0.233
Free Cash Flow margin,0.3827,-0.1364,0.3075,0.1105,0.1218,1.7617
EBITDA,73965000.0,48285000.0,30109000.0,25587000.0,13035000.0,29566000.0
EBIT,62439000.0,41526000.0,25418000.0,21480000.0,11759000.0,26204000.0
Consolidated Income,49670000.0,28565000.0,17570000.0,14420000.0,8311000.0,16818000.0
Earnings Before Tax Margin,0.3638,0.3612,0.312,0.3039,0.221,0.3631
Net Profit Margin,0.2894,0.2485,0.2157,0.204,0.1562,0.233
