Date,2019-03-31,2018-03-31,2017-03-31,2016-03-31,2015-03-31,2014-03-31,2013-03-31,2012-03-31,2011-03-31,2010-03-31
Cash and cash equivalents,7778723.0,789151.0,2389761.0,197662.0,166597.0,522155.0,450691.0,683979.0,2471108.0,1822780.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0
Cash and short-term investments,7778723.0,789151.0,2389761.0,197662.0,166597.0,522155.0,450691.0,683979.0,2471108.0,1844230.0
Receivables,129037.0,646891.0,1218251.0,93523.0,170542.0,609097.0,832801.0,1476976.0,806098.0,244164.0
Inventories,0.0,0.0,202677.0,194997.0,194519.0,112677.0,64630.0,63868.0,0.0,0.0
Total current assets,8170965.0,1664775.0,3930684.0,542987.0,633958.0,1586716.0,1685982.0,2424500.0,3429999.0,2502996.0
Property, Plant & Equipment Net,213188.0,12545579.0,35781159.0,14190429.0,37115915.0,38808488.0,36057305.0,61169997.0,20990764.0,22238196.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,411707.0,12603089.0,35927528.0,14249145.0,37304560.0,39151761.0,36057305.0,61596567.0,21547876.0,22295711.0
Total assets,8582672.0,14267864.0,39858212.0,14792132.0,37938518.0,40738477.0,37743287.0,64021067.0,24977875.0,24798707.0
Payables,1521329.0,2972261.0,3094131.0,2423949.0,2436543.0,2554977.0,3696848.0,8605490.0,2236917.0,1391446.0
Short-term debt,0.0,35691567.0,44281649.0,8095551.0,7599411.0,1793367.0,875000.0,22076894.0,30727.0,2150000.0
Total current liabilities,2103802.0,40004558.0,48213987.0,11085304.0,10282292.0,4646223.0,6548865.0,33891977.0,3384032.0,6652279.0
Long-term debt,0.0,247403.0,145695.0,0.0,0.0,5430144.0,0.0,25489.0,60114.0,0.0
Total debt,0.0,35938970.0,44427344.0,8095551.0,7599411.0,7223511.0,875000.0,22102383.0,90841.0,2150000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,303814.0,1226567.0,2213204.0,1306130.0,1051694.0,6408574.0,851873.0,1010641.0,469226.0,327412.0
Total liabilities,2407616.0,41231125.0,50427191.0,12391434.0,11333986.0,11054797.0,7400738.0,34902618.0,3853258.0,6979691.0
Other comprehensive income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retained earnings (deficit),-154218469.0,-170861622.0,-146090034.0,-56966795.0,-31517040.0,-26388766.0,-21701152.0,-14905673.0,-7304191.0,-2783909.0
Total shareholders equity,6175056.0,-26963261.0,-10568979.0,2400698.0,26604532.0,29683680.0,30342549.0,29118449.0,21124617.0,17819016.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0
Net Debt,-7778723.0,35149819.0,42037583.0,7897889.0,7432814.0,6701356.0,424309.0,21418404.0,-2380267.0,305770.0
Other Assets,263205.0,228733.0,119995.0,56805.0,102300.0,342787.0,337860.0,199677.0,152793.0,414602.0
Other Liabilities,582473.0,1340730.0,838207.0,565804.0,246338.0,297879.0,1977017.0,3209593.0,1116388.0,3110833.0
