Date,2017-09,2016-09,2015-09,2014-09,2013-09
Depreciation & Amortization,76000000.0,73000000.0,72000000.0,67000000.0,63000000.0
Stock-based compensation,8000000.0,17000000.0,5000000.0,1000000.0,0000000.0
Operating Cash Flow,97000000.0,107000000.0,90000000.0,84000000.0,56000000.0
Capital Expenditure,-47000000.0,-43000000.0,-43000000.0,-35000000.0,-32000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,0,0,0,0,0
Investing Cash flow,-126000000.0,-87000000.0,-79000000.0,-89000000.0,-39000000.0
Issuance (repayment) of debt,-14000000.0,-59000000.0,-430000000.0,-597000000.0,-494000000.0
Issuance (buybacks) of shares,000000.0,-1000000.0,-2000000.0,000000.0,000000.0
Dividend payments,,,,,
Financing Cash Flow,-15000000.0,-11000000.0,-166000000.0,182000000.0,3000000.0
Effect of forex changes on cash,,,,,
Net cash flow / Change in cash,-43000000.0,9000000.0,-154000000.0,177000000.0,19000000.0
Free Cash Flow,50000000.0,64000000.0,48000000.0,49000000.0,24000000.0
Net Cash/Marketcap,,,,,
