date,,2021-01-31_FY,2020-01-31_FY,2019-01-31_FY,2018-01-31_FY,2017-01-31_FY,2016-01-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-162734000.0,-336582000.0,-192649000.0,-385793000.0,-187317000.0,-203143000.0
,depreciationAndAmortization,89393000.0,92156000.0,17428000.0,12102000.0,10134000.0,8586000.0
,deferredIncomeTax,0.0,0.0,0.0,-806000.0,0.0,0.0
,stockBasedCompensation,188935000.0,220354000.0,117365000.0,290006000.0,21714000.0,63590000.0
,changeInWorkingCapital,-117476000.0,-176444000.0,85969000.0,107812000.0,-32101000.0,36862000.0
,accountsReceivables,-65061000.0,-8956000.0,54231000.0,-28788000.0,-52139000.0,-19015000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-2816000.0,-4089000.0,3795000.0,-667000.0,-281000.0,1455000.0
,otherWorkingCapital,-16915000.0,127953000.0,304397000.0,218428000.0,110616000.0,142717000.0
,otherNonCashItems,121876000.0,93192000.0,30634000.0,0.0,21574000.0,0.0
,netCashProvidedByOperatingActivites,155822000.0,-36826000.0,34273000.0,-42268000.0,-116561000.0,-90497000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,-5000000.0,43000000.0,-2000000.0,-3000000.0,-9000000.0
,purchasesOfInvestments,-472715000.0,-494252000.0,-462737000.0,-620329000.0,-103776000.0,-411524000.0
,salesMaturitiesOfInvestments,375092000.0,500296000.0,492180000.0,400621000.0,282447000.0,183292000.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-120034000.0,-5659000.0,61959000.0,-234454000.0,168586000.0,-242682000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,283430000.0,0.0,0.0
,commonStockRepurchased,-340065000.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-47248000.0,-32621000.0,-16218000.0,-59781000.0,-2056000.0,-1202000.0
,netCashUsedProvidedByFinancingActivities,154297000.0,-6957000.0,5626000.0,247322000.0,1538000.0,9663000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,949000.0,-1607000.0,-1118000.0,1067000.0,75000.0,-334000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,191034000.0,-51049000.0,100740000.0,-28333000.0,53638000.0,-323850000.0
,cashAtEndOfPeriod,302024000.0,110990000.0,162039000.0,61299000.0,89632000.0,35994000.0
,cashAtBeginningOfPeriod,110990000.0,162039000.0,61299000.0,89632000.0,35994000.0,359844000.0
,operatingCashFlow,155822000.0,-36826000.0,34273000.0,-42268000.0,-116561000.0,-90497000.0
,capitalExpenditure,-10053000.0,-7203000.0,-10086000.0,-12954000.0,-7385000.0,-5539000.0
,freeCashFlow,145769000.0,-44029000.0,24187000.0,-55222000.0,-123946000.0,-96036000.0
