date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,301355000.0,49380000.0,121864000.0,152162000.0,106550000.0,127844000.0,73200000.0,107728000.0,112293000.0,-74609000.0,-67330000.0,199651000.0,-26320000.0,-3119000.0,287676000.0,485266000.0,349099000.0,451022000.0,234367000.0,167268000.0,82223000.0,33003000.0,198710000.0,64709000.0,53589000.0,7587000.0,18900000.0,66300000.0,43300000.0,3000000.0,3300000.0,13500000.0
,depreciationAndAmortization,189300000.0,203117000.0,199717000.0,177806000.0,172578000.0,146607000.0,138394000.0,127020000.0,133714000.0,115546000.0,106219000.0,219922000.0,262945000.0,232339000.0,206925000.0,157439000.0,128978000.0,114424000.0,96829000.0,108348000.0,86336000.0,77031000.0,59804000.0,38149000.0,22207000.0,18002000.0,19800000.0,16300000.0,15100000.0,13000000.0,13800000.0,12300000.0
,deferredIncomeTax,23639000.0,16069000.0,26940000.0,-40769000.0,41563000.0,35110000.0,20986000.0,12090000.0,32604000.0,-16203000.0,-6149000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0,0.0
,stockBasedCompensation,45060000.0,36292000.0,37196000.0,35867000.0,39849000.0,35786000.0,25379000.0,26613000.0,20809000.0,11649000.0,14091000.0,40866000.0,25026000.0,43407000.0,25654000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-17123000.0,-26193000.0,-474000.0,93436000.0,-204324000.0,-22245000.0,-153552000.0,30754000.0,-55894000.0,2584000.0,1182165000.0,351513000.0,-353231000.0,-437478000.0,-159897000.0,-45878000.0,49267000.0,-417919000.0,90762000.0,64529000.0,-9830000.0,-252693000.0,157320000.0,58373000.0,-19168000.0,-131692000.0,0.0,0.0,0.0,0.0,0.0,-53400000.0
,accountsReceivables,-55829000.0,-37051000.0,21093000.0,15522000.0,-24391000.0,-15400000.0,13151000.0,21196000.0,-37340000.0,-15893000.0,-14525000.0,0.0,0.0,0.0,-53570000.0,-7666000.0,-62533000.0,-17443000.0,-17223000.0,-63668000.0,-16100000.0,0.0,-41966000.0,-25704000.0,-11324000.0,-22943000.0,17800000.0,-16000000.0,-9700000.0,-70900000.0,-73700000.0,-51100000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,-17957000.0,-44629000.0,-29267000.0,-45289000.0,-5000000.0,-9652000.0,57192000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5100000.0,5500000.0,10100000.0,1800000.0,-6000000.0,-2300000.0
,otherWorkingCapital,94768000.0,-209765000.0,-183572000.0,-183098000.0,-276534000.0,-72210000.0,-49965000.0,103587000.0,72833000.0,128727000.0,126143000.0,-1056022000.0,-1407535000.0,-1054304000.0,-616826000.0,-456929000.0,-411051000.0,-460318000.0,-42399000.0,-133161000.0,-197690000.0,-187860000.0,64833000.0,-92487000.0,-150860000.0,-131692000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,4935000.0,5077000.0,5434000.0,5650000.0,5785000.0,33043000.0,23558000.0,21467000.0,19862000.0,0.0,14091000.0,-497779000.0,54685000.0,111493000.0,-337921000.0,-332334000.0,21746000.0,35911000.0,22303000.0,25962000.0,13693000.0,68345000.0,4789000.0,4609000.0,2258000.0,2339000.0,2500000.0,37800000.0,51500000.0,74500000.0,73900000.0,74300000.0
,netCashProvidedByOperatingActivites,535772000.0,364216000.0,355113000.0,383585000.0,413559000.0,328537000.0,321876000.0,353821000.0,363119000.0,160937000.0,206194000.0,487802000.0,76767000.0,659609000.0,612143000.0,921486000.0,678854000.0,830120000.0,540607000.0,388247000.0,141418000.0,173219000.0,361632000.0,111155000.0,88280000.0,30437000.0,53900000.0,105700000.0,110300000.0,24400000.0,11300000.0,46700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-57668000.0,-91572000.0,-62304000.0,-40508000.0,-45211000.0,-44149000.0,-52025000.0,-68740000.0,-52600000.0,-45215000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34600000.0,-36200000.0,-22600000.0,-13600000.0,-24600000.0,0.0
,acquisitionsNet,0.0,-9000000.0,-216000000.0,-189000000.0,-415000000.0,-194000000.0,-670000000.0,-90000000.0,-68000000.0,-186000000.0,256000000.0,-60000000.0,-2000000.0,-240000000.0,-262000000.0,-379000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1315000.0,-658000.0,0.0,-5900000.0,-3366000.0,-3748000.0,0.0,-2351000.0,0.0,-26898000.0,-27284000.0,-963569000.0,0.0,-672264000.0,-553964000.0,-609468000.0,-354350000.0,-320134000.0,-284776000.0,-188738000.0,0.0,0.0,-135928000.0,-81358000.0,-71073000.0,-19513000.0,-94800000.0,-41500000.0,-74900000.0,0.0,0.0,-27400000.0
,salesMaturitiesOfInvestments,51358000.0,5591000.0,4716000.0,1000000.0,24270000.0,0.0,0.0,0.0,8000000.0,74621000.0,26757000.0,918900000.0,485679000.0,721430000.0,433817000.0,300969000.0,207450000.0,327908000.0,268747000.0,154918000.0,69550000.0,116805000.0,49946000.0,58082000.0,77797000.0,63105000.0,97900000.0,1800000.0,5500000.0,1300000.0,6100000.0,0.0
