date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-51387000.0,111861000.0,84111000.0,23185000.0,117224000.0,-125752000.0,28567000.0,-14909000.0,40922000.0,71420000.0,54900000.0,54568000.0,53726000.0,110466000.0,144666000.0,95488000.0,102453000.0,143053000.0,139722000.0,131659000.0,185338000.0,119739000.0,116578000.0,1405000.0,31944000.0,13600000.0,3900000.0
,depreciationAndAmortization,118345000.0,128145000.0,170284000.0,198674000.0,186549000.0,172108000.0,173848000.0,191521000.0,192162000.0,193005000.0,190669000.0,196597000.0,188729000.0,424000.0,160859000.0,156099000.0,130254000.0,119157000.0,109513000.0,91471000.0,92088000.0,87209000.0,78916000.0,36825000.0,15812000.0,12100000.0,3800000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,7926000.0,8480000.0,7401000.0,7929000.0,6018000.0,2616000.0,11504000.0,2916000.0,4135000.0,4557000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-19265000.0,723602000.0,-34920000.0,128581000.0,35117000.0,10064000.0,-174791000.0,138936000.0,-48601000.0,4117000.0,-250486000.0,288621000.0,862241000.0,-3900000.0,-125000000.0,-7200000.0,-23300000.0,10300000.0,24200000.0,-18800000.0,102300000.0,-90100000.0,-144100000.0,-406400000.0,-56900000.0,0.0,-4800000.0
,accountsReceivables,-5117000.0,2204000.0,1382000.0,2831000.0,596000.0,-2178000.0,355000.0,248000.0,-2065000.0,5241000.0,-4306000.0,14880000.0,13266000.0,-36921000.0,-52911000.0,-55086000.0,-59642000.0,-31365000.0,-43950000.0,-22239000.0,-45359000.0,-44187000.0,-31600000.0,-8300000.0,-5900000.0,-2100000.0,-3300000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-9577000.0,2013000.0,13915000.0,-9012000.0,-14535000.0,6960000.0,15858000.0,-7090000.0,-1816000.0,1827000.0,0.0,0.0,0.0,12639000.0,9120000.0,21148000.0,22558000.0,-10234000.0,-8959000.0,21488000.0,-11831000.0,48086000.0,9500000.0,19800000.0,5400000.0,1300000.0,900000.0
,otherWorkingCapital,-3252000.0,943581000.0,219979000.0,254899000.0,126318000.0,91201000.0,81137000.0,255928000.0,116992000.0,165593000.0,161476000.0,411962000.0,123341000.0,-738900000.0,-735000000.0,-610000000.0,-602800000.0,-579500000.0,-589800000.0,-614000000.0,-595200000.0,-697500000.0,-607400000.0,-463300000.0,-56900000.0,0.0,0.0
,otherNonCashItems,3542000.0,-10114000.0,-10137000.0,4325000.0,-9079000.0,7175000.0,3274000.0,3172000.0,2669000.0,0.0,-2136000.0,2637000.0,17601000.0,173368000.0,84000.0,25280000.0,55013000.0,166000.0,23811000.0,43504000.0,-39707000.0,32791000.0,31458000.0,49649000.0,-423000.0,4300000.0,3500000.0
,netCashProvidedByOperatingActivites,85422000.0,131842000.0,167073000.0,196140000.0,100107000.0,169455000.0,159253000.0,198693000.0,244706000.0,252065000.0,223036000.0,294686000.0,275989000.0,259976000.0,235927000.0,242929000.0,238440000.0,220777000.0,220137000.0,265883000.0,180529000.0,243638000.0,208761000.0,98142000.0,46823000.0,28400000.0,6400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-386444000.0,-400240000.0,-180020000.0,-665340000.0,-128949000.0,-164552000.0,95948000.0,50167000.0,-199576000.0,-91729000.0,-92499000.0,-77767000.0,-91734000.0,-325538000.0,-217804000.0,-451335000.0,-200033000.0,-113926000.0,-253023000.0,-279686000.0,-268243000.0,-191507000.0,-692766000.0,-928974000.0,-318145000.0,-133500000.0,-19800000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-954000.0,-6327000.0,-7779000.0,-33901000.0,-175340000.0,-69425000.0,-30333000.0,-13784000.0,-57106000.0,-72629000.0,-17587000.0,-41622000.0,-58844000.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,3625000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11441000.0,0.0,575000.0,169113000.0,2676000.0,25942000.0,179491000.0,41779000.0,38689000.0,13862000.0,20551000.0,2543000.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,458000.0,46597000.0,12102000.0,35923000.0,-1434000.0,7152000.0,-14201000.0,-16547000.0,1724000.0,-1947000.0,4428000.0,-7444000.0,5625000.0,2986000.0,298271000.0,-6376000.0,-11472000.0,3542000.0,3813000.0,5983000.0,-14733000.0,0.0,0.0,-11600000.0,69000.0,-200000.0,10900000.0
,netCashUsedForInvestingActivites,28465000.0,-349918000.0,-168154000.0,-545706000.0,-137662000.0,-222534000.0,50323000.0,-28977000.0,-232356000.0,-94177000.0,-89025000.0,-80097000.0,-88533000.0,-355878000.0,74240000.0,-421480000.0,-105755000.0,74013000.0,-106349000.0,-145586000.0,6189000.0,-195178000.0,-749067000.0,-939501000.0,-307752000.0,-133700000.0,-8900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
