Date,2018-12-29,2017-12-30,2016-12-31,2015-12-26,2014-12-27,2013-12-28,2012-12-31,2011-12-31
Revenue,192260000.0,174090000.0,161754000.0,138681000.0,110712000.0,81487000.0,48493000.0,26006000.0
Revenue Growth,0.1044,0.0763,0.1664,0.2526,0.3586,0.6804,0.8647,
Cost of Revenue,42706000.0,35773000.0,31830000.0,26117000.0,23464000.0,18844000.0,10210000.0,6225000.0
Gross Profit,149554000.0,138317000.0,129924000.0,112564000.0,87248000.0,62643000.0,38283000.0,19781000.0
R&D Expenses,34641000.0,25423000.0,20402000.0,19801000.0,16216000.0,11816000.0,7662000.0,4639000.0
SG&A Expense,104848000.0,102120000.0,104205000.0,103679000.0,101124000.0,74091000.0,49587000.0,27101000.0
Operating Expenses,141771000.0,132363000.0,128293000.0,127983000.0,121703000.0,90294000.0,58973000.0,31913000.0
Operating Income,7783000.0,5954000.0,1631000.0,-15419000.0,-34455000.0,-27651000.0,-20690000.0,-12132000.0
Interest Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Earnings before Tax,7618000.0,8157000.0,8328000.0,-33774000.0,-81044000.0,-27942000.0,-20737000.0,-12152000.0
Income Tax Expense,-45272000.0,-2506000.0,1282000.0,1221000.0,-752000.0,354000.0,-317000.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,-7761000.0,17116000.0,42733000.0,0.0,0.0,0.0
Net Income,52890000.0,10663000.0,7046000.0,-34995000.0,-80292000.0,-28296000.0,-20420000.0,-12152000.0
Preferred Dividends,9731000.0,3719000.0,3901000.0,0.0,4000.0,57000.0,48000.0,41000.0
Net Income Com,43159000.0,6944000.0,3145000.0,-34995000.0,-80296000.0,-28353000.0,-20468000.0,-12193000.0
EPS,1.38,0.23,0.1,-1.09,-2.77,-9.45,-7.97,-5.57
EPS Diluted,1.29,0.22,0.1,-1.09,-2.77,-9.45,-7.97,-5.57
Weighted Average Shs Out,31796789.0,30083455.0,28819449.0,32174756.0,31487177.0,29746202.0,,
Weighted Average Shs Out (Dil),31198000.0,29680000.0,30535000.0,32001000.0,28941000.0,3000000.0,2568000.0,2188000.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.7779,0.7945,0.8032,0.8117,0.7881,0.7687,0.7895,0.7606
EBITDA Margin,0.051,0.06,0.074,-0.206,-0.686,-0.261,-0.377,-0.461
EBIT Margin,0.0396,0.0469,0.0515,-0.2435,-0.732,-0.3429,-0.4276,-0.4673
Profit Margin,0.224,0.04,0.019,-0.252,-0.725,-0.348,-0.422,-0.469
Free Cash Flow margin,0.1657,0.1221,0.0889,-0.0675,-0.2468,-0.1728,-0.321,-0.3877
EBITDA,9746000.0,10397000.0,12050000.0,-28556000.0,-75916000.0,-21240000.0,-18297000.0,-11979000.0
EBIT,7618000.0,8157000.0,8328000.0,-33774000.0,-81044000.0,-27942000.0,-20737000.0,-12152000.0
Consolidated Income,52890000.0,10663000.0,7046000.0,-34995000.0,-80292000.0,-28296000.0,-20420000.0,-12152000.0
Earnings Before Tax Margin,0.0396,0.0469,0.0515,-0.2435,-0.732,-0.3429,-0.4276,-0.4673
Net Profit Margin,0.2751,0.0612,0.0436,-0.2523,-0.7252,-0.3472,-0.4211,-0.4673
