date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,1122000000.0,2160811900.70795,2879203843.51407,2145068023.13026,1307265155.02082,791550958.826231,707719247.04509,-408738159.021238,730023540.614172,764694446.244573,574544487.298843,848186142.472348,1756828242.89334,2088000000.0,1597222000.0,1181015000.0,1032341000.0,805362000.0,654757000.0,518826000.0,744412931.951249,734598162.288081,507428708.938501,402606121.966541,335191907.593246,247612599.666234,184469400.121945,91785693.154251,70758711.11583,94320639.94611,128120141.584044,97600000.0
,depreciationAndAmortization,1694000000.0,1788914777.30979,1294898192.63327,1286081051.89913,1135837785.537,981785581.527562,820808405.078068,1001132315.17026,1051392599.25411,1017432441.18981,1219577071.41907,1214969339.21715,1142912826.79511,1126000000.0,906702000.0,666192000.0,669714000.0,576049000.0,479252000.0,441461000.0,525301598.458597,413162042.189724,271724001.327911,213503739.403557,177500125.560845,125530734.285184,110066155.746291,71616324.477842,57945864.74148,53044810.0,79301693.221712,49300000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,96000000.0,86253248.498969,76641500.800732,77980660.796123,48378276.05065,29519165.591586,19456199.23148,20713082.382833,18515089.798186,27217937.91718,25269317.728421,40116912.143962,33410362.780856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,196000000.0,-71691011.739403,-529627087.62297,-250737817.021379,58895292.5834,639581921.151029,42560435.818863,106327156.231876,-99187981.061708,-273475471.453567,188854900.917675,1121840793.16866,-79349611.604533,381000000.0,-159036000.0,-176815000.0,-127739000.0,-77947000.0,69845000.0,-57311000.0,-59445237.48357,-49827293.904491,156024808.697817,11175926.53574,-19816992.70473,10400565.547933,-1808104.06016,4897121.472102,17345493.152139,5976880.0,0.0,0.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123000000.0,752000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,63000000.0,-88493592.615826,-203614733.470602,-219545552.70293,-57843590.930125,31705770.450222,41344423.366895,51092269.877655,-132250641.415611,-89430367.442162,-21279425.455513,633274113.129692,-173000073.6,-36999949.2,-67970000.0,-144387000.0,-170138000.0,10309000.0,-28253000.0,-5348000.0,-104553179.143267,-12618752.426556,-26061364.262594,-18000098.426238,4698232.55814,-22956486.803882,-24685929.052734,1295337.553991,9142955.727784,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49000000.0,-411000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,40000000.0,33000000.0,-21000000.0,-6000000.0,-16000000.0,0.0,33000000.0,0.0,0.0,261316470.0,11500218.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,496000000.0,498476566.000538,401509951.956074,418696163.351489,402801733.204325,425294645.004701,350211586.166642,410119031.180093,382204353.691115,-362905838.895729,-256683069.557122,-684853000.17193,332711529.359356,-1122000000.0,-799799000.0,-491035000.0,-393782000.0,-242891000.0,149353000.0,-210525000.0,39910714.16,0.0,118605006.0,0.0,-228908603.0,-99516516.0,93777900.0,41584144.0,27805680.0,35935991.0,0.0,0.0
,netCashProvidedByOperatingActivites,3938000000.0,3882516354.51205,2172271791.35209,2626148715.11865,2460981868.6635,2456650558.67754,1504207403.08381,1507912397.47024,1355569074.51001,1329790681.09649,1849980050.53864,3060347297.83942,2635242364.34001,3434000000.0,2279691000.0,1646130000.0,1716685000.0,1518069000.0,1353207000.0,1006456000.0,1179954930.99534,925003196.583409,825129933.43846,569732018.44872,434626297.838819,336623694.295074,374898729.578037,154943494.467783,120517570.867396,160927494.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-996000000.0,-1376691459.80823,-1282315259.66598,-1252489382.63311,-897101510.243574,-964292742.658474,-528965416.605866,-686293462.9512,-760441188.139762,-746549154.299786,-619763266.391807,-762221330.735286,-1446390288.72122,-1501000000.0,-1098470000.0,-771760000.0,-704663000.0,-505269000.0,-385880000.0,-403135000.0,-635679526.825188,-581888106.639058,-384927831.853266,-243165239.006811,-256025997.054492,-168272127.449162,-100844983.506089,-71981317.67351,-51704650.175178,-36757812.0,0.0,0.0
,acquisitionsNet,0.0,-728000000.0,-4139000000.0,-2081000000.0,-165000000.0,-8101000000.0,-201000000.0,-446000000.0,426000000.0,-91000000.0,-579000000.0,-243000000.0,-1143000000.0,-2547000000.0,-2485000000.0,-1006000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-1000000.0,-32484989.694417,-2287805.994052,-13196727.211652,-7361911.572925,-20772746.157042,-3648037.355903,-107708028.390732,-42320205.252995,0.0,-89107594.094959,-349590234.397387,-69604922.460116,0.0,-9767000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2704055.973019,-4236.118484,0.0,0.0,0.0
