date,,2021-01-31_FY,2020-01-31_FY,2019-01-31_FY,2018-01-31_FY,2017-01-31_FY,2016-01-31_FY,2015-01-31_FY,2014-01-31_FY,2013-01-31_FY,2012-01-31_FY,2011-01-31_FY,2010-01-31_FY,2009-01-31_FY,2008-01-31_FY,2007-01-31_FY,2006-01-31_FY,2005-01-31_FY,2004-01-31_FY,2003-01-31_FY,2002-01-31_FY,2001-01-31_FY
,revenue,21252000000.0,17098000000.0,13282000000.0,10480012000.0,8391984000.0,6667216000.0,5373586000.0,4071003000.0,3050195000.0,2266539000.0,1657139000.0,1305583000.0,1076769000.0,748700000.0,497098000.0,309857000.0,176375000.0,96023000.0,50991000.0,22409000.0,5435000.0
,costOfRevenue,5438000000.0,4235000000.0,3451000000.0,2773522000.0,2234039000.0,1654548000.0,1289270000.0,968428000.0,683579000.0,488886000.0,323813000.0,257925000.0,220471000.0,171591000.0,118890000.0,69126000.0,33454000.0,17273000.0,10363000.0,6047000.0,3422000.0
,grossProfit,15814000000.0,12863000000.0,9831000000.0,7706490000.0,6157945000.0,5012668000.0,4084316000.0,3102575000.0,2366616000.0,1777653000.0,1333326000.0,1047658000.0,856298000.0,577109000.0,378208000.0,240731000.0,142921000.0,78750000.0,40628000.0,16362000.0,2013000.0
,grossProfitRatio,0.74411820063994,0.752310211720669,0.740174672489083,0.735351257231385,0.733788934773946,0.751838248528321,0.76007269633351,0.762115626050877,0.775890066044958,0.784302851175294,0.804595148626639,0.802444578399075,0.795247634357973,0.770814745558969,0.760831868162817,0.776909993964958,0.810324592487597,0.820116013871677,0.796768057108117,0.730153063501272,0.370377184912604
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,3598000000.0,2766000000.0,1886000000.0,1553073000.0,1208127000.0,946300000.0,792917000.0,623798000.0,429479000.0,295347000.0,187887000.0,131897000.0,99530000.0,63812000.0,44614000.0,23330000.0,9822000.0,6962000.0,4648000.0,5308000.0,3366000.0
,GeneralAndAdministrativeExpenses,2087000000.0,1704000000.0,1346000000.0,1088358000.0,967563000.0,711621000.0,679936000.0,596719000.0,433821000.0,347781000.0,255913000.0,195290000.0,158613000.0,492988000.0,337192000.0,197584000.0,126579000.0,71515000.0,46480000.0,32922000.0,32247000.0
,SellingAndMarketingExpenses,9674000000.0,7930000000.0,6064000000.0,4829291000.0,3918027000.0,3239824000.0,2757096000.0,2168132000.0,1614026000.0,1169610000.0,792029000.0,605199000.0,534413000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-64000000.0,-18000000.0,3000000.0,17435000.0,9072000.0,-15292000.0,-19878000.0,-4868000.0,-5698000.0,-4455000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
