Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,3005000.0,2850000.0,2848000.0,3194000.0,4441813.0,3321851.0,856039.0,1100850.0,451158.0,432138.0
Stock-based compensation,0.0,170000.0,176000.0,404000.0,0.0,0.0,0.0,0.0,144912.0,686237.0
Operating Cash Flow,-12283000.0,-9369000.0,-773000.0,-6259000.0,-3134388.0,1653491.0,860705.0,860705.0,495044.0,383658.0
Capital Expenditure,1042000.0,893000.0,824000.0,5137000.0,1095820.0,2523418.0,422970.0,422970.0,-352345.0,-265858.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-4285000.0,-0.0,-17709507.0,-0.0,-0.0,0.0,12563.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60376.0,317313.0
Investing Cash flow,5150000.0,-1484000.0,-1647000.0,1987000.0,-1551989.0,-30712911.0,21472.0,21472.0,-405295.0,-144292.0
Issuance (repayment) of debt,-21517000.0,-9932000.0,-144000.0,-81000.0,-76814.0,-2012694.0,-0.0,181326.0,-4139601.0,-324046.0
Issuance (buybacks) of shares,-3979000.0,-12646000.0,-4617000.0,41033000.0,-11704361.0,-16575508.0,5873462.0,-176775.0,3450218.0,9808.0
Dividend payments,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Financing Cash Flow,-1236000.0,18726000.0,-185000.0,-113000.0,-184770.0,42595088.0,-717205.0,-717205.0,-84795.0,-314238.0
Effect of forex changes on cash,225000.0,156000.0,-45000.0,-52000.0,-24591.0,770224.0,68779.0,68779.0,-22617.0,-28193.0
Net cash flow / Change in cash,-8144000.0,8029000.0,-2650000.0,-4437000.0,-4871147.0,13535668.0,-197048.0,-197048.0,-17663.0,-103065.0
Free Cash Flow,-13325000.0,-10262000.0,-1597000.0,-11396000.0,-4230208.0,-869927.0,437735.0,437735.0,142699.0,117800.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3216,-1.9085
