date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,237278000.0,150418000.0,79164000.0,216275000.0,79109000.0,125518000.0,52004000.0,121761000.0,45728000.0,-128425000.0,-14573000.0,27295000.0,22547000.0,32922000.0,232691000.0,49741000.0,407784000.0,242161000.0,47872000.0,70815000.0,62043000.0,104082000.0,45299000.0,37277000.0,41016000.0,26342000.0,26895000.0,11900000.0,15700000.0,9100000.0,17800000.0,15200000.0
,depreciationAndAmortization,288648000.0,257149000.0,181382000.0,196745000.0,145293000.0,135462000.0,141022000.0,76478000.0,52439000.0,54061000.0,59956000.0,55833000.0,53412000.0,40642000.0,43690000.0,39718000.0,37231000.0,52899000.0,54839000.0,45575000.0,31522000.0,16658000.0,15173000.0,14046000.0,7219000.0,4340000.0,3662000.0,3200000.0,2300000.0,2200000.0,1900000.0,1000000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8897000.0,-9185000.0,-637000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,5298000.0,3830000.0,3399000.0,2994000.0,2152000.0,0.0,0.0,0.0,2244000.0,2113000.0,2348000.0,3743000.0,4726000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-7784000.0,282556000.0,-93088000.0,85512000.0,-16669000.0,33226000.0,-18783000.0,-191187000.0,177169000.0,-16679000.0,28761000.0,-66690000.0,353740000.0,-25200000.0,-167200000.0,-23600000.0,-1300000.0,105800000.0,-5400000.0,12200000.0,6700000.0,-8800000.0,-153300000.0,4900000.0,1200000.0,-10800000.0,-16100000.0,0.0,0.0,0.0,0.0,1600000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8274000.0,11470000.0,-17052000.0,-2993000.0,4867000.0,-2634000.0,1990000.0,-2783000.0,-1900000.0,-2000000.0,8800000.0,-3400000.0,-1000000.0,-600000.0,2700000.0,-200000.0,0.0,400000.0,600000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7923000.0,4210000.0,1894000.0,-1645000.0,-6317000.0,3562000.0,-5159000.0,2692000.0,2700000.0,15400000.0,-7400000.0,10400000.0,100000.0,2500000.0,-1100000.0,900000.0,100000.0,-3000000.0,200000.0
,otherWorkingCapital,-5345000.0,276968000.0,-5588000.0,87500000.0,1988000.0,18657000.0,-14569000.0,4214000.0,195401000.0,18232000.0,34911000.0,6150000.0,72840000.0,-280900000.0,-255700000.0,-88500000.0,-64900000.0,-63600000.0,-169400000.0,-164000000.0,-176200000.0,-182900000.0,-174100000.0,-20800000.0,-25700000.0,-26900000.0,-16100000.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,-53481000.0,-43339000.0,-29984000.0,-42549000.0,-22942000.0,-25052000.0,-29133000.0,-10078000.0,-1223000.0,-1594000.0,28158000.0,96155000.0,13105000.0,-64204000.0,-85924000.0,-18500000.0,9542000.0,8789000.0,3260000.0,4295000.0,9546000.0,-29734000.0,15648000.0,10507000.0,1930000.0,8036000.0,3102000.0,-1300000.0,-8000000.0,-700000.0,-5100000.0,-5800000.0
,netCashProvidedByOperatingActivites,351088000.0,303177000.0,229034000.0,211649000.0,111282000.0,151661000.0,142400000.0,137340000.0,95322000.0,55581000.0,79696000.0,43164000.0,40568000.0,8372000.0,226282000.0,57076000.0,245949000.0,100904000.0,102745000.0,94020000.0,103586000.0,91827000.0,89538000.0,57953000.0,57104000.0,37720000.0,35607000.0,15100000.0,11400000.0,10800000.0,9400000.0,12000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-183769000.0,-419966000.0,-223264000.0,50969000.0,429109000.0,40319000.0,-466272000.0,-1347297000.0,168317000.0,-181909000.0,-33761000.0,-53874000.0,-159131000.0,-283966000.0,-460913000.0,-256428000.0,-174512000.0,-109758000.0,-87988000.0,-140346000.0,-215958000.0,-337961000.0,-194255000.0,-80628000.0,-162154000.0,-87234000.0,-53573000.0,-31400000.0,-6000000.0,-1400000.0,-6900000.0,-21800000.0
,acquisitionsNet,0.0,86000000.0,0.0,0.0,94000000.0,0.0,0.0,5000000.0,8000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,-26190000.0,0.0,0.0,0.0,0.0,-23341000.0,-26229000.0,-34000.0,-49000.0,-14413000.0,-23747000.0,-35430000.0,-36010000.0,-34419000.0,-9485000.0,-44030000.0,-36820000.0,-36195000.0,-34712000.0,-8863000.0,-268000.0,-9318000.0,-48883000.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11778000.0,62717000.0,14871000.0,88126000.0,29615000.0,2479000.0,28038000.0,5000.0,2916000.0,2742000.0,6258000.0,30528000.0,3472000.0,27703000.0,841000.0,45011000.0,0.0,0.0,0.0,0.0,0.0
