Date,2017-12,2016-12,2015-12,2014-12,2013-12
Cash and cash equivalents,174000000.0,314000000.0,187000000.0,370000000.0,280000000.0
Short-term investments,,,,,
Cash and short-term investments,,,,,
Receivables,169000000.0,138000000.0,89000000.0,130000000.0,235000000.0
Inventories,331000000.0,291000000.0,252000000.0,294000000.0,494000000.0
Total current assets,1570000000.0,1528000000.0,1565000000.0,1529000000.0,1451000000.0
Property, Plant & Equipment Net,1479000000.0,1515000000.0,1550000000.0,1487000000.0,1430000000.0
Goodwill and Intangible Assets,0,0,0,0,0
Long-term investments,83000000.0,000000.0,000000.0,000000.0,000000.0
Tax assets,,,,,
Total non-current assets,541000000.0,545000000.0,582000000.0,584000000.0,586000000.0
Total assets,2270000000.0,2332000000.0,2195000000.0,2418000000.0,2533000000.0
Payables,312000000.0,226000000.0,254000000.0,270000000.0,341000000.0
Short-term debt,,,,,
Total current liabilities,482000000.0,490000000.0,332000000.0,384000000.0,426000000.0
Long-term debt,000000.0,495000000.0,532000000.0,532000000.0,532000000.0
Total debt,000000.0,495000000.0,532000000.0,532000000.0,532000000.0
Deferred revenue,,,,,
Tax Liabilities,,,,,
Deposit Liabilities,,,,,
Total non-current liabilities,541000000.0,545000000.0,582000000.0,584000000.0,586000000.0
Total liabilities,1023000000.0,1035000000.0,914000000.0,968000000.0,1011000000.0
Other comprehensive income,,,,,
Retained earnings (deficit),,,,,
Total shareholders equity,,,,,
Investments,83000000.0,000000.0,000000.0,000000.0,000000.0
Net Debt,-174000000,181000000,345000000,162000000,252000000
Other Assets,8000000,13000000,16000000,42000000,20000000
Other Liabilities,541000000,6000000,4000000,3000000,3000000
