Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,75859000.0,72422000.0,71647000.0,62010000.0,49043000.0,44457000.0,48135000.0,53001000.0,56100000.0,47987000.0
Stock-based compensation,5133000.0,1658000.0,2486000.0,1496000.0,552000.0,492000.0,1284000.0,794000.0,697000.0,695000.0
Operating Cash Flow,124800000.0,82853000.0,102430000.0,85477000.0,73744000.0,40445000.0,55101000.0,32061000.0,70839000.0,30898000.0
Capital Expenditure,-13455000.0,-62053000.0,-47287000.0,-147676000.0,-84903000.0,-83966000.0,15738000.0,-49482000.0,-82272000.0,-62758000.0
Acquisitions and disposals,-105946000.0,0.0,0.0,0.0,307000.0,-435000.0,-2584000.0,-1259000.0,0.0,-250000.0
Investment purchases and sales,-1496000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-120897000.0,-62053000.0,-47287000.0,-147676000.0,-84596000.0,-84401000.0,13154000.0,-50741000.0,-82272000.0,-63008000.0
Issuance (repayment) of debt,4120000.0,-12249000.0,-50665000.0,51783000.0,-40616000.0,47180000.0,-65269000.0,13600000.0,7692000.0,38707000.0
Issuance (buybacks) of shares,0.0,0.0,32000.0,-3902000.0,63582000.0,0.0,0.0,0.0,1308000.0,0.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,3868000.0,-13194000.0,-51883000.0,45359000.0,22919000.0,46373000.0,-65304000.0,13214000.0,8573000.0,38031000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,7771000.0,7606000.0,3260000.0,-16840000.0,12067000.0,2417000.0,2951000.0,-5466000.0,-2860000.0,5921000.0
Free Cash Flow,111345000.0,20800000.0,55143000.0,-62199000.0,-11159000.0,-43521000.0,70839000.0,-17421000.0,-11433000.0,-31860000.0
Net Cash/Marketcap,-0.6091,-0.3861,-0.5554,-0.7336,-0.4456,-1.8776,-2.161,-5.3771,-1.5672,-3.4755
