Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,19419000000.0,19349000000.0,19457000000.0,21037000000.0,16793000000.0,14186000000.0,13413000000.0,0.0,0.0,12110000000.0
Stock-based compensation,270000000.0,316000000.0,281000000.0,316000000.0,316000000.0,0.0,0.0,0.0,0.0,0.0
Operating Cash Flow,30618000000.0,20515000000.0,12846000000.0,19456000000.0,31475000000.0,35002000000.0,38812000000.0,0.0,0.0,19373000000.0
Capital Expenditure,13792000000.0,13404000000.0,18109000000.0,29504000000.0,35407000000.0,37985000000.0,30938000000.0,0.0,0.0,-19843000000.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2900000000.0
Investment purchases and sales,0.0,4000000.0,297000000.0,122000000.0,-148000000.0,3000000.0,-3000000.0,0.0,0.0,371000000.0
Investing Cash flow,-12290000000.0,-8201000000.0,-16852000000.0,-23808000000.0,-29893000000.0,-35609000000.0,-24796000000.0,0.0,0.0,-16572000000.0
Issuance (repayment) of debt,-8762000000.0,-1168000000.0,-3714000000.0,303000000.0,-3474000000.0,-2510000000.0,-2488000000.0,-0.0,-0.0,1659000000.0
Issuance (buybacks) of shares,-1751000000.0,-4813000000.0,-6988000000.0,-11022000000.0,-12785000000.0,-16245000000.0,-20939000000.0,0.0,0.0,168000000.0
Dividend payments,-8502000000.0,-8132000000.0,-8032000000.0,-7992000000.0,-7928000000.0,-7474000000.0,-6844000000.0,-0.0,-0.0,-5302000000.0
Financing Cash Flow,-13699000000.0,-14554000000.0,25000000.0,2815000000.0,-4999000000.0,-3821000000.0,-8980000000.0,0.0,0.0,-3546000000.0
Effect of forex changes on cash,-91000000.0,65000000.0,-53000000.0,-226000000.0,-43000000.0,-266000000.0,39000000.0,0.0,0.0,114000000.0
Net cash flow / Change in cash,4538000000.0,-2175000000.0,-4034000000.0,-1763000000.0,-3460000000.0,-4694000000.0,5075000000.0,0.0,0.0,-631000000.0
Free Cash Flow,16826000000.0,7111000000.0,-5263000000.0,-10048000000.0,-3932000000.0,-2983000000.0,7874000000.0,0.0,0.0,-470000000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011
