Date,2018-12-30,2017-12-31,2017-01-01,2016-01-03,2014-12-28,2013-12-29,2012-12-30,2012-01-01,2011-01-02,2010-01-03
Cash and cash equivalents,285720000.0,151596000.0,120172000.0,226690000.0,103736000.0,86009000.0,63203000.0,99717000.0,263183000.0,299642000.0
Short-term investments,3492000.0,1197000.0,6605000.0,990000.0,22741000.0,48172000.0,83698000.0,66613000.0,171078000.0,0.0
Cash and short-term investments,289212000.0,152793000.0,126777000.0,227680000.0,126477000.0,134181000.0,146901000.0,166330000.0,434261000.0,299642000.0
Receivables,324274000.0,295991000.0,333037000.0,292736000.0,75984000.0,81084000.0,82920000.0,103524000.0,117726000.0,86959000.0
Inventories,292093000.0,272127000.0,287776000.0,243595000.0,88227000.0,100612000.0,127596000.0,92304000.0,101763000.0,91198000.0
Total current assets,1016760000.0,823351000.0,893943000.0,850772000.0,312311000.0,319713000.0,368808000.0,405650000.0,695658000.0,518705000.0
Property Plant & Equipment Net,282986000.0,289554000.0,297266000.0,425003000.0,237763000.0,258585000.0,274427000.0,284979000.0,260122000.0,272620000.0
Goodwill and Intangible Assets,1890590000.0,2154592000.0,2344033000.0,2528077000.0,99614000.0,106524000.0,113410000.0,40462000.0,44335000.0,46968000.0
Long-term investments,1419000.0,0.0,0.0,0.0,0.0,0.0,1100000.0,19000000.0,0.0,0.0
Tax assets,339679000.0,4293000.0,231162000.0,292391000.0,2170000.0,2297000.0,2733000.0,2018000.0,0.0,0.0
Total non-current assets,2676455000.0,2713699000.0,2977928000.0,3153489000.0,430970000.0,446123000.0,462821000.0,404440000.0,377143000.0,393803000.0
Total assets,3693215000.0,3537050000.0,3871871000.0,4004261000.0,743281000.0,765836000.0,831629000.0,810090000.0,1072801000.0,912508000.0
Payables,210715000.0,213101000.0,241424000.0,143383000.0,42678000.0,47893000.0,58704000.0,52868000.0,59817000.0,61712000.0
Short-term debt,6943000.0,27303000.0,30152000.0,14606000.0,81144000.0,76515000.0,98289000.0,62930000.0,65792000.0,0.0
Total current liabilities,620552000.0,675497000.0,702457000.0,528396000.0,274832000.0,305842000.0,348748000.0,326460000.0,312289000.0,239062000.0
Long-term debt,874235000.0,956513000.0,1194979000.0,673659000.0,227000000.0,227000000.0,232000000.0,6393000.0,0.0,0.0
Total debt,881178000.0,983816000.0,1225131000.0,688265000.0,308144000.0,303515000.0,330289000.0,69323000.0,65792000.0,0.0
Deferred revenue,5296000.0,12873000.0,0.0,73370000.0,95187000.0,122578000.0,131192000.0,0.0,131757000.0,75881000.0
Tax Liabilities,121900000.0,115235000.0,146300000.0,3262000.0,2710000.0,3034000.0,6526000.0,4629000.0,11631000.0,46362000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,955624000.0,1043961000.0,1276662000.0,763180000.0,266584000.0,281359000.0,306020000.0,92181000.0,57619000.0,43062000.0
Total liabilities,1577481000.0,1720514000.0,1980043000.0,1283413000.0,535524000.0,582727000.0,650729000.0,409823000.0,368365000.0,282124000.0
Other comprehensive income,3265647000,3324668000,3340935000,3475218000,584677000,575220000,527009000,725590000,1199047000,-723000.0
Retained earnings (deficit),-1157115000.0,-1511706000.0,-1445033000.0,-758780000.0,-379913000.0,-394897000.0,-348533000.0,-326163000.0,-494002000.0,-569744000.0
Total shareholders equity,2115734000.0,1816536000.0,1891828000.0,2720848000.0,207757000.0,183109000.0,180900000.0,400267000.0,704436000.0,631587000.0
Investments,4911000.0,1197000.0,6605000.0,990000.0,22741000.0,48172000.0,84798000.0,85613000.0,171078000.0,0.0
Net Debt,595458000.0,832220000.0,1104959000.0,461575000.0,204408000.0,217506000.0,267086000.0,-30394000.0,-197391000.0,-299642000.0
Other Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40906000.0
Other Liabilities,1305000.0,1056000.0,924000.0,-8163000.0,-5892000.0,-4474000.0,-4039000.0,-8818000.0,-1543000.0,177350000.0
