Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,458732000.0,451731000.0,498332000.0,567936000.0,552091000.0,588117000.0,589009000.0,468101000.0,359677000.0,319511000.0
Revenue Growth,0.0155,-0.0935,-0.1226,0.0287,-0.0613,-0.0015,0.2583,0.3014,0.1257,0.0689
Cost of Revenue,116811000.0,119586000.0,123309000.0,125020000.0,126729000.0,133844000.0,136859000.0,129892000.0,96199000.0,99673000.0
Gross Profit,341921000.0,332145000.0,375023000.0,442916000.0,425362000.0,454273000.0,452150000.0,338209000.0,263478000.0,219838000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,26334000.0,22672000.0,22105000.0,21831000.0,21442000.0,19458000.0,20379000.0,21028000.0,23255000.0,14541000.0
Operating Expenses,354043000.0,144648000.0,587666000.0,198539000.0,232957000.0,181807000.0,299187000.0,133006000.0,177319000.0,83742000.0
Operating Income,-12122000.0,187497000.0,-212643000.0,244377000.0,192405000.0,272466000.0,152963000.0,205203000.0,86159000.0,136096000.0
Interest Expense,85706000.0,86556000.0,82966000.0,84435000.0,95050000.0,91185000.0,87340000.0,55124000.0,41158000.0,36208000.0
Earnings before Tax,-32936000.0,83905000.0,-366195000.0,117016000.0,-3920000.0,37523000.0,-105204000.0,13437000.0,-102341000.0,36089000.0
Income Tax Expense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-32936000.0,83905000.0,-366195000.0,117016000.0,-3920000.0,37523000.0,-105204000.0,13437000.0,-102341000.0,36089000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,-32936000.0,83905000.0,-366195000.0,117016000.0,-3920000.0,37523000.0,-105204000.0,13437000.0,-102341000.0,36089000.0
EPS,-3.08,10.64,-46.76,14.98,-0.56,4.76,-13.44,1.68,-19.04,9.24
EPS Diluted,-3.08,10.64,-46.76,14.98,-0.56,4.76,-13.44,1.68,-19.04,9.24
Weighted Average Shs Out,7842814.0,7842814.0,7841556.0,7833534.0,7832386.0,7828863.0,7825989.0,7757926.0,3896491.0,3895894.0
Weighted Average Shs Out (Dil),10622843.0,7844598.0,7842974.0,7841823.0,7834007.0,7832446.0,7829484.0,7788965.0,5388268.0,3896415.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.7454,0.7353,0.7526,0.7799,0.7705,0.7724,0.7676,0.7225,0.7325,0.688
EBITDA Margin,0.35,0.632,-0.309,0.587,0.413,0.452,0.214,0.373,0.044,0.417
EBIT Margin,0.115,0.3774,-0.5684,0.3547,0.1651,0.2188,-0.0303,0.1465,-0.1701,0.2263
Profit Margin,-0.072,0.186,-0.735,0.206,-0.007,0.064,-0.179,0.029,-0.285,0.113
Free Cash Flow margin,0.341,0.3909,0.5269,0.4782,0.3688,0.3318,-0.345,-1.2499,-1.415,-0.8755
EBITDA,160527000.0,285689000.0,-154184000.0,333234000.0,228191000.0,266122000.0,126074000.0,174739000.0,15862000.0,133203000.0
EBIT,52770000.0,170461000.0,-283229000.0,201451000.0,91130000.0,128708000.0,-17864000.0,68561000.0,-61183000.0,72297000.0
Consolidated Income,-32936000.0,83905000.0,-366195000.0,117016000.0,-3920000.0,37523000.0,-105204000.0,13437000.0,-102341000.0,36089000.0
Earnings Before Tax Margin,-0.0718,0.1857,-0.7348,0.206,-0.0071,0.0638,-0.1786,0.0287,-0.2845,0.113
Net Profit Margin,-0.0718,0.1857,-0.7348,0.206,-0.0071,0.0638,-0.1786,0.0287,-0.2845,0.113
