date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-159555000.0,-153587000.0,-166076000.0,-147693000.0,-114531000.0,-44674000.0,-24011880.0,-19306416.0,-13012000.0,-7241157.0
,depreciationAndAmortization,10461000.0,5700000.0,2830000.0,2926000.0,1349000.0,1073000.0,515389.0,341176.0,281543.0,170502.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,-1130000.0,14923000.0,25904000.0,30781000.0,34353000.0,10419000.0,4639403.0,5048201.0,3194308.0,700743.0
,changeInWorkingCapital,20644000.0,32093000.0,-19010000.0,-122240000.0,-75697000.0,202857763.0,76433309.0,1162853.0,27238716.0,200747.0
,accountsReceivables,-2070000.0,30000.0,1229000.0,3000.0,-1250000.0,136000.0,-124664.0,-57675.0,-124450.0,2322.0
,inventory,2327000.0,-471000.0,-1566000.0,0.0,0.0,124000.0,-117503.0,23105.0,4776.0,70688.0
,accountsPayables,-5082000.0,-6836000.0,9095000.0,3333000.0,3645000.0,8236000.0,-424204.0,519565.0,-1226754.0,895957.0
,otherWorkingCapital,154662000.0,134018000.0,101925000.0,120935000.0,243175000.0,318872000.0,116014237.0,39580928.0,38418075.0,11179359.0
,otherNonCashItems,656000.0,912000.0,753000.0,130000.0,148000.0,296000.0,0.0,1.0,0.0,10696.0
,netCashProvidedByOperatingActivites,-165607000.0,-128519000.0,-136620000.0,-114314000.0,-59538000.0,-26763000.0,-20559652.0,-13253215.0,-10432549.0,-6130146.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-2732000.0,-4973000.0,-4710000.0,-7246000.0,-7992000.0,-4360000.0,-941301.0,-1089902.0,-340411.0,-695897.0
,acquisitionsNet,-2732000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-103000.0,-58000.0,-3890000.0,-289000.0,-93000.0,-839000.0,-124235.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,-1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26360.0,167.0
,netCashUsedForInvestingActivites,-2865000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-303000.0,-4153000.0,-1800000.0,-578000.0,-275000.0,-192000.0,-128000.0,0.0,-185387.0,-8340.0
,commonStockIssued,150449000.0,188010000.0,133099000.0,861000.0,2016000.0,240538000.0,94643126.0,15427010.0,37562500.0,9680132.0
,commonStockRepurchased,-563000.0,0.0,-479000.0,-25000.0,-54000.0,-175000.0,-888977.0,0.0,-278291.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-35000.0,-53000.0,-144000.0,28000.0,-21000.0,-22000.0,54157.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,149548000.0,182791000.0,130676000.0,286000.0,1666000.0,241014000.0,96808306.0,16235770.0,37098822.0,9671792.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,22022000.0,43000.0,-525000.0,3269000.0,-735000.0,-78000.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,3097000.0,49257000.0,-15110000.0,-118593000.0,-66908000.0,208826000.0,75152424.0,1574130.0,26297514.0,2503226.0
,cashAtEndOfPeriod,196352000.0,172027000.0,122770000.0,137880000.0,256473000.0,323381000.0,114555185.0,39402761.0,37828631.0,11531117.0
,cashAtBeginningOfPeriod,193255000.0,122770000.0,137880000.0,256473000.0,323381000.0,114555000.0,39402761.0,37828631.0,11531117.0,9027891.0
,operatingCashFlow,-165607000.0,-128519000.0,-136620000.0,-114314000.0,-59538000.0,-26763000.0,-20559652.0,-13253215.0,-10432549.0,-6130146.0
,capitalExpenditure,-2761000.0,-5000000.0,-4751000.0,-7545000.0,-8207000.0,-4508000.0,-971996.0,-1171287.0,-361435.0,-715098.0
,freeCashFlow,-168368000.0,-133519000.0,-141371000.0,-121859000.0,-67745000.0,-31271000.0,-21531648.0,-14424502.0,-10793984.0,-6845244.0
