Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Depreciation & Amortization,36064000.0,23962000.0,22273000.0,21152000.0,15972000.0,13443000.0,8388000.0,6061000.0,2810000.0
Stock-based compensation,674000.0,721000.0,599000.0,406000.0,274000.0,464000.0,92000.0,64000.0,86000.0
Operating Cash Flow,147953000.0,87703000.0,100707000.0,68024000.0,85920000.0,44391000.0,34363000.0,-10052000.0,13421000.0
Capital Expenditure,72380000.0,9003000.0,11287000.0,19956000.0,7132000.0,9398000.0,11099000.0,-7130000.0,0.0
Acquisitions and disposals,-0.0,-0.0,-0.0,-400000.0,-22650000.0,-10737000.0,-23272000.0,0.0,0.0
Investment purchases and sales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investing Cash flow,-228039000.0,-30672000.0,-72692000.0,-56592000.0,-29782000.0,-20135000.0,-34350000.0,-7130000.0,0.0
Issuance (repayment) of debt,-5264000.0,-5951000.0,-0.0,-0.0,-3688000.0,-2273000.0,-3821000.0,1300000.0,-13500000.0
Issuance (buybacks) of shares,-4522000.0,-4675000.0,-59000.0,0.0,-1861000.0,-924000.0,-23452000.0,0.0,0.0
Dividend payments,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
Financing Cash Flow,79933000.0,-52415000.0,-27956000.0,-13293000.0,-55201000.0,-46784000.0,23404000.0,17217000.0,-13500000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,-153000.0,4616000.0,59000.0,-1861000.0,937000.0,-22528000.0,23417000.0,35000.0,-79000.0
Free Cash Flow,75573000.0,78700000.0,89420000.0,48068000.0,78788000.0,34993000.0,23264000.0,-17182000.0,13421000.0
Net Cash/Marketcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0968,-0.0968
