Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,154073000.0,376037000.0,156233000.0,119028000.0,233623000.0,347011000.0,335432000.0,333765000.0,464393000.0,376417000.0
Short-term investments,299849000.0,0.0,0.0,11518000.0,16033000.0,1750053000.0,1150158000.0,902414000.0,612346000.0,400853000.0
Cash and short-term investments,453922000.0,376037000.0,156233000.0,130546000.0,249656000.0,2097064000.0,1485590000.0,1236179000.0,1076739000.0,777270000.0
Receivables,168620000.0,256730000.0,247028000.0,405370000.0,463862000.0,469355000.0,499660000.0,563934000.0,644967000.0,791023000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,785938000.0,886653000.0,505807000.0,669595000.0,899059000.0,2718110000.0,2132943000.0,1992683000.0,1863498000.0,1723370000.0
Property, Plant & Equipment Net,5184222000.0,5261641000.0,5726935000.0,6378814000.0,6945953000.0,5467227000.0,4864972000.0,4667469000.0,4283792000.0,4432052000.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,5249756000.0,5363917000.0,5866070000.0,6480299000.0,7122230000.0,5673324000.0,5102343000.0,4971474000.0,4863486000.0,4540891000.0
Total assets,6035694000.0,6250570000.0,6371877000.0,7149894000.0,8021289000.0,8391434000.0,7235286000.0,6964157000.0,6726984000.0,6264261000.0
Payables,43933000.0,38755000.0,30242000.0,70272000.0,138444000.0,94151000.0,96631000.0,64147000.0,99236000.0,75015000.0
Short-term debt,0.0,0.0,104200000.0,286589000.0,249962000.0,249954000.0,0.0,0.0,0.0,4179000.0
Total current liabilities,236846000.0,223288000.0,340499000.0,625723000.0,856646000.0,745582000.0,485546000.0,427291000.0,626288000.0,413475000.0
Long-term debt,1973922000.0,1972225000.0,1980884000.0,1979778000.0,1994526000.0,2244189000.0,1496066000.0,1495823000.0,1495593000.0,1495375000.0
Total debt,1973922000.0,1972225000.0,2085084000.0,2266367000.0,2244488000.0,2494143000.0,1496066000.0,1495823000.0,1495593000.0,1499554000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,20685000.0,29878000.0,23898000.0,15093000.0,41648000.0,30806000.0,64481000.0,26744000.0,57862000.0,32410000.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,2214195000.0,2253021000.0,2281244000.0,2411401000.0,2713080000.0,3008594000.0,2173346000.0,2203803000.0,2238984000.0,2220144000.0
Total liabilities,2451041000.0,2476309000.0,2621743000.0,3037124000.0,3569726000.0,3754176000.0,2658892000.0,2631094000.0,2865272000.0,2633619000.0
Other comprehensive income,21000.0,-5000.0,1000.0,-5035000.0,-3605000.0,350000.0,2496000.0,-4642000.0,3141000.0,1605000.0
Retained earnings (deficit),1769415000.0,1964497000.0,1946765000.0,2319136000.0,2661999000.0,2761161000.0,2702915000.0,2472310000.0,1998995000.0,1776498000.0
Total shareholders equity,3584653000.0,3774261000.0,3750134000.0,4112770000.0,4451563000.0,4637258000.0,4576394000.0,4333063000.0,3861712000.0,3630642000.0
Investments,299849000.0,0.0,0.0,11518000.0,16033000.0,1750053000.0,1150158000.0,902414000.0,612346000.0,400853000.0
Net Debt,1520000000.0,1596188000.0,1928851000.0,2135821000.0,1994832000.0,397079000.0,10476000.0,259644000.0,418854000.0,722284000.0
Other Assets,163396000.0,253886000.0,102546000.0,133679000.0,185541000.0,151691000.0,147693000.0,192570000.0,141792000.0,155077000.0
Other Liabilities,192913000.0,184533000.0,206057000.0,268862000.0,468240000.0,401477000.0,388915000.0,363144000.0,527052000.0,334281000.0
