Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,94028696.0,63713903.0,31880945.0,33552724.0,29237719.0,16657194.0,17328769.0,104297419.0,203699895.0,90224149.0
Short-term investments,29918044.0,20778855.0,13025552.0,11109695.0,50239886.0,15929627.0,0.0,0.0,0.0,0.0
Cash and short-term investments,123946740.0,84492758.0,44906497.0,44662419.0,79477605.0,32586821.0,17328769.0,104297419.0,203699895.0,90224149.0
Receivables,5323584.0,2281475.0,8087994.0,21162528.0,20053976.0,24186660.0,39754450.0,35479079.0,21033311.0,20988380.0
Inventories,15449367.0,15683490.0,12280700.0,10715939.0,9581784.0,10500256.0,15135522.0,24176109.0,11239762.0,4717488.0
Total current assets,160068807.0,142362550.0,73302858.0,88776027.0,121949234.0,91144427.0,96511143.0,179452895.0,241738269.0,120916743.0
Property Plant & Equipment Net,611616459.0,485466417.0,557427884.0,544326125.0,559006119.0,488504183.0,677895274.0,636474691.0,399558053.0,399985079.0
Goodwill and Intangible Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,649839.0,687074.0,581581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,821137.0,714068.0,585944.0,626965.0,0.0,0.0,1415501.0,22248850.0,1688160.0,1468671.0
Total non-current assets,694860274.0,606418683.0,583405218.0,572075377.0,588181985.0,519055116.0,719796661.0,699023747.0,409232670.0,403006715.0
Total assets,854929081.0,748781233.0,656708076.0,660851404.0,710131219.0,610199543.0,816307804.0,878476642.0,650970939.0,523923458.0
Payables,52408210.0,41047749.0,96897803.0,113562706.0,171057834.0,157999975.0,82649361.0,54941533.0,21400502.0,56936468.0
Short-term debt,67414994.0,88582526.0,131712809.0,144089957.0,208745683.0,120444503.0,141613842.0,116362361.0,71600632.0,43825918.0
Total current liabilities,149853934.0,216511379.0,249750421.0,275393602.0,396067715.0,299123874.0,260311121.0,217840943.0,171009849.0,142674843.0
Long-term debt,133312370.0,111436292.0,111948913.0,118548430.0,77336160.0,134870287.0,187520880.0,165646211.0,83001176.0,144935562.0
Total debt,200727364.0,200018818.0,243661722.0,262638387.0,286081843.0,255314790.0,329134722.0,282008572.0,154601808.0,188761480.0
Deferred revenue,17482940.0,16377524.0,7519605.0,8183376.0,10710202.0,13217775.0,29396238.0,26060543.0,45604506.0,31608219.0
Tax Liabilities,6639595.0,13191205.0,5300163.0,940732.0,0.0,0.0,160480.0,15469820.0,13373181.0,674154.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,179943470.0,137741787.0,135228733.0,143801312.0,107295434.0,173749108.0,215119270.0,208609472.0,83538256.0,145153929.0
Total liabilities,329797404.0,354253166.0,384979154.0,419194914.0,503363149.0,472872982.0,475430391.0,426450415.0,254548105.0,287828772.0
Other comprehensive income,-13232560.0,13107187.0,-8721820.0,8780313.0,20037183.0,23699196.0,19551006.0,18444123.0,6276868.0,617298.0
Retained earnings (deficit),171398185.0,133273480.0,40432352.0,-3061404.0,-16018293.0,-32667469.0,38276015.0,150204956.0,116881004.0,51609747.0
Total shareholders equity,525131677.0,391735587.0,270099761.0,240354463.0,206768070.0,137326561.0,202105283.0,311178231.0,263480999.0,52495628.0
Investments,30567883.0,21465929.0,13607133.0,11109695.0,50239886.0,15929627.0,0.0,0.0,0.0,0.0
Net Debt,84891668.0,,,,,,,,,
Other Assets,15349309.0,,,,,,,,,
Other Liabilities,30030730.0,86881104.0,21139809.0,17740939.0,16264198.0,20679396.0,36047918.0,46537049.0,78008715.0,41912457.0
