Date,2018-12,2017-12,2016-12,2015-12,2014-12-31,2014-12,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Cash and cash equivalents,71000000.0,66000000.0,92000000.0,37000000.0,4635000000.0,48000000.0,2180000000.0,1902000000.0,873000000.0,169000000.0
Short-term investments,,,,,0.0,,1000000.0,0.0,0.0,29000000.0
Cash and short-term investments,,,,,4635000000.0,,2181000000.0,1902000000.0,873000000.0,198000000.0
Receivables,1897000000.0,1856000000.0,1593000000.0,1348000000.0,2800000000.0,1598000000.0,2547000000.0,2696000000.0,2474000000.0,2077000000.0
Inventories,811000000.0,779000000.0,772000000.0,803000000.0,299000000.0,804000000.0,283000000.0,412000000.0,280000000.0,0.0
Total current assets,33028000000.0,30686000000.0,29279000000.0,26162000000.0,8819000000.0,24887000000.0,5953000000.0,5554000000.0,4241000000.0,2275000000.0
Property Plant & Equipment Net,21650000000.0,20721000000.0,19730000000.0,18034000000.0,6721000000.0,16820000000.0,6650000000.0,6038000000.0,5223000000.0,4444000000.0
Goodwill and Intangible Assets,3142000000,3160000000,3128000000,2107000000,4923000000.0,2120000000,4890000000.0,4895000000.0,5006000000.0,0.0
Long-term investments,3368000000.0,2797000000.0,2273000000.0,1936000000.0,61000000.0,1869000000.0,0.0,0.0,0.0,29000000.0
Tax assets,,,,,68000000.0,,140000000.0,73000000.0,62000000.0,614000000.0
Total non-current assets,21613000000.0,21443000000.0,20593000000.0,17437000000.0,16640000000.0,17070000000.0,15952000000.0,15001000000.0,14182000000.0,-2275000000.0
Total assets,36288000000.0,33767000000.0,32041000000.0,28737000000.0,25459000000.0,27974000000.0,21905000000.0,20555000000.0,18423000000.0,0.0
Payables,1329000000.0,1171000000.0,1079000000.0,809000000.0,5048000000.0,973000000.0,4685000000.0,4618000000.0,4210000000.0,951000000.0
Short-term debt,2108000000.0,730000000.0,513000000.0,972000000.0,1327000000.0,672000000.0,1256000000.0,358000000.0,96000000.0,38000000.0
Total current liabilities,4438000000.0,2812000000.0,2437000000.0,2528000000.0,6959000000.0,2577000000.0,6530000000.0,5541000000.0,4743000000.0,1351000000.0
Long-term debt,12127000000.0,12184000000.0,11262000000.0,8820000000.0,19485000000.0,8340000000.0,18284000000.0,17170000000.0,13464000000.0,10472000000.0
Total debt,12127000000.0,12184000000.0,11262000000.0,8820000000.0,20812000000.0,8340000000.0,19540000000.0,17528000000.0,13560000000.0,10510000000.0
Deferred revenue,,,,,584000000.0,,589000000.0,565000000.0,533000000.0,0.0
Tax Liabilities,1975000000.0,1888000000.0,4162000000.0,3923000000.0,784000000.0,3776000000.0,589000000.0,278000000.0,390000000.0,362000000.0
Deposit Liabilities,,,,,0.0,,0.0,0.0,0.0,0.0
Total non-current liabilities,21613000000.0,21443000000.0,20593000000.0,17437000000.0,23328000000.0,17070000000.0,21544000000.0,20045000000.0,16522000000.0,12417000000.0
Total liabilities,26051000000.0,24255000000.0,23030000000.0,19965000000.0,30672000000.0,19647000000.0,28449000000.0,25986000000.0,21530000000.0,194000000.0
Other comprehensive income,-120000000.0,-120000000.0,-133000000.0,-145000000.0,3612999999.99,-155000000.0,3651999999.99,4020999999.99,4798999999.99,5562999999.99
Retained earnings (deficit),6112000000.0,5643000000.0,5114000000.0,4794000000.0,-8408000000.0,4578000000.0,-9874000000.0,-9210000000.0,-7750000000.0,-5730000000.0
Total shareholders equity,10237000000.0,9512000000.0,9011000000.0,8772000000.0,-5213000000.0,8327000000.0,-6544000000.0,-5431000000.0,-3107000000.0,-194000000.0
Investments,3368000000.0,2797000000.0,2273000000.0,1936000000.0,61000000.0,1869000000.0,1000000.0,0.0,0.0,58000000.0
Net Debt,14164000000,12848000000,11683000000,9755000000,16177000000.0,8964000000,17360000000.0,15626000000.0,12687000000.0,10341000000.0
Other Assets,736000000,665000000,582000000,780000000,0.0,1030000000,0.0,0.0,0.0,0.0
Other Liabilities,4139000000,3832000000,3680000000,3384000000,385000000.0,3320000000,375000000.0,400000000.0,265000000.0,-13574000000.0
