date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,493600000.0,101100000.0,-127100000.0,-50200000.0,-65600000.0,-57600000.0,-22400000.0,-29800000.0,-54500000.0,-44746000.0,-55170000.0,-53524000.0,-55184000.0,-45878000.0,-46599291.0,-30767430.0
,depreciationAndAmortization,67100000.0,48700000.0,29100000.0,16100000.0,15000000.0,10800000.0,8400000.0,7000000.0,6600000.0,3759000.0,2437000.0,2373000.0,3582000.0,3332000.0,2697912.0,1065007.0
,deferredIncomeTax,-277300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,119400000.0,102700000.0,101900000.0,106200000.0,110800000.0,82700000.0,50000000.0,24600000.0,18400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-20800000.0,132100000.0,871300000.0,428200000.0,13200000.0,59100000.0,44300000.0,2900000.0,-31569000.0,38773000.0,32772000.0,1062000.0,-41782000.0,6716755.0,8188574.0,5375888.0
,accountsReceivables,-142300000.0,-60000000.0,-93200000.0,-31800000.0,-27200000.0,-31700000.0,-16300000.0,-6500000.0,-7000000.0,-5876000.0,-3181000.0,-2372000.0,0.0,0.0,0.0,0.0
,inventory,-114500000.0,-49100000.0,-25500000.0,400000.0,-9800000.0,-19200000.0,-7000000.0,-1600000.0,700000.0,-59000.0,-5471000.0,-195000.0,-1307000.0,274000.0,-1413024.0,0.0
,accountsPayables,194500000.0,109000000.0,56200000.0,21100000.0,21100000.0,17800000.0,8300000.0,2400000.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,17800000.0,1609200000.0,1477100000.0,605800000.0,177600000.0,164400000.0,105300000.0,61000000.0,58100000.0,89669000.0,50896000.0,18124000.0,17062000.0,58844000.0,52127245.0,43938671.0
,otherNonCashItems,87700000.0,51700000.0,240300000.0,17300000.0,1000000.0,37200000.0,100000.0,3100000.0,800000.0,-31233000.0,11221000.0,13756000.0,8039000.0,5630000.0,5480796.0,0.0
,netCashProvidedByOperatingActivites,475600000.0,314500000.0,123200000.0,92000000.0,56200000.0,49000000.0,23600000.0,2400000.0,-33100000.0,-30126000.0,-42676000.0,-39389000.0,-37451000.0,-33207000.0,-43734840.0,-22553785.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-199000000.0,-180000000.0,-67100000.0,-66000000.0,-55700000.0,-33300000.0,-16200000.0,-7900000.0,-9500000.0,-8006000.0,-6860000.0,-2992000.0,-2492000.0,-3443000.0,-3352106.0,-4676606.0
,acquisitionsNet,0.0,0.0,-11000000.0,0.0,0.0,-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-3058200000.0,-2031600000.0,-453500000.0,-171800000.0,-39200000.0,-45200000.0,-13800000.0,-16300000.0,-66400000.0,-102655000.0,-73447000.0,-65270000.0,-36986000.0,-76944000.0,-61733416.0,-31573035.0
,salesMaturitiesOfInvestments,2250500000.0,1196400000.0,392100000.0,93400000.0,38700000.0,27500000.0,13200000.0,45100000.0,104300000.0,64286000.0,54691000.0,53856000.0,63802000.0,71943000.0,38525621.0,18080000.0
,otherInvestingActivites,-11300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-1018000000.0,-1015200000.0,-139800000.0,-144400000.0,-55900000.0,-51500000.0,-16800000.0,20900000.0,28400000.0,-46371000.0,-25610000.0,-14104000.0,24324000.0,-8444000.0,-26559901.0,-18169641.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-282600000.0,0.0,0.0,-75000000.0,-2300000.0,-2300000.0,-2200000.0,-200000.0,0.0,-525000.0,-900000.0,-1931000.0,0.0,0.0,0.0,0.0
,commonStockIssued,15300000.0,11900000.0,10800000.0,10100000.0,10400000.0,19100000.0,24000000.0,12000000.0,3600000.0,74709000.0,70546000.0,46310000.0,1762000.0,897000.0,48188743.0,50741282.0
,commonStockRepurchased,0.0,0.0,-100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2728000.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-9400000.0,-1200000.0,-220800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,912100000.0,10700000.0,710400000.0,399100000.0,8100000.0,16800000.0,21800000.0,11800000.0,10200000.0,74184000.0,69646000.0,44379000.0,2712000.0,46599000.0,51214743.0,50741282.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,2100000.0,-700000.0,1800000.0,300000.0,0.0,0.0,0.0,0.0,0.0,-23000.0,-48000.0,-9000.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
