Date,2017-12,2016-12,2015-12,2014-12,2013-12
Depreciation & Amortization,823000000.0,710000000.0,576000000.0,292000000.0,467000000.0
Stock-based compensation,,,,,
Operating Cash Flow,585000000.0,676000000.0,94000000.0,163000000.0,175000000.0
Capital Expenditure,-224000000.0,-326000000.0,-275000000.0,-132000000.0,-98000000.0
Acquisitions and disposals,,,,,
Investment purchases and sales,0,0,0,0,0
Investing Cash flow,-2759000000.0,-2147000000.0,-1194000000.0,-5262000000.0,474000000.0
Issuance (repayment) of debt,-2589000000.0,-589000000.0,-31000000.0,-14000000.0,-1917000000.0
Issuance (buybacks) of shares,,,,,
Dividend payments,,,,,
Financing Cash Flow,-1299000000.0,2742000000.0,-265000000.0,6126000000.0,-154000000.0
Effect of forex changes on cash,,,,,
Net cash flow / Change in cash,-3473000000.0,1271000000.0,-1365000000.0,1027000000.0,495000000.0
Free Cash Flow,361000000.0,350000000.0,-181000000.0,31000000.0,77000000.0
Net Cash/Marketcap,,,,,
