Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,34712000.0,29900000.0,24543000.0,13859000.0,11528000.0,15686000.0,11119000.0,18248000.0,21232000.0,21518000.0
Short-term investments,0.0,0.0,993000.0,0.0,0.0,0.0,0.0,0.0,0.0,306000.0
Cash and short-term investments,34712000.0,29900000.0,25536000.0,13859000.0,11528000.0,15686000.0,11119000.0,18248000.0,21232000.0,21824000.0
Receivables,84605000.0,74413000.0,51806000.0,34029000.0,29916000.0,33328000.0,25820000.0,31598000.0,29747000.0,37107000.0
Inventories,33868000.0,25344000.0,31032000.0,13976000.0,19985000.0,19562000.0,21404000.0,27393000.0,31048000.0,30228000.0
Total current assets,168751000.0,133309000.0,124573000.0,74410000.0,64292000.0,70845000.0,60933000.0,79853000.0,84483000.0,91199000.0
Property, Plant & Equipment Net,5518000.0,5873000.0,6288000.0,2251000.0,1165000.0,718000.0,583000.0,608000.0,5274000.0,18961000.0
Goodwill and Intangible Assets,9626000.0,10762000.0,12744000.0,696000.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-term investments,936000.0,1512000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax assets,2752000.0,2954000.0,0.0,1385000.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current assets,21256000.0,25818000.0,20874000.0,8816000.0,1420000.0,972000.0,791000.0,879000.0,5628000.0,19060000.0
Total assets,190007000.0,159127000.0,145447000.0,83226000.0,65712000.0,71817000.0,61724000.0,80732000.0,90111000.0,110259000.0
Payables,55823000.0,43580000.0,15590000.0,133000.0,11719000.0,12689000.0,7229000.0,11797000.0,11864000.0,14914000.0
Short-term debt,31762000.0,19790000.0,17599000.0,21848000.0,10000000.0,10000000.0,10000000.0,15000000.0,10000000.0,10411000.0
Total current liabilities,93471000.0,71023000.0,67754000.0,41251000.0,29388000.0,31554000.0,26065000.0,36826000.0,35081000.0,37356000.0
Long-term debt,0.0,2987000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18285000.0
Total debt,31762000.0,22777000.0,17599000.0,21848000.0,10000000.0,10000000.0,10000000.0,15000000.0,10000000.0,28696000.0
Deferred revenue,0.0,5162000.0,3575000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,18682000.0,14337000.0,10825000.0,510000.0,1981000.0,2704000.0,3719000.0,4379000.0,5615000.0,21230000.0
Total liabilities,112153000.0,85360000.0,78579000.0,41761000.0,31369000.0,34258000.0,29784000.0,41205000.0,40696000.0,58586000.0
Other comprehensive income,-192000.0,1871000.0,-2815000.0,-1765000.0,-35000.0,65000.0,216000.0,237000.0,277000.0,293000.0
Retained earnings (deficit),-15777000.0,-18852000.0,-19923000.0,-4597000.0,-1040963000.0,-1036832000.0,-1041146000.0,-1032131000.0,-1020405000.0,-1015624000.0
Total shareholders equity,77239000.0,73233000.0,66452000.0,41327000.0,34343000.0,37559000.0,31940000.0,39527000.0,49415000.0,51673000.0
Investments,936000.0,1512000.0,993000.0,0.0,0.0,0.0,0.0,0.0,0.0,306000.0
Net Debt,-2950000.0,-7123000.0,-7937000.0,7989000.0,-1528000.0,-5686000.0,-1119000.0,-3248000.0,-11232000.0,6872000.0
Other Assets,15566000.0,3652000.0,16199000.0,12546000.0,2863000.0,2269000.0,2590000.0,2614000.0,2456000.0,2040000.0
Other Liabilities,5886000.0,7653000.0,34565000.0,19270000.0,7669000.0,8865000.0,8836000.0,10029000.0,13217000.0,12031000.0
