Date,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12,2013-12-31,2013-12,2010-12-31
Depreciation & Amortization,479000000.0,442000000.0,621100000.0,581000000.0,553900000.0,536000000.0,458000000.0,388000000.0,388000000.0,311200000.0
Stock-based compensation,0.0,,0.0,,0.0,,,0.0,,0.0
Operating Cash Flow,671000000.0,500000000.0,1415700000.0,1416000000.0,1030800000.0,1031000000.0,817000000.0,1212400000.0,1212000000.0,377900000.0
Capital Expenditure,606000000.0,-606000000.0,1091300000.0,-1091000000.0,2116800000.0,-2117000000.0,-2934000000.0,2409900000.0,-2410000000.0,716200000.0
Acquisitions and disposals,-0.0,,-0.0,,-85000000.0,,,-900000.0,,-713300000.0
Investment purchases and sales,0.0,0,0.0,0,0.0,-4000000,-37000000,0.0,0,0.0
Investing Cash flow,-524000000.0,-538000000.0,-1066300000.0,-1066000000.0,-2126400000.0,-2126000000.0,-2977000000.0,-2642900000.0,-2643000000.0,-1427800000.0
Issuance (repayment) of debt,-0.0,-1845000000.0,-300000000.0,-300000000.0,-0.0,-512000000.0,-212000000.0,-200000000.0,-1060000000.0,-31000000.0
Issuance (buybacks) of shares,1225000000.0,,-108800000.0,,-148100000.0,,,-164800000.0,,-144900000.0
Dividend payments,-357000000.0,,-0.0,,-0.0,,,-0.0,,-0.0
Financing Cash Flow,-213000000.0,16000000.0,-388700000.0,-389000000.0,1045800000.0,1046000000.0,2193000000.0,1367400000.0,1367000000.0,1051200000.0
Effect of forex changes on cash,0.0,,0.0,,0.0,,,0.0,,0.0
Net cash flow / Change in cash,-66000000.0,-22000000.0,-39300000.0,-39000000.0,-49800000.0,-50000000.0,33000000.0,-63100000.0,-63000000.0,1300000.0
Free Cash Flow,65000000.0,-106000000.0,324400000.0,324000000.0,-1086000000.0,-1086000000.0,-2117000000.0,-1197500000.0,-1198000000.0,-338300000.0
Net Cash/Marketcap,0.0,,0.0,,0.0,,,0.0,,0.0
