Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,32364359.0,29354017.0,35556911.0,41044397.0,75003864.0,75323119.0,69887121.0,59503895.0,41380917.0
Stock-based compensation,9207480.0,8738615.0,2206690.0,3969989.0,4864534.0,9373778.0,8907089.0,14741813.0,13977974.0
Operating Cash Flow,45470463.0,-10037273.0,-45434310.0,-43786769.0,-354384.0,4777961.0,58296117.0,94339830.0,90524861.0
Capital Expenditure,-35513510.0,-150749639.0,-9346635.0,2488443.0,-165168.0,-91923.0,-156951040.0,-280995791.0,-228624263.0
Acquisitions and disposals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investment purchases and sales,4500000.0,-4500000.0,0.0,7838346.0,2272801.0,-8025.0,-955093.0,0.0,0.0
Investing Cash flow,-31013510.0,-155249639.0,-9346635.0,10251871.0,2317446.0,294414.0,-157786210.0,-280995791.0,-228624263.0
Issuance (repayment) of debt,12400000.0,55193000.0,23724000.0,20375000.0,0.0,0.0,-21875735.0,251183596.0,110569477.0
Issuance (buybacks) of shares,-2554239.0,95740464.0,85697597.0,-1419228.0,-352306.0,-239315.0,-1680649.0,-736443.0,98890410.0
Dividend payments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financing Cash Flow,7380724.0,145021846.0,106334650.0,18455772.0,-400306.0,-12027610.0,-4556384.0,244432868.0,200235313.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,21837677.0,-20265066.0,51553705.0,-15079126.0,1562756.0,-6955235.0,-104046477.0,57776907.0,62135911.0
Free Cash Flow,9956953.0,-160786912.0,-54780945.0,-41298326.0,-519552.0,4686038.0,-98654923.0,-186655961.0,-138099402.0
Net Cash/Marketcap,-0.7875,-0.7705,-0.63,-1.6073,-163.9231,-524.3871,-191.3435,-37.0074,-30.9253
