date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,revenue,77410000.0,96772000.0,120019000.0,77025000.0,59784000.0
,costOfRevenue,56931000.0,57023000.0,61087000.0,46154000.0,44512000.0
,grossProfit,20479000.0,39749000.0,58932000.0,30871000.0,15272000.0
,grossProfitRatio,0.264552383412996,0.410748976976811,0.491022254809655,0.400791950665368,0.255452964003747
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,10695000.0,14855000.0,11398000.0,10377000.0,9229000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0
,otherExpenses,5257000.0,0.0,0.0,0.0,0.0
,operatingExpenses,15952000.0,18897000.0,7722000.0,10468000.0,18353000.0
,costAndExpenses,72883000.0,75920000.0,68809000.0,56622000.0,62865000.0
,interestExpense,0.0,0.0,224000.0,1045000.0,1428000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,9563000.0,7324000.0,6013000.0,6826000.0,8350000.0
,EBITDA,-10937000.0,33777000.0,61215000.0,27900000.0,-7524000.0
,EBITDARatio,-0.141286655470869,0.349036911503327,0.510044242994859,0.36222005842259,-0.125853071055801
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,4527000.0,20852000.0,51210000.0,20403000.0,-3081000.0
,operatingIncomeRatio,-0.26355767988632,0.215475550779151,0.426682441946692,0.264888023369036,-0.0515355279004416
,totalOtherIncomeExpensesNet,24929000.0,-190000.0,-4264000.0,-247000.0,5938000.0
,incomeBeforeTax,-20402000.0,21042000.0,55474000.0,20650000.0,-9019000.0
,incomeBeforeTaxRatio,-0.26355767988632,0.217438928615715,0.462210150059574,0.268094774423888,-0.15085976180918
,incomeTaxExpense,27681000.0,23890000.0,-43254000.0,10378000.0,9248000.0
,netIncome,-48181000.0,2563000.0,98232000.0,9651000.0,-26550000.0
,netIncomeRatio,-0.622413124919261,0.0264849336584963,0.818470408851932,0.125296981499513,-0.444098755519872
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.83,0.04,1.64,0.164364664407242,-0.45
,EPSDiluted,-0.83,0.04,1.62,0.164356267029973,-0.45
,weightedAverageShsOut,57594000.0,59143000.0,59248000.0,58717000.0,58384000.0
,weightedAverageShsOutDil,57594000.0,59143000.0,59997000.0,58720000.0,58384000.0
