Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Cash and cash equivalents,128200000.0,116800000.0,101400000.0,107500000.0,112300000.0,116900000.0,182100000.0,65400000.0,84800000.0,148700000.0
Short-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18200000.0,2700000.0
Cash and short-term investments,128200000.0,116800000.0,101400000.0,107500000.0,112300000.0,116900000.0,182100000.0,65400000.0,103000000.0,151400000.0
Receivables,467700000.0,472100000.0,443800000.0,410500000.0,323200000.0,261800000.0,249300000.0,222800000.0,206700000.0,219700000.0
Inventories,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total current assets,662100000.0,702200000.0,654500000.0,598700000.0,686600000.0,580400000.0,636800000.0,491600000.0,406200000.0,426000000.0
Property, Plant & Equipment Net,1634800000.0,1517100000.0,1391800000.0,1310100000.0,1019700000.0,910500000.0,748000000.0,664400000.0,632900000.0,664800000.0
Goodwill and Intangible Assets,2544200000.0,2375700000.0,2338500000.0,2309500000.0,1390100000.0,545100000.0,510500000.0,479400000.0,478800000.0,462400000.0
Long-term investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30700000.0,29300000.0
Tax assets,42900000.0,34400000.0,75800000.0,190800000.0,317800000.0,493300000.0,531000000.0,634700000.0,707400000.0,500000.0
Total non-current assets,4512900000.0,4162300000.0,4027400000.0,4007400000.0,2701700000.0,1954000000.0,1787400000.0,1779600000.0,1965900000.0,1255500000.0
Total assets,5175000000.0,4864500000.0,4681900000.0,4606100000.0,3388300000.0,2534400000.0,2424200000.0,2271200000.0,2372100000.0,1681500000.0
Payables,90000000.0,78400000.0,68300000.0,61600000.0,53400000.0,61900000.0,45300000.0,45400000.0,44600000.0,50200000.0
Short-term debt,35800000.0,32300000.0,37100000.0,36800000.0,20800000.0,12300000.0,13600000.0,18900000.0,14500000.0,21500000.0
Total current liabilities,672500000.0,517500000.0,475600000.0,426400000.0,364300000.0,311600000.0,300900000.0,313200000.0,359300000.0,391200000.0
Long-term debt,2478600000.0,2545400000.0,2979300000.0,3134700000.0,2090400000.0,1505200000.0,1239900000.0,1235800000.0,1496800000.0,1641000000.0
Total debt,2514400000.0,2577700000.0,3016400000.0,3171500000.0,2111200000.0,1517500000.0,1253500000.0,1254700000.0,1511300000.0,1662500000.0
Deferred revenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tax Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit Liabilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total non-current liabilities,2945500000.0,2951600000.0,3277600000.0,3400400000.0,2404500000.0,1754100000.0,1719800000.0,1756400000.0,2015000000.0,2187900000.0
Total liabilities,3618000000.0,3469100000.0,3753200000.0,3826800000.0,2768800000.0,2065700000.0,2020700000.0,2069600000.0,2374300000.0,2579100000.0
Other comprehensive income,0.0,-1300000.0,-1200000.0,-1200000.0,-500000.0,-100000.0,1400000.0,-200000.0,500000.0,0.0
Retained earnings (deficit),-885200000.0,-1176200000.0,-1448400000.0,-1696000000.0,-1879100000.0,-2101100000.0,-2424700000.0,-2609700000.0,-2818400000.0,-3717400000.0
Total shareholders equity,1276700000.0,1152500000.0,735900000.0,611400000.0,473200000.0,344600000.0,291000000.0,117000000.0,-85200000.0,-974000000.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48900000.0,32000000.0
Net Debt,2386200000.0,2460900000.0,2915000000.0,3064000000.0,1998900000.0,1400600000.0,1071400000.0,1189300000.0,1408300000.0,1511100000.0
Other Assets,66200000.0,113300000.0,109300000.0,80700000.0,251100000.0,201700000.0,205400000.0,203400000.0,96500000.0,54900000.0
Other Liabilities,546700000.0,406800000.0,370200000.0,328000000.0,290100000.0,237400000.0,242000000.0,248900000.0,300200000.0,319500000.0
