Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Depreciation & Amortization,1172000.0,1163000.0,1133000.0,1039000.0,871000.0,677000.0,677000.0,798000.0,914000.0,860000.0
Stock-based compensation,269000.0,230000.0,205000.0,184000.0,198000.0,172000.0,113000.0,98000.0,127000.0,121000.0
Operating Cash Flow,6612000.0,8214000.0,5660000.0,3419000.0,5525000.0,6736000.0,2322000.0,6607000.0,2594000.0,3239000.0
Capital Expenditure,-730000.0,-199000.0,-2142000.0,-2009000.0,-3690000.0,-3807000.0,-831000.0,-583000.0,-985000.0,-1327000.0
Acquisitions and disposals,1557000.0,2517000.0,-3309000.0,0.0,0.0,0.0,0.0,0.0,0.0,54923000.0
Investment purchases and sales,-20666000.0,-44892000.0,-9395000.0,-19120000.0,-52360000.0,-23887000.0,-19800000.0,278000.0,-35314000.0,-31054000.0
Investing Cash flow,-19444000.0,-42364000.0,-14513000.0,-20822000.0,-55911000.0,-27416000.0,-24164000.0,261000.0,-36077000.0,22641000.0
Issuance (repayment) of debt,18150000.0,-18000000.0,-5250000.0,27750000.0,-22650000.0,24150000.0,0.0,-10000000.0,-10000000.0,-8188000.0
Issuance (buybacks) of shares,0.0,1375000.0,4000.0,8151000.0,0.0,0.0,0.0,4576000.0,410000.0,0.0
Dividend payments,-2753000.0,-2374000.0,-2232000.0,-1957000.0,-1658000.0,-1830000.0,-1930000.0,-1537000.0,-1185000.0,-1394000.0
Financing Cash Flow,16151000.0,30956000.0,14875000.0,17093000.0,45584000.0,16914000.0,14073000.0,2298000.0,13558000.0,-3499000.0
Effect of forex changes on cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net cash flow / Change in cash,3319000.0,-3194000.0,6022000.0,-310000.0,-4802000.0,-3766000.0,-7769000.0,9166000.0,-19925000.0,22381000.0
Free Cash Flow,5882000.0,8015000.0,3518000.0,1410000.0,1835000.0,2929000.0,1491000.0,6024000.0,1609000.0,1912000.0
Net Cash/Marketcap,-0.1814,0.1621,0.1621,0.1621,0.1621,0.1621,0.1621,0.1621,0.1621,0.1621
